,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
RRM2,37,0.9935235687204309,37,-2.6354710074863408
TOP2A,37,0.9919145579810618,35,-2.248572656515154
UBA1,37,0.9844841597316503,33,-1.8243849368751757
SARS1,37,0.9936530847807188,37,-2.7931991987101767
DUT,37,0.9918021989298296,31,-1.8217677227696414
ERH,37,0.9934879348084731,37,-2.2881432883773014
PSMC3,37,0.9878845225583327,32,-1.80423838480434
EEF2,37,0.992195366202174,34,-2.599087564186024
RPS8,37,0.9917951398067646,37,-3.0800921292240475
PSMA6,37,0.990992752818374,37,-2.737570399649417
ABCE1,37,0.9927385470888634,36,-2.059658701375744
RPS5,37,0.9919535753963228,35,-2.0558566096365665
HSPD1,37,0.9906841065432574,33,-1.9847885518564303
WEE1,37,0.9956964023478397,37,-2.767234186304036
RPS15,37,0.9908756313023267,37,-2.5831104063718713
HNRNPK,37,0.9866705595910014,34,-2.129664091624064
YARS1,37,0.9917148958455339,34,-2.1842691031320034
AARS1,37,0.9942628531842617,37,-2.314373884258067
SF1,37,0.9925939521274051,37,-2.5610893988167014
BUB3,37,0.9887425335677894,37,-2.4366314343639437
AURKB,37,0.9881192542411186,36,-2.3656811196583183
RPA3,37,0.9889500678122579,36,-2.2686304971075613
SNRNP200,37,0.9909654399296186,37,-2.3636181132875587
RPS7,37,0.9919027696858654,36,-2.1878234669465084
RPS3A,37,0.9911821962476852,26,-2.9568436688267443
RPS11,37,0.9943639394399284,37,-2.6157670541652043
RPS16,37,0.9930182609472188,37,-2.0116771208933364
RPS23,37,0.9924592402604249,37,-2.302301903661341
BIRC5,37,0.9850404686755962,36,-2.1969127168667884
THOC2,37,0.9839866682215852,34,-1.9792668350166174
PSMA3,37,0.9918040219727938,37,-2.70916135446046
CCNA2,37,0.9878668618631792,15,-1.4022819092543934
DONSON,37,0.9920919682528522,35,-2.336223254408316
SSRP1,37,0.9795494879688228,15,-1.4127908214035736
SRP19,37,0.9897940089036754,26,-1.6235612338860015
PRPF38A,37,0.9853903586800032,37,-2.4671656816392598
CCND1,37,0.9790603459418358,29,-1.9895068288677353
RPS20,37,0.9894974317636577,37,-2.8323969310743147
NUS1,37,0.9915629093711441,29,-1.715496500058608
RPS18,37,0.9873812918190483,36,-2.7060584045006677
LSM2,37,0.9916547467042736,36,-2.4197004450450557
LUC7L3,37,0.9866280491287646,30,-1.9229365815578716
RPS14,37,0.9903132357038894,35,-2.260459457452655
RPS19,37,0.9909949383220156,37,-2.9295680281042182
CDC45,37,0.9859235313561587,36,-2.394480174644773
PSMD14,37,0.9809468930906003,18,-1.490965759670244
CSE1L,37,0.9909800656206972,37,-2.1809719828676473
WDR43,37,0.9820530092394028,37,-2.2386666937641375
CDC27,37,0.9923569860759079,37,-2.8914365275604967
PRPF19,37,0.9880705674489338,37,-2.6246546503713257
VARS1,37,0.9875512912466722,26,-1.6575077100045632
TRMT112,37,0.9939505393440657,36,-2.011269794549058
DTL,37,0.9858001465196008,37,-2.285401140096509
MCM7,37,0.9885061576559737,35,-1.9875373351223222
PRELID1,37,0.9939218093683055,37,-2.695251462154
ANAPC1,37,0.9903984649761303,31,-1.7580636054338927
SRSF1,37,0.991611905463107,31,-1.7976019126486407
UBL5,37,0.9893689096510946,37,-2.886516551503438
BANF1,37,0.9853142064970892,36,-2.251166114702805
SNRPD1,37,0.9880605076884366,37,-2.757139810727092
HARS1,37,0.9938651103157181,27,-1.730659606337001
CLNS1A,37,0.9786443624410542,15,-1.4426628724930723
SNRPF,37,0.9902961710551839,37,-3.073162211403158
SNRPB,37,0.9899918893436053,34,-1.87754550864265
PAFAH1B1,37,0.9919020700025127,36,-2.1134152834137026
RRM1,37,0.9907214319383776,37,-3.002748485597476
LSM3,37,0.9861967268290822,30,-1.829075751351117
NEDD8,37,0.9848963312200598,30,-1.9263790887108572
COX17,37,0.9200091359314618,10,-1.077079594726194
XRCC6,37,0.9867445896337697,35,-2.0187773745671582
RPS4X,37,0.9873448744550483,33,-2.385025693275683
EIF4A3,37,0.9906025974600166,37,-2.448165279666394
RPA2,37,0.9893662569759127,33,-2.0080363167282145
DHDDS,37,0.9939418746544435,36,-2.2550258736027207
CHAF1B,37,0.9859122585605931,33,-2.0841351566762802
NAA50,37,0.9875630000690083,28,-1.7409447182190858
PSMA5,37,0.9822227117177601,32,-1.8361708092117064
RPS6,37,0.9870896511249714,36,-2.3514541816948475
SRSF7,37,0.9914126020294053,37,-2.4960508738699447
ESPL1,37,0.9761491047369465,36,-2.3253714705467656
EFTUD2,37,0.9860650000271497,29,-1.7648302259578315
DAD1,37,0.9913426954467017,33,-1.9940652113922586
HAUS1,37,0.9860563015078643,31,-1.9033051141944972
DDB1,37,0.9908696037155014,31,-1.7884048144402236
TPX2,37,0.9194572785416165,12,-1.3031304227242735
RAN,37,0.98883194160891,37,-4.118603511909032
LSM4,37,0.9847514704541043,35,-1.9320322789270319
POLR2L,37,0.988928157467026,37,-2.9539792085576773
CARS1,37,0.9760766292477514,28,-1.8055396920602125
RPS29,37,0.9883189442995433,37,-3.1213618206358524
MFAP1,37,0.9867429948067881,34,-1.8176155943535452
RUVBL2,37,0.9874312351415824,35,-2.1236045065574927
ZMAT2,37,0.9872261709995098,27,-1.6926164913227888
ANKLE2,37,0.9911724033656424,37,-2.4179166615562435
TSR2,37,0.9927427704269823,35,-1.9600347478531013
GINS2,37,0.9916956285098653,35,-2.1799373782161986
SF3B4,37,0.9889410159609342,35,-2.0902975814844025
PUF60,37,0.9881207046208084,37,-2.774891405697109
PSMB4,37,0.9889061703338277,35,-2.3349835176399982
EIF2S2,37,0.9825835614591033,22,-1.5582215830599395
RPS3,37,0.9917662498113271,37,-2.7747036207826117
TXNL4A,37,0.9883701704643868,37,-2.3317498513110864
CDC20,37,0.9831453669178593,37,-2.356068526021695
SDE2,37,0.9879685285929085,34,-1.77153981564885
THOC3,37,0.9843600510476944,27,-1.6904903147523505
PHB1,37,0.9839085200885396,32,-1.9173555944367027
SMU1,37,0.9877080659608585,37,-2.7742041477272426
ELOB,37,0.9827203439162657,28,-1.8374255745109598
POLR2D,37,0.9835127914274061,33,-1.9963398889220307
PSMA1,37,0.9865324024681573,37,-2.2633677108426604
POLR2G,37,0.9881487832413066,30,-1.6266611414311
PSMC6,37,0.9894692226573154,34,-1.8901634002315464
NUTF2,37,0.9891263047854106,34,-1.880783550489363
KIF23,37,0.986047830130603,36,-2.2321343756842364
PSMB3,37,0.9889114751472129,37,-2.8693241837655465
CPSF4,37,0.9868122763461897,32,-1.9028284528851394
EIF2B3,37,0.9851404229799907,13,-1.4130895884989894
HAUS7,37,0.9721807128674279,19,-1.5391999295957406
RPS15A,37,0.9912343342025001,36,-2.5646473152356224
LRR1,37,0.9865438632062964,37,-2.5213143466715406
RPS13,37,0.9822338395290546,25,-1.6256978216987055
RFC2,37,0.9856431903065862,27,-1.6569333741897019
PRPF38B,37,0.9859911391326972,37,-2.168506480334482
DARS1,37,0.9857702980170376,31,-1.82549760101135
BUD31,37,0.9872413734058003,33,-2.118409691230392
RPS9,37,0.9886199547363834,37,-2.095823249273841
SNRPD2,37,0.9864975461014754,34,-2.1212249099574176
MAD2L1,37,0.9929890353400429,27,-1.7456960407180226
WDR33,37,0.9878234492765893,35,-1.9984204655028668
BUD23,37,0.9792408390088123,15,-1.4872969061668606
UTP4,37,0.98457469650217,28,-1.7997079659999056
RPS24,37,0.9891257382727958,24,-1.627793322847713
CTDP1,37,0.9889878066810404,34,-1.8781563852244367
VCP,37,0.984369020741265,37,-2.439934603779567
PCNA,37,0.9911869162911768,36,-2.9248190217008725
ATP2A2,37,0.9874873526461487,35,-1.9607050614182848
SPC24,37,0.9857301669077831,36,-2.375672562913312
PSMA4,37,0.9745893032701166,14,-1.416389990488155
EIF6,37,0.9779921839903065,24,-1.7165579620914437
EIF3F,37,0.9829393603780248,23,-1.5953599708902237
SRP54,37,0.987224637388109,36,-2.2120624774601882
CCNK,37,0.969040725145254,33,-1.816041425901772
RPA1,37,0.9834889807142654,37,-2.3979686777926585
SNRNP25,37,0.975128348346229,21,-1.6373940335204005
LSM7,37,0.9890658952094413,36,-1.9980671556159648
INTS9,37,0.9836360318166716,28,-1.6751566219318021
SUPT6H,37,0.9789516050536353,34,-2.0451894849667087
RPS27A,37,0.9813255995243519,37,-2.3450475946352
RACK1,37,0.9791214396287728,35,-2.1170640565856598
SAP30BP,37,0.9562254553442603,25,-1.801986670449155
SF3B5,37,0.9848568434113856,37,-3.044901409267346
DNAJC9,37,0.9760326727016552,20,-1.6439858697163836
HMGCS1,37,0.9684587078051523,28,-1.7380347255291917
PSMD11,37,0.9868209490904934,32,-1.7397145081666776
SNU13,37,0.9900982004028184,37,-2.6155221902175527
NCBP2,37,0.9870468958004099,34,-2.124546117243652
WDR74,37,0.990442892452618,32,-1.9413530241714376
POLR2I,37,0.9856239766687962,34,-2.0343871311428003
PHF5A,37,0.9881340007524233,37,-2.419455144396866
COPB1,37,0.9747338037233095,36,-2.3175465365885284
UBTF,37,0.9869217872619627,26,-1.6811645893445208
VPS25,37,0.9856991359779428,32,-2.092145529892659
CDC23,37,0.9891169076567297,37,-2.341479089326483
POLR2C,37,0.986279055341944,37,-2.5754517135416233
YARS2,37,0.9751152578774874,12,-1.2615628102418335
BRF2,37,0.981949020613421,29,-1.6834487603856412
DBR1,37,0.9773023654748727,27,-1.7382266209523587
H2BC11,37,0.9756203712643804,34,-2.1084900081053815
TICRR,37,0.9811809820097848,34,-1.790425737300226
DDX47,37,0.9862842887371509,33,-1.8040914831288637
ARL2,37,0.9876451347325297,30,-1.7378607336190162
SF3B1,37,0.9626709077809308,11,-1.3749301309152209
PRIM1,37,0.9858859755971408,37,-2.080529797767816
GPN1,37,0.9897903762422166,25,-1.644946274972579
ACTR10,37,0.9890717230401597,24,-1.5564736674060051
PSMA7,37,0.9870810369113545,37,-2.2055666760015513
EIF2B4,37,0.9846651006389309,32,-1.7756381486178787
RPS12,37,0.9896882208617958,37,-2.489861965189853
KARS1,37,0.9761891875181111,17,-1.483894241718671
PFDN2,37,0.98214155059677,26,-1.6049341029146993
PRPF8,37,0.9839883543349601,31,-1.860811497693171
PLK1,37,0.9853685723768698,36,-2.786873904889452
PSMB6,37,0.9785815155183947,33,-2.1819582334098944
CHMP2A,37,0.9853457405760484,37,-2.2858614143395473
INTS11,37,0.985883615575395,37,-2.0856894305971854
DDX56,37,0.9819885529913343,37,-2.2737539301789726
NUF2,37,0.978254582967844,26,-1.6522138294235686
FARSB,37,0.989577030276393,34,-1.9398646443258287
HSPA9,37,0.9804762580373267,36,-2.2136155356870475
CDC7,37,0.9766902279209446,36,-2.3552048479566032
FAU,37,0.9878982987489785,37,-2.735062288821171
POLR2B,37,0.9885294974387228,36,-2.4869818393561913
HSPE1,37,0.987185712870177,37,-3.563179223306707
LYRM4,37,0.9767497509449452,20,-1.5902074211696657
GINS1,37,0.9868973021034722,37,-2.2720249079403447
RSL24D1,37,0.9836338753098841,26,-2.2652153185456223
ANAPC2,37,0.9801721417152133,20,-1.5255031281583573
POP5,37,0.984074543725263,33,-2.13187261099773
PSMA2,37,0.9913827245299881,33,-2.1612583489465074
PSMB1,37,0.9866150128948797,35,-1.7994110546979725
EIF3D,37,0.9836030897793467,25,-1.6550767156439845
CPSF3,37,0.9847082823246451,32,-1.8713520804722754
RPS28,37,0.9833460842166936,23,-1.9919303416773304
POLR3B,37,0.9781761599016618,26,-1.7233655986821064
RBMX,37,0.98358822083688,31,-1.7878863428237388
PSMB5,37,0.9892377821174828,36,-2.005219978664687
U2AF1,37,0.9905350643235282,31,-1.8828761601846014
UTP15,37,0.9813664700533893,27,-1.630830527992978
RBM39,37,0.9815454182324111,35,-2.171420512742392
CDK1,37,0.9912102399645625,35,-2.428208693977646
TARS1,37,0.9553137716946302,26,-1.7158157676550123
EXOSC6,37,0.9872289879901991,27,-1.675962029394595
