,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
RPS28,37,0.9860700116501196,23,-1.9919303416773304
SNRPE,37,0.9733550983506281,23,-1.8962416308945351
PRIM1,37,0.991994953370309,37,-2.080529797767816
PSMB4,37,0.9922555196392645,35,-2.3349835176399982
DHX37,37,0.9894423065958796,34,-1.7879708009878172
RSL24D1,37,0.9857393342095453,26,-2.2652153185456223
RPS3A,37,0.9854851182516629,26,-2.9568436688267443
PCNA,37,0.9925282968057169,36,-2.9248190217008725
RRM1,37,0.9942785904214189,37,-3.002748485597476
ETF1,37,0.964760240670797,29,-1.7730679965440415
LSM3,37,0.9908465786023182,30,-1.829075751351117
XRCC6,37,0.9942130489392325,35,-2.0187773745671582
ISCU,37,0.9896754966125832,34,-2.0327043917182452
MCM2,37,0.9883800766489528,34,-1.9767903882501607
DHX8,37,0.9367413966505377,16,-1.4738954553397825
PSMG4,37,0.9195765882461995,22,-1.632721150544384
PHB1,37,0.9835074866140209,32,-1.9173555944367027
VPS25,37,0.9908372587985821,32,-2.092145529892659
RPS4X,37,0.9881267896643632,33,-2.385025693275683
RRM2,37,0.9939957830283017,37,-2.6354710074863408
PSMA2,37,0.9908725162884136,33,-2.1612583489465074
RPS20,37,0.9886165159242647,37,-2.8323969310743147
SF3B3,37,0.9884931192741738,35,-2.4108494200904005
CDC7,37,0.9922742725492597,36,-2.3552048479566032
RPS7,37,0.9915525097030777,36,-2.1878234669465084
GINS2,37,0.9914960377925153,35,-2.1799373782161986
PSMD11,37,0.9909775477271897,32,-1.7397145081666776
PSMB1,37,0.990748223420736,35,-1.7994110546979725
RPS21,37,0.9846914351523458,27,-1.62722865271823
PRPF6,37,0.914786201876563,10,-1.2955715166931077
PHF5A,37,0.9879990676501851,37,-2.419455144396866
MAT2A,37,0.9728800649041528,21,-1.5071701259380055
ZPR1,37,0.9662967415543289,20,-1.5213678965688386
SNRNP200,37,0.9872589003932367,37,-2.3636181132875587
SF1,37,0.9903148751001098,37,-2.5610893988167014
RPS3,37,0.9937946721240207,37,-2.7747036207826117
RPS12,37,0.9909175317566674,37,-2.489861965189853
PSMD6,37,0.9897426157384307,30,-1.8931074982948661
RPS19,37,0.9915092281393104,37,-2.9295680281042182
RACK1,37,0.9830825849696321,35,-2.1170640565856598
RPS14,37,0.9894511114369641,35,-2.260459457452655
LSM2,37,0.9872888213879353,36,-2.4197004450450557
RPS15,37,0.9927574970700719,37,-2.5831104063718713
GPN2,37,0.9795422242568421,34,-2.1818873093952678
POLR2B,37,0.9894334716839832,36,-2.4869818393561913
CCNA2,37,0.9712624662631267,15,-1.4022819092543934
RPS13,37,0.9898447013116098,25,-1.6256978216987055
MARS1,37,0.989767507926838,33,-1.833334774712408
RPS9,37,0.9909175586056067,37,-2.095823249273841
PSMD12,37,0.9891201182528657,23,-1.5417218399129193
PSMD2,37,0.9843195617735924,20,-1.522275279014324
AURKB,37,0.9903235328090082,36,-2.3656811196583183
RPA1,37,0.9906575975117381,37,-2.3979686777926585
KIF23,37,0.9900016972610541,36,-2.2321343756842364
UBTF,37,0.9866524548143956,26,-1.6811645893445208
SNW1,37,0.9853106742506628,26,-1.6052784324212306
DARS1,37,0.9854043485882047,31,-1.82549760101135
ESPL1,37,0.9836539690558975,36,-2.3253714705467656
YARS1,37,0.9923752460393821,34,-2.1842691031320034
MFAP1,37,0.9846188275663703,34,-1.8176155943535452
RPS23,37,0.9908629446416289,37,-2.302301903661341
PRPF38B,37,0.9820362071733217,37,-2.168506480334482
ERH,37,0.9904475732966587,37,-2.2881432883773014
NUS1,37,0.9817809526984757,29,-1.715496500058608
SAP30BP,37,0.9738755226135252,25,-1.801986670449155
SUPT16H,37,0.9908051361908786,32,-1.755433396143247
RBM39,37,0.9869019759667886,35,-2.171420512742392
POLD1,37,0.9903160199388729,37,-2.5756964440597203
POLR3B,37,0.983164065592998,26,-1.7233655986821064
PRPF38A,37,0.9880530624776274,37,-2.4671656816392598
SNU13,37,0.9886979568112005,37,-2.6155221902175527
RPS29,37,0.9886428445309131,37,-3.1213618206358524
PRELID1,37,0.9922997876330537,37,-2.695251462154
NUP93,37,0.9837922915682064,26,-1.7664563974988636
RFC2,37,0.9883353565190289,27,-1.6569333741897019
PRPF31,37,0.9904058500453161,37,-2.0564862958805747
XAB2,37,0.9888331788080232,37,-2.2718253541225004
RPS5,37,0.990526111813279,35,-2.0558566096365665
DTL,37,0.9915799278396744,37,-2.285401140096509
WEE1,37,0.9909931802534842,37,-2.767234186304036
RUVBL1,37,0.976388468935683,24,-1.579762765147592
HNRNPK,37,0.9855191154522938,34,-2.129664091624064
PHB2,37,0.9862613355791249,34,-2.074010332143654
KIF11,37,0.9874343227695772,35,-2.578703566666825
PDRG1,37,0.9748478698300884,22,-1.5327111658540842
PAM16,37,0.9708493244540585,20,-1.4347775335136865
POLR1F,37,0.9854040774139198,33,-1.9415363156979943
RPS11,37,0.9905620614687602,37,-2.6157670541652043
LSM7,37,0.9841937707351134,36,-1.9980671556159648
XPO1,37,0.9817018401515377,30,-1.7579840138090457
TUBB,37,0.9736654248323527,21,-1.6398825994723494
PSMC2,37,0.9866013924280802,22,-1.6019985654842648
RPA2,37,0.9874036065093031,33,-2.0080363167282145
MAD2L1,37,0.980449447223732,27,-1.7456960407180226
NFS1,37,0.983118149611327,26,-1.741251728740207
PSMD3,37,0.9887225891018774,25,-1.6857408879426992
PAFAH1B1,37,0.992309430161038,36,-2.1134152834137026
SPC24,37,0.9799997097737079,36,-2.375672562913312
LSM4,37,0.9870192472999159,35,-1.9320322789270319
COPB2,37,0.9829198669742896,34,-2.0604821320266025
ABCE1,37,0.988813121576567,36,-2.059658701375744
U2AF1,37,0.9845258706324808,31,-1.8828761601846014
SRSF7,37,0.9863684376080833,37,-2.4960508738699447
VCP,37,0.990619067136232,37,-2.439934603779567
DHDDS,37,0.9938156411454482,36,-2.2550258736027207
PSMA1,37,0.9872286378800331,37,-2.2633677108426604
NOP58,37,0.982285563473229,29,-1.805193705707675
TXNL4A,37,0.9897477879180564,37,-2.3317498513110864
HSPA9,37,0.9875948412998302,36,-2.2136155356870475
TINF2,37,0.9870893874683897,31,-1.915935024639245
PSMC3,37,0.9898409913252066,32,-1.80423838480434
SRSF1,37,0.9866050159608996,31,-1.7976019126486407
PSMA7,37,0.9910316236384281,37,-2.2055666760015513
DONSON,37,0.9906392596863409,35,-2.336223254408316
TSR2,37,0.9898726875717577,35,-1.9600347478531013
CDC45,37,0.9914308437356002,36,-2.394480174644773
SF3B6,37,0.9849142383884741,33,-1.8507408291699894
