"Step","GNN_bp_1 - assay_ap","GNN_bp_1 - assay_ap__MIN","GNN_bp_1 - assay_ap__MAX","GNN_bp_999 - assay_ap","GNN_bp_999 - assay_ap__MIN","GNN_bp_999 - assay_ap__MAX","GNN_bp_42 - assay_ap","GNN_bp_42 - assay_ap__MIN","GNN_bp_42 - assay_ap__MAX","GNN_cgp_1 - assay_ap","GNN_cgp_1 - assay_ap__MIN","GNN_cgp_1 - assay_ap__MAX","GNN_cgp_999 - assay_ap","GNN_cgp_999 - assay_ap__MIN","GNN_cgp_999 - assay_ap__MAX","GNN_cgp_42 - assay_ap","GNN_cgp_42 - assay_ap__MIN","GNN_cgp_42 - assay_ap__MAX","GNN_go_1 - assay_ap","GNN_go_1 - assay_ap__MIN","GNN_go_1 - assay_ap__MAX","GNN_go_999 - assay_ap","GNN_go_999 - assay_ap__MIN","GNN_go_999 - assay_ap__MAX","GNN_go_42 - assay_ap","GNN_go_42 - assay_ap__MIN","GNN_go_42 - assay_ap__MAX","GNN_cp_1 - assay_ap","GNN_cp_1 - assay_ap__MIN","GNN_cp_1 - assay_ap__MAX","GNN_cp_999 - assay_ap","GNN_cp_999 - assay_ap__MIN","GNN_cp_999 - assay_ap__MAX","GNN_cp_42 - assay_ap","GNN_cp_42 - assay_ap__MIN","GNN_cp_42 - assay_ap__MAX"
"0","0.43229660979106516","0.43229660979106516","0.43229660979106516","0.39972949408134933","0.39972949408134933","0.39972949408134933","0.4329909510339994","0.4329909510339994","0.4329909510339994","0.4709531156062733","0.4709531156062733","0.4709531156062733","0.390209754041189","0.390209754041189","0.390209754041189","0.45353064168776225","0.45353064168776225","0.45353064168776225","0.4190827473764225","0.4190827473764225","0.4190827473764225","0.4324772991083755","0.4324772991083755","0.4324772991083755","0.4240741465235251","0.4240741465235251","0.4240741465235251","0.42900158564513513","0.42900158564513513","0.42900158564513513","0.4358991897166628","0.4358991897166628","0.4358991897166628","0.445276509534726","0.445276509534726","0.445276509534726"
"1","0.5055951078451575","0.5055951078451575","0.5055951078451575","0.46557163520730055","0.46557163520730055","0.46557163520730055","0.4885454790018381","0.4885454790018381","0.4885454790018381","0.5496733305372183","0.5496733305372183","0.5496733305372183","0.4663301474146989","0.4663301474146989","0.4663301474146989","0.49791009546113013","0.49791009546113013","0.49791009546113013","0.48312381668795845","0.48312381668795845","0.48312381668795845","0.4990926970969446","0.4990926970969446","0.4990926970969446","0.4994536260835254","0.4994536260835254","0.4994536260835254","0.5024965927516566","0.5024965927516566","0.5024965927516566","0.5113393274234449","0.5113393274234449","0.5113393274234449","0.5064180777298543","0.5064180777298543","0.5064180777298543"
"2","0.5607298297803925","0.5607298297803925","0.5607298297803925","0.5334504093079854","0.5334504093079854","0.5334504093079854","0.551451597878989","0.551451597878989","0.551451597878989","0.5843039666851904","0.5843039666851904","0.5843039666851904","0.530435140664309","0.530435140664309","0.530435140664309","0.5622269853569488","0.5622269853569488","0.5622269853569488","0.5538668578214437","0.5538668578214437","0.5538668578214437","0.5555174394470775","0.5555174394470775","0.5555174394470775","0.5446630074591204","0.5446630074591204","0.5446630074591204","0.5434731533188107","0.5434731533188107","0.5434731533188107","0.5655204233822178","0.5655204233822178","0.5655204233822178","0.577272104795786","0.577272104795786","0.577272104795786"
"3","0.5885953665684774","0.5885953665684774","0.5885953665684774","0.577104507587292","0.577104507587292","0.577104507587292","0.5810111316149793","0.5810111316149793","0.5810111316149793","0.6294026131983921","0.6294026131983921","0.6294026131983921","0.5845127098408426","0.5845127098408426","0.5845127098408426","0.591243075776387","0.591243075776387","0.591243075776387","0.6052384409617639","0.6052384409617639","0.6052384409617639","0.6013050926532746","0.6013050926532746","0.6013050926532746","0.5820547260332699","0.5820547260332699","0.5820547260332699","0.5852883982539611","0.5852883982539611","0.5852883982539611","0.6049436832219605","0.6049436832219605","0.6049436832219605","0.579232140536133","0.579232140536133","0.579232140536133"
"4","0.6146717220716033","0.6146717220716033","0.6146717220716033","0.6207368581573718","0.6207368581573718","0.6207368581573718","0.6121918901422709","0.6121918901422709","0.6121918901422709","0.638376140708453","0.638376140708453","0.638376140708453","0.5872126065146753","0.5872126065146753","0.5872126065146753","0.631881558003992","0.631881558003992","0.631881558003992","0.6106880610621103","0.6106880610621103","0.6106880610621103","0.626681889825509","0.626681889825509","0.626681889825509","0.6265456432392197","0.6265456432392197","0.6265456432392197","0.615540880016837","0.615540880016837","0.615540880016837","0.6258210586388923","0.6258210586388923","0.6258210586388923","0.6118786895519419","0.6118786895519419","0.6118786895519419"
"5","0.6434417831227464","0.6434417831227464","0.6434417831227464","0.6208896939607657","0.6208896939607657","0.6208896939607657","0.6098935563385752","0.6098935563385752","0.6098935563385752","0.6681019846540392","0.6681019846540392","0.6681019846540392","0.6252061262525523","0.6252061262525523","0.6252061262525523","0.6573742386648884","0.6573742386648884","0.6573742386648884","0.6199386606114915","0.6199386606114915","0.6199386606114915","0.6435390696715025","0.6435390696715025","0.6435390696715025","0.6664162187384643","0.6664162187384643","0.6664162187384643","0.6440441102965005","0.6440441102965005","0.6440441102965005","0.6364121869499295","0.6364121869499295","0.6364121869499295","0.670356900594715","0.670356900594715","0.670356900594715"
"6","0.662765259239713","0.662765259239713","0.662765259239713","0.631497168027009","0.631497168027009","0.631497168027009","0.6380076833864589","0.6380076833864589","0.6380076833864589","0.6849038369270435","0.6849038369270435","0.6849038369270435","0.6405558955798297","0.6405558955798297","0.6405558955798297","0.6607362718446939","0.6607362718446939","0.6607362718446939","0.6612005573829662","0.6612005573829662","0.6612005573829662","0.6547718451399558","0.6547718451399558","0.6547718451399558","0.6509855922752994","0.6509855922752994","0.6509855922752994","0.674718629760618","0.674718629760618","0.674718629760618","0.6431547100827238","0.6431547100827238","0.6431547100827238","0.6772733011324472","0.6772733011324472","0.6772733011324472"
"7","0.6904950374202126","0.6904950374202126","0.6904950374202126","0.6787103193211269","0.6787103193211269","0.6787103193211269","0.6460199592057556","0.6460199592057556","0.6460199592057556","0.7038964112781092","0.7038964112781092","0.7038964112781092","0.6722593867816541","0.6722593867816541","0.6722593867816541","0.6699011337998231","0.6699011337998231","0.6699011337998231","0.6831766822571428","0.6831766822571428","0.6831766822571428","0.6856166581722642","0.6856166581722642","0.6856166581722642","0.6840352615279904","0.6840352615279904","0.6840352615279904","0.6628116950579482","0.6628116950579482","0.6628116950579482","0.6643932420012207","0.6643932420012207","0.6643932420012207","0.6809824164534026","0.6809824164534026","0.6809824164534026"
"8","0.6909812434107142","0.6909812434107142","0.6909812434107142","0.669411166261167","0.669411166261167","0.669411166261167","0.689429484386406","0.689429484386406","0.689429484386406","0.7104728113615707","0.7104728113615707","0.7104728113615707","0.6831066186072411","0.6831066186072411","0.6831066186072411","0.6889085875058694","0.6889085875058694","0.6889085875058694","0.6972750175603223","0.6972750175603223","0.6972750175603223","0.6807482731163211","0.6807482731163211","0.6807482731163211","0.7088498538139881","0.7088498538139881","0.7088498538139881","0.6677015300538701","0.6677015300538701","0.6677015300538701","0.6659159468993745","0.6659159468993745","0.6659159468993745","0.6967467629586339","0.6967467629586339","0.6967467629586339"
"9","0.721206259658461","0.721206259658461","0.721206259658461","0.6854226127231559","0.6854226127231559","0.6854226127231559","0.7004988427333421","0.7004988427333421","0.7004988427333421","0.6992958740995109","0.6992958740995109","0.6992958740995109","0.6793789278396085","0.6793789278396085","0.6793789278396085","0.6728815958927836","0.6728815958927836","0.6728815958927836","0.684327441035151","0.684327441035151","0.684327441035151","0.6950639214092048","0.6950639214092048","0.6950639214092048","0.7079600875166867","0.7079600875166867","0.7079600875166867","0.6643470501439044","0.6643470501439044","0.6643470501439044","0.6981678068494076","0.6981678068494076","0.6981678068494076","0.7116138424740747","0.7116138424740747","0.7116138424740747"
