"Step","GNN_bp_1 - assay_ap","GNN_bp_1 - assay_ap__MIN","GNN_bp_1 - assay_ap__MAX","GNN_bp_999 - assay_ap","GNN_bp_999 - assay_ap__MIN","GNN_bp_999 - assay_ap__MAX","GNN_bp_42 - assay_ap","GNN_bp_42 - assay_ap__MIN","GNN_bp_42 - assay_ap__MAX","GNN_cp_1 - assay_ap","GNN_cp_1 - assay_ap__MIN","GNN_cp_1 - assay_ap__MAX","GNN_cp_999 - assay_ap","GNN_cp_999 - assay_ap__MIN","GNN_cp_999 - assay_ap__MAX","GNN_cp_42 - assay_ap","GNN_cp_42 - assay_ap__MIN","GNN_cp_42 - assay_ap__MAX","GNN_go_1 - assay_ap","GNN_go_1 - assay_ap__MIN","GNN_go_1 - assay_ap__MAX","GNN_go_999 - assay_ap","GNN_go_999 - assay_ap__MIN","GNN_go_999 - assay_ap__MAX","GNN_go_42 - assay_ap","GNN_go_42 - assay_ap__MIN","GNN_go_42 - assay_ap__MAX","GNN_cgp_1 - assay_ap","GNN_cgp_1 - assay_ap__MIN","GNN_cgp_1 - assay_ap__MAX","GNN_cgp_999 - assay_ap","GNN_cgp_999 - assay_ap__MIN","GNN_cgp_999 - assay_ap__MAX","GNN_cgp_42 - assay_ap","GNN_cgp_42 - assay_ap__MIN","GNN_cgp_42 - assay_ap__MAX"
"0","0.3870309656592051","0.3870309656592051","0.3870309656592051","0.3752958174201611","0.3752958174201611","0.3752958174201611","0.4067882452383726","0.4067882452383726","0.4067882452383726","0.4026849139292513","0.4026849139292513","0.4026849139292513","0.40130311170913063","0.40130311170913063","0.40130311170913063","0.42315378707629664","0.42315378707629664","0.42315378707629664","0.4038121682351591","0.4038121682351591","0.4038121682351591","0.4194502680676496","0.4194502680676496","0.4194502680676496","0.4047624180103461","0.4047624180103461","0.4047624180103461","0.4255341908079024","0.4255341908079024","0.4255341908079024","0.40420636588034886","0.40420636588034886","0.40420636588034886","0.42583182967937466","0.42583182967937466","0.42583182967937466"
"1","0.4557742286149061","0.4557742286149061","0.4557742286149061","0.49627453421061907","0.49627453421061907","0.49627453421061907","0.4939188523785008","0.4939188523785008","0.4939188523785008","0.4852849727791179","0.4852849727791179","0.4852849727791179","0.49856347127340234","0.49856347127340234","0.49856347127340234","0.49180261093342387","0.49180261093342387","0.49180261093342387","0.4830652977433157","0.4830652977433157","0.4830652977433157","0.4550088241916833","0.4550088241916833","0.4550088241916833","0.48396931840410345","0.48396931840410345","0.48396931840410345","0.5100262829575184","0.5100262829575184","0.5100262829575184","0.46947456118094755","0.46947456118094755","0.46947456118094755","0.46926237711982527","0.46926237711982527","0.46926237711982527"
"2","0.5322581144529647","0.5322581144529647","0.5322581144529647","0.5203223685512772","0.5203223685512772","0.5203223685512772","0.5356854228799425","0.5356854228799425","0.5356854228799425","0.5605986164496677","0.5605986164496677","0.5605986164496677","0.5684430334639615","0.5684430334639615","0.5684430334639615","0.5541998676272799","0.5541998676272799","0.5541998676272799","0.5285768861851277","0.5285768861851277","0.5285768861851277","0.5161220787381028","0.5161220787381028","0.5161220787381028","0.5391467163169821","0.5391467163169821","0.5391467163169821","0.5850805433028884","0.5850805433028884","0.5850805433028884","0.5379078641826083","0.5379078641826083","0.5379078641826083","0.5517730272922089","0.5517730272922089","0.5517730272922089"
"3","0.5787020655604557","0.5787020655604557","0.5787020655604557","0.5802950587546363","0.5802950587546363","0.5802950587546363","0.592598231399231","0.592598231399231","0.592598231399231","0.597961118824248","0.597961118824248","0.597961118824248","0.6018739692068753","0.6018739692068753","0.6018739692068753","0.5963429729628184","0.5963429729628184","0.5963429729628184","0.5748701315507421","0.5748701315507421","0.5748701315507421","0.5846648613505134","0.5846648613505134","0.5846648613505134","0.5924672041844403","0.5924672041844403","0.5924672041844403","0.6108264294523403","0.6108264294523403","0.6108264294523403","0.5437494641281654","0.5437494641281654","0.5437494641281654","0.5756442805750815","0.5756442805750815","0.5756442805750815"
"4","0.6021203056045692","0.6021203056045692","0.6021203056045692","0.5922692930172662","0.5922692930172662","0.5922692930172662","0.6154427158602042","0.6154427158602042","0.6154427158602042","0.6136896922892956","0.6136896922892956","0.6136896922892956","0.643221914495111","0.643221914495111","0.643221914495111","0.6409364437501942","0.6409364437501942","0.6409364437501942","0.6027062516648755","0.6027062516648755","0.6027062516648755","0.6134638724061579","0.6134638724061579","0.6134638724061579","0.6216954656582452","0.6216954656582452","0.6216954656582452","0.6334609064865522","0.6334609064865522","0.6334609064865522","0.6214457376212845","0.6214457376212845","0.6214457376212845","0.605928910537295","0.605928910537295","0.605928910537295"
"5","0.6280973239615396","0.6280973239615396","0.6280973239615396","0.6097211864569682","0.6097211864569682","0.6097211864569682","0.6336937937665416","0.6336937937665416","0.6336937937665416","0.6409522050915101","0.6409522050915101","0.6409522050915101","0.6574486510488603","0.6574486510488603","0.6574486510488603","0.6586699763052943","0.6586699763052943","0.6586699763052943","0.6230612666568451","0.6230612666568451","0.6230612666568451","0.6613364066765265","0.6613364066765265","0.6613364066765265","0.6305963490621709","0.6305963490621709","0.6305963490621709","0.6360996917722674","0.6360996917722674","0.6360996917722674","0.6453357803558747","0.6453357803558747","0.6453357803558747","0.6534043014023155","0.6534043014023155","0.6534043014023155"
"6","0.6449233268074154","0.6449233268074154","0.6449233268074154","0.6559240229121328","0.6559240229121328","0.6559240229121328","0.6477314294997644","0.6477314294997644","0.6477314294997644","0.6527774454780135","0.6527774454780135","0.6527774454780135","0.6711743651120962","0.6711743651120962","0.6711743651120962","0.6765653862538539","0.6765653862538539","0.6765653862538539","0.6459709288163982","0.6459709288163982","0.6459709288163982","0.6661759405278469","0.6661759405278469","0.6661759405278469","0.6513752645527052","0.6513752645527052","0.6513752645527052","0.6739943578205352","0.6739943578205352","0.6739943578205352","0.6475984751000384","0.6475984751000384","0.6475984751000384","0.6495546697226942","0.6495546697226942","0.6495546697226942"
"7","0.6732686532365825","0.6732686532365825","0.6732686532365825","0.6778480137238836","0.6778480137238836","0.6778480137238836","0.6768983461453089","0.6768983461453089","0.6768983461453089","0.6732228107881528","0.6732228107881528","0.6732228107881528","0.6817539370834238","0.6817539370834238","0.6817539370834238","0.6715543544734445","0.6715543544734445","0.6715543544734445","0.6608289456100451","0.6608289456100451","0.6608289456100451","0.6956156468490686","0.6956156468490686","0.6956156468490686","0.6714567680152058","0.6714567680152058","0.6714567680152058","0.6713448255818398","0.6713448255818398","0.6713448255818398","0.6863852460985507","0.6863852460985507","0.6863852460985507","0.6701033971467026","0.6701033971467026","0.6701033971467026"
"8","0.6809481376136183","0.6809481376136183","0.6809481376136183","0.6945830115298622","0.6945830115298622","0.6945830115298622","0.6827431210705595","0.6827431210705595","0.6827431210705595","0.7060002721852203","0.7060002721852203","0.7060002721852203","0.6939730117753091","0.6939730117753091","0.6939730117753091","0.682199015155711","0.682199015155711","0.682199015155711","0.6893961711241132","0.6893961711241132","0.6893961711241132","0.7066898062817873","0.7066898062817873","0.7066898062817873","0.6880024416520066","0.6880024416520066","0.6880024416520066","0.6998513103625019","0.6998513103625019","0.6998513103625019","0.6891572127041743","0.6891572127041743","0.6891572127041743","0.69139593686876","0.69139593686876","0.69139593686876"
"9","0.6845861722579469","0.6845861722579469","0.6845861722579469","0.6776836645644405","0.6776836645644405","0.6776836645644405","0.6628125461554336","0.6628125461554336","0.6628125461554336","0.7060738423336115","0.7060738423336115","0.7060738423336115","0.6975005949713224","0.6975005949713224","0.6975005949713224","0.6920762539218083","0.6920762539218083","0.6920762539218083","0.6778500490840342","0.6778500490840342","0.6778500490840342","0.7296698241484391","0.7296698241484391","0.7296698241484391","0.7040150444920183","0.7040150444920183","0.7040150444920183","0.7041296088833703","0.7041296088833703","0.7041296088833703","0.681809101124596","0.681809101124596","0.681809101124596","0.7251536323330454","0.7251536323330454","0.7251536323330454"
