"Step","GNN_bp_1 - gene_ap","GNN_bp_1 - gene_ap__MIN","GNN_bp_1 - gene_ap__MAX","GNN_bp_999 - gene_ap","GNN_bp_999 - gene_ap__MIN","GNN_bp_999 - gene_ap__MAX","GNN_bp_42 - gene_ap","GNN_bp_42 - gene_ap__MIN","GNN_bp_42 - gene_ap__MAX","GNN_cp_1 - gene_ap","GNN_cp_1 - gene_ap__MIN","GNN_cp_1 - gene_ap__MAX","GNN_cp_999 - gene_ap","GNN_cp_999 - gene_ap__MIN","GNN_cp_999 - gene_ap__MAX","GNN_cp_42 - gene_ap","GNN_cp_42 - gene_ap__MIN","GNN_cp_42 - gene_ap__MAX","GNN_go_1 - gene_ap","GNN_go_1 - gene_ap__MIN","GNN_go_1 - gene_ap__MAX","GNN_go_999 - gene_ap","GNN_go_999 - gene_ap__MIN","GNN_go_999 - gene_ap__MAX","GNN_go_42 - gene_ap","GNN_go_42 - gene_ap__MIN","GNN_go_42 - gene_ap__MAX","GNN_cgp_1 - gene_ap","GNN_cgp_1 - gene_ap__MIN","GNN_cgp_1 - gene_ap__MAX","GNN_cgp_999 - gene_ap","GNN_cgp_999 - gene_ap__MIN","GNN_cgp_999 - gene_ap__MAX","GNN_cgp_42 - gene_ap","GNN_cgp_42 - gene_ap__MIN","GNN_cgp_42 - gene_ap__MAX"
"0","0.46357719439920664","0.46357719439920664","0.46357719439920664","0.4436521892782962","0.4436521892782962","0.4436521892782962","0.4540809401304828","0.4540809401304828","0.4540809401304828","0.4500242412018187","0.4500242412018187","0.4500242412018187","0.46223548984171225","0.46223548984171225","0.46223548984171225","0.4661222946395586","0.4661222946395586","0.4661222946395586","0.4640963919768453","0.4640963919768453","0.4640963919768453","0.4635232677847008","0.4635232677847008","0.4635232677847008","0.4468395383754408","0.4468395383754408","0.4468395383754408","0.4610385147584039","0.4610385147584039","0.4610385147584039","0.44926996617024106","0.44926996617024106","0.44926996617024106","0.46887877531702565","0.46887877531702565","0.46887877531702565"
"1","0.4499321970458489","0.4499321970458489","0.4499321970458489","0.47646514943538726","0.47646514943538726","0.47646514943538726","0.46654855317920463","0.46654855317920463","0.46654855317920463","0.464257791346673","0.464257791346673","0.464257791346673","0.4813165065996103","0.4813165065996103","0.4813165065996103","0.46027664042561234","0.46027664042561234","0.46027664042561234","0.4767371612573887","0.4767371612573887","0.4767371612573887","0.48212371703337215","0.48212371703337215","0.48212371703337215","0.46792625915540614","0.46792625915540614","0.46792625915540614","0.4556668634225456","0.4556668634225456","0.4556668634225456","0.47286156580457617","0.47286156580457617","0.47286156580457617","0.4649629919239038","0.4649629919239038","0.4649629919239038"
"2","0.46717536731817766","0.46717536731817766","0.46717536731817766","0.46793699291230384","0.46793699291230384","0.46793699291230384","0.46660246117337273","0.46660246117337273","0.46660246117337273","0.47539688984987055","0.47539688984987055","0.47539688984987055","0.4775232265952219","0.4775232265952219","0.4775232265952219","0.4770597635256702","0.4770597635256702","0.4770597635256702","0.5020837402045565","0.5020837402045565","0.5020837402045565","0.5012392264430701","0.5012392264430701","0.5012392264430701","0.4550283026420763","0.4550283026420763","0.4550283026420763","0.4581147093426043","0.4581147093426043","0.4581147093426043","0.47406128906107053","0.47406128906107053","0.47406128906107053","0.482248078147796","0.482248078147796","0.482248078147796"
"3","0.4973718844912985","0.4973718844912985","0.4973718844912985","0.4843878130190294","0.4843878130190294","0.4843878130190294","0.4636756511549042","0.4636756511549042","0.4636756511549042","0.4934268107313748","0.4934268107313748","0.4934268107313748","0.5168437000295664","0.5168437000295664","0.5168437000295664","0.5007433067906106","0.5007433067906106","0.5007433067906106","0.48833905068112005","0.48833905068112005","0.48833905068112005","0.5019652849290644","0.5019652849290644","0.5019652849290644","0.47342851650006773","0.47342851650006773","0.47342851650006773","0.5121603286574098","0.5121603286574098","0.5121603286574098","0.49665395841025917","0.49665395841025917","0.49665395841025917","0.5024451525593607","0.5024451525593607","0.5024451525593607"
"4","0.49228447486442123","0.49228447486442123","0.49228447486442123","0.48570505413804665","0.48570505413804665","0.48570505413804665","0.5087089999090701","0.5087089999090701","0.5087089999090701","0.5283293423300686","0.5283293423300686","0.5283293423300686","0.4683337005562069","0.4683337005562069","0.4683337005562069","0.4878043601299162","0.4878043601299162","0.4878043601299162","0.4861609805352844","0.4861609805352844","0.4861609805352844","0.5216103751247304","0.5216103751247304","0.5216103751247304","0.48763752629362683","0.48763752629362683","0.48763752629362683","0.49123653128908923","0.49123653128908923","0.49123653128908923","0.4915656214920458","0.4915656214920458","0.4915656214920458","0.49396922112032005","0.49396922112032005","0.49396922112032005"
"5","0.511965039369064","0.511965039369064","0.511965039369064","0.49246974172056185","0.49246974172056185","0.49246974172056185","0.5027638589748246","0.5027638589748246","0.5027638589748246","0.4925869247882293","0.4925869247882293","0.4925869247882293","0.5130122720386924","0.5130122720386924","0.5130122720386924","0.5333952014329201","0.5333952014329201","0.5333952014329201","0.5083615889276872","0.5083615889276872","0.5083615889276872","0.5098442175517114","0.5098442175517114","0.5098442175517114","0.5143720425133922","0.5143720425133922","0.5143720425133922","0.5328493455199139","0.5328493455199139","0.5328493455199139","0.5028108255506792","0.5028108255506792","0.5028108255506792","0.5152519581754781","0.5152519581754781","0.5152519581754781"
"6","0.517869427112258","0.517869427112258","0.517869427112258","0.5080890850446955","0.5080890850446955","0.5080890850446955","0.5350481828500697","0.5350481828500697","0.5350481828500697","0.536235782545877","0.536235782545877","0.536235782545877","0.5081798275624454","0.5081798275624454","0.5081798275624454","0.5320334632441627","0.5320334632441627","0.5320334632441627","0.5306013059609848","0.5306013059609848","0.5306013059609848","0.5340567383516063","0.5340567383516063","0.5340567383516063","0.5175647234953694","0.5175647234953694","0.5175647234953694","0.5407501701760264","0.5407501701760264","0.5407501701760264","0.5222157590200228","0.5222157590200228","0.5222157590200228","0.5253447385378837","0.5253447385378837","0.5253447385378837"
"7","0.5288759971142001","0.5288759971142001","0.5288759971142001","0.5095656913743458","0.5095656913743458","0.5095656913743458","0.5195111087491412","0.5195111087491412","0.5195111087491412","0.5526141910923104","0.5526141910923104","0.5526141910923104","0.5420130470728105","0.5420130470728105","0.5420130470728105","0.5398885372786548","0.5398885372786548","0.5398885372786548","0.556047610073803","0.556047610073803","0.556047610073803","0.5309998827189721","0.5309998827189721","0.5309998827189721","0.49756749424466234","0.49756749424466234","0.49756749424466234","0.5541505645914933","0.5541505645914933","0.5541505645914933","0.5429842567127031","0.5429842567127031","0.5429842567127031","0.5449745361414534","0.5449745361414534","0.5449745361414534"
"8","0.530404371060044","0.530404371060044","0.530404371060044","0.5513056794731129","0.5513056794731129","0.5513056794731129","0.5547187202102396","0.5547187202102396","0.5547187202102396","0.568910304488526","0.568910304488526","0.568910304488526","0.56186185155914","0.56186185155914","0.56186185155914","0.5686025955417756","0.5686025955417756","0.5686025955417756","0.5766192385943688","0.5766192385943688","0.5766192385943688","0.5675427831850742","0.5675427831850742","0.5675427831850742","0.5738472131068965","0.5738472131068965","0.5738472131068965","0.5445030205677033","0.5445030205677033","0.5445030205677033","0.5458502089125884","0.5458502089125884","0.5458502089125884","0.5578847190725159","0.5578847190725159","0.5578847190725159"
"9","0.5497166507278693","0.5497166507278693","0.5497166507278693","0.530941354148379","0.530941354148379","0.530941354148379","0.5653537338284316","0.5653537338284316","0.5653537338284316","0.5438465832432403","0.5438465832432403","0.5438465832432403","0.5610414616483259","0.5610414616483259","0.5610414616483259","0.5489519669503802","0.5489519669503802","0.5489519669503802","0.5715836329611927","0.5715836329611927","0.5715836329611927","0.6048847538964097","0.6048847538964097","0.6048847538964097","0.5338995593244404","0.5338995593244404","0.5338995593244404","0.5969109609085943","0.5969109609085943","0.5969109609085943","0.535520473795301","0.535520473795301","0.535520473795301","0.5650548616414197","0.5650548616414197","0.5650548616414197"
