"Step","GNN_expression_cnv_1 - assay_ap","GNN_expression_cnv_1 - assay_ap__MIN","GNN_expression_cnv_1 - assay_ap__MAX","GNN_expression_cnv_999 - assay_ap","GNN_expression_cnv_999 - assay_ap__MIN","GNN_expression_cnv_999 - assay_ap__MAX","GNN_expression_cnv_42 - assay_ap","GNN_expression_cnv_42 - assay_ap__MIN","GNN_expression_cnv_42 - assay_ap__MAX","GNN_cnv_expression_1 - assay_ap","GNN_cnv_expression_1 - assay_ap__MIN","GNN_cnv_expression_1 - assay_ap__MAX","GNN_cnv_expression_999 - assay_ap","GNN_cnv_expression_999 - assay_ap__MIN","GNN_cnv_expression_999 - assay_ap__MAX","GNN_cnv_expression_42 - assay_ap","GNN_cnv_expression_42 - assay_ap__MIN","GNN_cnv_expression_42 - assay_ap__MAX","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_cnv_soft_999 - assay_ap","GNN_cnv_soft_999 - assay_ap__MIN","GNN_cnv_soft_999 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_expression_999 - assay_ap","GNN_expression_999 - assay_ap__MIN","GNN_expression_999 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX","GNN_cnv_999 - assay_ap","GNN_cnv_999 - assay_ap__MIN","GNN_cnv_999 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX"
"0","0.39510866765346025","0.39510866765346025","0.39510866765346025","0.40924099737721215","0.40924099737721215","0.40924099737721215","0.39789328725829126","0.39789328725829126","0.39789328725829126","0.3926713216248318","0.3926713216248318","0.3926713216248318","0.41777169588972884","0.41777169588972884","0.41777169588972884","0.40021141527925597","0.40021141527925597","0.40021141527925597","0.3919558214464921","0.3919558214464921","0.3919558214464921","0.4033518134520337","0.4033518134520337","0.4033518134520337","0.4127974328023667","0.4127974328023667","0.4127974328023667","0.4026104826833366","0.4026104826833366","0.4026104826833366","0.4033894210111949","0.4033894210111949","0.4033894210111949","0.40861577912482117","0.40861577912482117","0.40861577912482117","0.40844746043186736","0.40844746043186736","0.40844746043186736","0.41457118559487716","0.41457118559487716","0.41457118559487716","0.4090531989877008","0.4090531989877008","0.4090531989877008"
"1","0.4187653139776796","0.4187653139776796","0.4187653139776796","0.42028715057368676","0.42028715057368676","0.42028715057368676","0.40630481659808404","0.40630481659808404","0.40630481659808404","0.4123299421207265","0.4123299421207265","0.4123299421207265","0.4221299042067754","0.4221299042067754","0.4221299042067754","0.4043641801704982","0.4043641801704982","0.4043641801704982","0.41759673845976003","0.41759673845976003","0.41759673845976003","0.4286249591682698","0.4286249591682698","0.4286249591682698","0.4349677588180651","0.4349677588180651","0.4349677588180651","0.41363076801252296","0.41363076801252296","0.41363076801252296","0.4194342721287275","0.4194342721287275","0.4194342721287275","0.41590190841700964","0.41590190841700964","0.41590190841700964","0.440981522880396","0.440981522880396","0.440981522880396","0.4215054981917242","0.4215054981917242","0.4215054981917242","0.42655227339052343","0.42655227339052343","0.42655227339052343"
"2","0.4248456778731015","0.4248456778731015","0.4248456778731015","0.43110272917399417","0.43110272917399417","0.43110272917399417","0.43024857448409876","0.43024857448409876","0.43024857448409876","0.41759359591165796","0.41759359591165796","0.41759359591165796","0.43330328941304136","0.43330328941304136","0.43330328941304136","0.42840025089132155","0.42840025089132155","0.42840025089132155","0.42657718242184184","0.42657718242184184","0.42657718242184184","0.43681296212048176","0.43681296212048176","0.43681296212048176","0.4404496051575001","0.4404496051575001","0.4404496051575001","0.4157610032280902","0.4157610032280902","0.4157610032280902","0.4314456656346762","0.4314456656346762","0.4314456656346762","0.4452133903517508","0.4452133903517508","0.4452133903517508","0.43481747059024023","0.43481747059024023","0.43481747059024023","0.4262932577044671","0.4262932577044671","0.4262932577044671","0.44170808788121046","0.44170808788121046","0.44170808788121046"
"3","0.4423790210786462","0.4423790210786462","0.4423790210786462","0.4476680460193981","0.4476680460193981","0.4476680460193981","0.4330765377454141","0.4330765377454141","0.4330765377454141","0.42745393802919285","0.42745393802919285","0.42745393802919285","0.45214408562890773","0.45214408562890773","0.45214408562890773","0.44269957606671484","0.44269957606671484","0.44269957606671484","0.43844105052459037","0.43844105052459037","0.43844105052459037","0.44725647652030964","0.44725647652030964","0.44725647652030964","0.44868370904124777","0.44868370904124777","0.44868370904124777","0.4313599102751411","0.4313599102751411","0.4313599102751411","0.43229079560535827","0.43229079560535827","0.43229079560535827","0.4504808626121313","0.4504808626121313","0.4504808626121313","0.4261677647928421","0.4261677647928421","0.4261677647928421","0.42117975441045086","0.42117975441045086","0.42117975441045086","0.44944437368228635","0.44944437368228635","0.44944437368228635"
"4","0.4288722950406867","0.4288722950406867","0.4288722950406867","0.447127307943133","0.447127307943133","0.447127307943133","0.4444193964559494","0.4444193964559494","0.4444193964559494","0.42869008998203967","0.42869008998203967","0.42869008998203967","0.4588562761498654","0.4588562761498654","0.4588562761498654","0.4478567742312548","0.4478567742312548","0.4478567742312548","0.4624524057200136","0.4624524057200136","0.4624524057200136","0.46559747873161433","0.46559747873161433","0.46559747873161433","0.46282364296181544","0.46282364296181544","0.46282364296181544","0.4254345138492127","0.4254345138492127","0.4254345138492127","0.443579664683199","0.443579664683199","0.443579664683199","0.4667316414300883","0.4667316414300883","0.4667316414300883","0.4296967241215647","0.4296967241215647","0.4296967241215647","0.43432743193184636","0.43432743193184636","0.43432743193184636","0.4494405360531424","0.4494405360531424","0.4494405360531424"
"5","0.45337730318659925","0.45337730318659925","0.45337730318659925","0.4627194725492432","0.4627194725492432","0.4627194725492432","0.44001640185969404","0.44001640185969404","0.44001640185969404","0.4377579685205088","0.4377579685205088","0.4377579685205088","0.4702697281481502","0.4702697281481502","0.4702697281481502","0.44664506301001894","0.44664506301001894","0.44664506301001894","0.4545834130930178","0.4545834130930178","0.4545834130930178","0.4553607713681864","0.4553607713681864","0.4553607713681864","0.45219348136233517","0.45219348136233517","0.45219348136233517","0.43771945748598945","0.43771945748598945","0.43771945748598945","0.4603751101146102","0.4603751101146102","0.4603751101146102","0.4595665718561265","0.4595665718561265","0.4595665718561265","0.44031084528356546","0.44031084528356546","0.44031084528356546","0.45574038961363283","0.45574038961363283","0.45574038961363283","0.4575384501502237","0.4575384501502237","0.4575384501502237"
"6","0.4661792960788635","0.4661792960788635","0.4661792960788635","0.4655848400613545","0.4655848400613545","0.4655848400613545","0.4507139356765144","0.4507139356765144","0.4507139356765144","0.4431452928722549","0.4431452928722549","0.4431452928722549","0.4575555459834458","0.4575555459834458","0.4575555459834458","0.45453591320750786","0.45453591320750786","0.45453591320750786","0.4693945910441873","0.4693945910441873","0.4693945910441873","0.4556125031026452","0.4556125031026452","0.4556125031026452","0.5066312890183514","0.5066312890183514","0.5066312890183514","0.43953617788881066","0.43953617788881066","0.43953617788881066","0.4518104014339473","0.4518104014339473","0.4518104014339473","0.4636637114414335","0.4636637114414335","0.4636637114414335","0.44942003895712584","0.44942003895712584","0.44942003895712584","0.45457464719067675","0.45457464719067675","0.45457464719067675","0.4580754286239207","0.4580754286239207","0.4580754286239207"
"7","0.4713361712640307","0.4713361712640307","0.4713361712640307","0.45896920689353626","0.45896920689353626","0.45896920689353626","0.46668706918257563","0.46668706918257563","0.46668706918257563","0.4628497668121342","0.4628497668121342","0.4628497668121342","0.45459315105328285","0.45459315105328285","0.45459315105328285","0.45856725676825294","0.45856725676825294","0.45856725676825294","0.47682776620712986","0.47682776620712986","0.47682776620712986","0.46167330357198666","0.46167330357198666","0.46167330357198666","0.4978219376424225","0.4978219376424225","0.4978219376424225","0.45562699654742983","0.45562699654742983","0.45562699654742983","0.4559507920216264","0.4559507920216264","0.4559507920216264","0.4570949508211788","0.4570949508211788","0.4570949508211788","0.44230533355460483","0.44230533355460483","0.44230533355460483","0.46011320997661004","0.46011320997661004","0.46011320997661004","0.46012714995623977","0.46012714995623977","0.46012714995623977"
"8","0.48229850019633275","0.48229850019633275","0.48229850019633275","0.4878113544170042","0.4878113544170042","0.4878113544170042","0.4767895068778411","0.4767895068778411","0.4767895068778411","0.4614740976305839","0.4614740976305839","0.4614740976305839","0.481604263156642","0.481604263156642","0.481604263156642","0.4683518874609631","0.4683518874609631","0.4683518874609631","0.4805179403039684","0.4805179403039684","0.4805179403039684","0.4646807059004693","0.4646807059004693","0.4646807059004693","0.4940099457454042","0.4940099457454042","0.4940099457454042","0.4637756873228714","0.4637756873228714","0.4637756873228714","0.47979150243321583","0.47979150243321583","0.47979150243321583","0.46568394253856676","0.46568394253856676","0.46568394253856676","0.45360918118686744","0.45360918118686744","0.45360918118686744","0.47221641280961785","0.47221641280961785","0.47221641280961785","0.4614698936555182","0.4614698936555182","0.4614698936555182"
"9","0.4788245946794958","0.4788245946794958","0.4788245946794958","0.49177402280943316","0.49177402280943316","0.49177402280943316","0.48553049523296093","0.48553049523296093","0.48553049523296093","0.46255422640969884","0.46255422640969884","0.46255422640969884","0.4908420259122108","0.4908420259122108","0.4908420259122108","0.4807514655979146","0.4807514655979146","0.4807514655979146","0.5028849767447924","0.5028849767447924","0.5028849767447924","0.4958923418411028","0.4958923418411028","0.4958923418411028","0.5170914079247064","0.5170914079247064","0.5170914079247064","0.47072151277720925","0.47072151277720925","0.47072151277720925","0.47800470798480743","0.47800470798480743","0.47800470798480743","0.47764889136961813","0.47764889136961813","0.47764889136961813","0.4687459899508155","0.4687459899508155","0.4687459899508155","0.4590310103710455","0.4590310103710455","0.4590310103710455","0.47031789831885573","0.47031789831885573","0.47031789831885573"
