"Step","GNN_expression_cnv_1 - gene_ap","GNN_expression_cnv_1 - gene_ap__MIN","GNN_expression_cnv_1 - gene_ap__MAX","GNN_expression_cnv_999 - gene_ap","GNN_expression_cnv_999 - gene_ap__MIN","GNN_expression_cnv_999 - gene_ap__MAX","GNN_expression_cnv_42 - gene_ap","GNN_expression_cnv_42 - gene_ap__MIN","GNN_expression_cnv_42 - gene_ap__MAX","GNN_cnv_expression_1 - gene_ap","GNN_cnv_expression_1 - gene_ap__MIN","GNN_cnv_expression_1 - gene_ap__MAX","GNN_cnv_expression_999 - gene_ap","GNN_cnv_expression_999 - gene_ap__MIN","GNN_cnv_expression_999 - gene_ap__MAX","GNN_cnv_expression_42 - gene_ap","GNN_cnv_expression_42 - gene_ap__MIN","GNN_cnv_expression_42 - gene_ap__MAX","GNN_cnv_soft_1 - gene_ap","GNN_cnv_soft_1 - gene_ap__MIN","GNN_cnv_soft_1 - gene_ap__MAX","GNN_cnv_soft_999 - gene_ap","GNN_cnv_soft_999 - gene_ap__MIN","GNN_cnv_soft_999 - gene_ap__MAX","GNN_cnv_soft_42 - gene_ap","GNN_cnv_soft_42 - gene_ap__MIN","GNN_cnv_soft_42 - gene_ap__MAX","GNN_expression_1 - gene_ap","GNN_expression_1 - gene_ap__MIN","GNN_expression_1 - gene_ap__MAX","GNN_expression_999 - gene_ap","GNN_expression_999 - gene_ap__MIN","GNN_expression_999 - gene_ap__MAX","GNN_expression_42 - gene_ap","GNN_expression_42 - gene_ap__MIN","GNN_expression_42 - gene_ap__MAX","GNN_cnv_1 - gene_ap","GNN_cnv_1 - gene_ap__MIN","GNN_cnv_1 - gene_ap__MAX","GNN_cnv_999 - gene_ap","GNN_cnv_999 - gene_ap__MIN","GNN_cnv_999 - gene_ap__MAX","GNN_cnv_42 - gene_ap","GNN_cnv_42 - gene_ap__MIN","GNN_cnv_42 - gene_ap__MAX"
"0","0.39922657437003334","0.39922657437003334","0.39922657437003334","0.40009481173843897","0.40009481173843897","0.40009481173843897","0.40100318203128593","0.40100318203128593","0.40100318203128593","0.39828658195281563","0.39828658195281563","0.39828658195281563","0.40457836864149027","0.40457836864149027","0.40457836864149027","0.40303165383822936","0.40303165383822936","0.40303165383822936","0.4400110747580847","0.4400110747580847","0.4400110747580847","0.44158275862988183","0.44158275862988183","0.44158275862988183","0.4413302726301241","0.4413302726301241","0.4413302726301241","0.40265511011001104","0.40265511011001104","0.40265511011001104","0.39999864200835483","0.39999864200835483","0.39999864200835483","0.4013544799413662","0.4013544799413662","0.4013544799413662","0.416114039462706","0.416114039462706","0.416114039462706","0.4242729892574906","0.4242729892574906","0.4242729892574906","0.4211170045283711","0.4211170045283711","0.4211170045283711"
"1","0.4184690474445638","0.4184690474445638","0.4184690474445638","0.4127219180768622","0.4127219180768622","0.4127219180768622","0.40288870354109274","0.40288870354109274","0.40288870354109274","0.40612151838034577","0.40612151838034577","0.40612151838034577","0.4114014181709685","0.4114014181709685","0.4114014181709685","0.40818617834161114","0.40818617834161114","0.40818617834161114","0.45082694150541036","0.45082694150541036","0.45082694150541036","0.4421177440086132","0.4421177440086132","0.4421177440086132","0.44177993836540125","0.44177993836540125","0.44177993836540125","0.4080424244721221","0.4080424244721221","0.4080424244721221","0.40340538897920336","0.40340538897920336","0.40340538897920336","0.4050743849193993","0.4050743849193993","0.4050743849193993","0.421579890827351","0.421579890827351","0.421579890827351","0.418069851177372","0.418069851177372","0.418069851177372","0.4319388982252237","0.4319388982252237","0.4319388982252237"
"2","0.4265685975489518","0.4265685975489518","0.4265685975489518","0.4244524103608859","0.4244524103608859","0.4244524103608859","0.42201509238690105","0.42201509238690105","0.42201509238690105","0.42159318257271516","0.42159318257271516","0.42159318257271516","0.4301893391232721","0.4301893391232721","0.4301893391232721","0.4262120216202075","0.4262120216202075","0.4262120216202075","0.44579892280921984","0.44579892280921984","0.44579892280921984","0.4406979213287231","0.4406979213287231","0.4406979213287231","0.44675469701068066","0.44675469701068066","0.44675469701068066","0.42147145774288286","0.42147145774288286","0.42147145774288286","0.42018035006909865","0.42018035006909865","0.42018035006909865","0.41309981622457864","0.41309981622457864","0.41309981622457864","0.4258157557047814","0.4258157557047814","0.4258157557047814","0.42223294503702546","0.42223294503702546","0.42223294503702546","0.42653638015187173","0.42653638015187173","0.42653638015187173"
"3","0.4386459929276942","0.4386459929276942","0.4386459929276942","0.4359140803283678","0.4359140803283678","0.4359140803283678","0.43743323680726176","0.43743323680726176","0.43743323680726176","0.4299598306921921","0.4299598306921921","0.4299598306921921","0.43801042141625013","0.43801042141625013","0.43801042141625013","0.43280547149485243","0.43280547149485243","0.43280547149485243","0.4425141477813559","0.4425141477813559","0.4425141477813559","0.44221810620209395","0.44221810620209395","0.44221810620209395","0.44576535014257257","0.44576535014257257","0.44576535014257257","0.4332292702582827","0.4332292702582827","0.4332292702582827","0.42926495792593306","0.42926495792593306","0.42926495792593306","0.4264730412148466","0.4264730412148466","0.4264730412148466","0.4255261733987589","0.4255261733987589","0.4255261733987589","0.422347870504592","0.422347870504592","0.422347870504592","0.4298312272524991","0.4298312272524991","0.4298312272524991"
"4","0.44258020307442786","0.44258020307442786","0.44258020307442786","0.437063548265565","0.437063548265565","0.437063548265565","0.4402510230530503","0.4402510230530503","0.4402510230530503","0.4433524047595897","0.4433524047595897","0.4433524047595897","0.43833968874473533","0.43833968874473533","0.43833968874473533","0.4410540071634585","0.4410540071634585","0.4410540071634585","0.43990818036395823","0.43990818036395823","0.43990818036395823","0.4435699901300517","0.4435699901300517","0.4435699901300517","0.4441961418379931","0.4441961418379931","0.4441961418379931","0.43447413937133816","0.43447413937133816","0.43447413937133816","0.43703787914643233","0.43703787914643233","0.43703787914643233","0.4321197886559671","0.4321197886559671","0.4321197886559671","0.43211579808578726","0.43211579808578726","0.43211579808578726","0.4361659550973147","0.4361659550973147","0.4361659550973147","0.43292298949757213","0.43292298949757213","0.43292298949757213"
"5","0.4489593339091665","0.4489593339091665","0.4489593339091665","0.4390427075496271","0.4390427075496271","0.4390427075496271","0.4394576044104629","0.4394576044104629","0.4394576044104629","0.4371565389662067","0.4371565389662067","0.4371565389662067","0.4484690919764663","0.4484690919764663","0.4484690919764663","0.4462411301974161","0.4462411301974161","0.4462411301974161","0.44271130549637633","0.44271130549637633","0.44271130549637633","0.43702788095040046","0.43702788095040046","0.43702788095040046","0.4447622101692504","0.4447622101692504","0.4447622101692504","0.43935720677818135","0.43935720677818135","0.43935720677818135","0.4407833229957601","0.4407833229957601","0.4407833229957601","0.4382351736981229","0.4382351736981229","0.4382351736981229","0.432261790961748","0.432261790961748","0.432261790961748","0.4329460453157355","0.4329460453157355","0.4329460453157355","0.4427392231789275","0.4427392231789275","0.4427392231789275"
"6","0.4553270748693381","0.4553270748693381","0.4553270748693381","0.4357821999640544","0.4357821999640544","0.4357821999640544","0.4419228624909243","0.4419228624909243","0.4419228624909243","0.43768777685927723","0.43768777685927723","0.43768777685927723","0.44815548401727007","0.44815548401727007","0.44815548401727007","0.4455430767501274","0.4455430767501274","0.4455430767501274","0.44124511005800354","0.44124511005800354","0.44124511005800354","0.4410878448608209","0.4410878448608209","0.4410878448608209","0.4483612965892606","0.4483612965892606","0.4483612965892606","0.4516350864831834","0.4516350864831834","0.4516350864831834","0.4438960986962625","0.4438960986962625","0.4438960986962625","0.44697967259386867","0.44697967259386867","0.44697967259386867","0.43972423651746595","0.43972423651746595","0.43972423651746595","0.4330267961944866","0.4330267961944866","0.4330267961944866","0.43853361227910403","0.43853361227910403","0.43853361227910403"
"7","0.44674560069458547","0.44674560069458547","0.44674560069458547","0.4311234609160256","0.4311234609160256","0.4311234609160256","0.44306272457530177","0.44306272457530177","0.44306272457530177","0.4379385418944929","0.4379385418944929","0.4379385418944929","0.44107348487391357","0.44107348487391357","0.44107348487391357","0.4498772313025954","0.4498772313025954","0.4498772313025954","0.44634828996196885","0.44634828996196885","0.44634828996196885","0.442162478439315","0.442162478439315","0.442162478439315","0.4416115093108281","0.4416115093108281","0.4416115093108281","0.44825514527679394","0.44825514527679394","0.44825514527679394","0.44369093086698835","0.44369093086698835","0.44369093086698835","0.4385459311092073","0.4385459311092073","0.4385459311092073","0.4373079239166322","0.4373079239166322","0.4373079239166322","0.4355027021296584","0.4355027021296584","0.4355027021296584","0.44289085864288086","0.44289085864288086","0.44289085864288086"
"8","0.4504793265663394","0.4504793265663394","0.4504793265663394","0.4460246334233283","0.4460246334233283","0.4460246334233283","0.4416412726861491","0.4416412726861491","0.4416412726861491","0.44427866640744157","0.44427866640744157","0.44427866640744157","0.4419718890719584","0.4419718890719584","0.4419718890719584","0.44234796860951475","0.44234796860951475","0.44234796860951475","0.44750140011365674","0.44750140011365674","0.44750140011365674","0.4406190144330258","0.4406190144330258","0.4406190144330258","0.4443645495919366","0.4443645495919366","0.4443645495919366","0.4477950038740276","0.4477950038740276","0.4477950038740276","0.44658354061652894","0.44658354061652894","0.44658354061652894","0.43854774124886936","0.43854774124886936","0.43854774124886936","0.4390663332344156","0.4390663332344156","0.4390663332344156","0.44278685978569526","0.44278685978569526","0.44278685978569526","0.4368757713741598","0.4368757713741598","0.4368757713741598"
"9","0.4418033058324694","0.4418033058324694","0.4418033058324694","0.4379447095482846","0.4379447095482846","0.4379447095482846","0.4445567175757194","0.4445567175757194","0.4445567175757194","0.43691138288623127","0.43691138288623127","0.43691138288623127","0.45079091798171683","0.45079091798171683","0.45079091798171683","0.4467082393891226","0.4467082393891226","0.4467082393891226","0.43949347130945365","0.43949347130945365","0.43949347130945365","0.44388216321733237","0.44388216321733237","0.44388216321733237","0.4467237217258974","0.4467237217258974","0.4467237217258974","0.44892469495355436","0.44892469495355436","0.44892469495355436","0.45405195031372486","0.45405195031372486","0.45405195031372486","0.455882863176185","0.455882863176185","0.455882863176185","0.44115406995654105","0.44115406995654105","0.44115406995654105","0.43839081206664354","0.43839081206664354","0.43839081206664354","0.44008616122424377","0.44008616122424377","0.44008616122424377"
