"Step","GNN_expression_cnv_soft_1 - assay_ap","GNN_expression_cnv_soft_1 - assay_ap__MIN","GNN_expression_cnv_soft_1 - assay_ap__MAX","GNN_expression_cnv_soft_999 - assay_ap","GNN_expression_cnv_soft_999 - assay_ap__MIN","GNN_expression_cnv_soft_999 - assay_ap__MAX","GNN_expression_cnv_soft_42 - assay_ap","GNN_expression_cnv_soft_42 - assay_ap__MIN","GNN_expression_cnv_soft_42 - assay_ap__MAX","GNN_cnv_soft_expression_1 - assay_ap","GNN_cnv_soft_expression_1 - assay_ap__MIN","GNN_cnv_soft_expression_1 - assay_ap__MAX","GNN_cnv_soft_expression_999 - assay_ap","GNN_cnv_soft_expression_999 - assay_ap__MIN","GNN_cnv_soft_expression_999 - assay_ap__MAX","GNN_cnv_soft_expression_42 - assay_ap","GNN_cnv_soft_expression_42 - assay_ap__MIN","GNN_cnv_soft_expression_42 - assay_ap__MAX","GNN_expression_rnd_1 - assay_ap","GNN_expression_rnd_1 - assay_ap__MIN","GNN_expression_rnd_1 - assay_ap__MAX","GNN_expression_rnd_999 - assay_ap","GNN_expression_rnd_999 - assay_ap__MIN","GNN_expression_rnd_999 - assay_ap__MAX","GNN_expression_rnd_42 - assay_ap","GNN_expression_rnd_42 - assay_ap__MIN","GNN_expression_rnd_42 - assay_ap__MAX","GNN_cnv_rnd_1 - assay_ap","GNN_cnv_rnd_1 - assay_ap__MIN","GNN_cnv_rnd_1 - assay_ap__MAX","GNN_cnv_rnd_999 - assay_ap","GNN_cnv_rnd_999 - assay_ap__MIN","GNN_cnv_rnd_999 - assay_ap__MAX","GNN_cnv_rnd_42 - assay_ap","GNN_cnv_rnd_42 - assay_ap__MIN","GNN_cnv_rnd_42 - assay_ap__MAX","GNN_expression_cnv_1 - assay_ap","GNN_expression_cnv_1 - assay_ap__MIN","GNN_expression_cnv_1 - assay_ap__MAX","GNN_expression_cnv_999 - assay_ap","GNN_expression_cnv_999 - assay_ap__MIN","GNN_expression_cnv_999 - assay_ap__MAX","GNN_expression_cnv_42 - assay_ap","GNN_expression_cnv_42 - assay_ap__MIN","GNN_expression_cnv_42 - assay_ap__MAX","GNN_cnv_expression_1 - assay_ap","GNN_cnv_expression_1 - assay_ap__MIN","GNN_cnv_expression_1 - assay_ap__MAX","GNN_cnv_expression_999 - assay_ap","GNN_cnv_expression_999 - assay_ap__MIN","GNN_cnv_expression_999 - assay_ap__MAX","GNN_cnv_expression_42 - assay_ap","GNN_cnv_expression_42 - assay_ap__MIN","GNN_cnv_expression_42 - assay_ap__MAX","GNN_cnv_full_1 - assay_ap","GNN_cnv_full_1 - assay_ap__MIN","GNN_cnv_full_1 - assay_ap__MAX","GNN_cnv_full_999 - assay_ap","GNN_cnv_full_999 - assay_ap__MIN","GNN_cnv_full_999 - assay_ap__MAX","GNN_cnv_full_42 - assay_ap","GNN_cnv_full_42 - assay_ap__MIN","GNN_cnv_full_42 - assay_ap__MAX","GNN_expression_full_1 - assay_ap","GNN_expression_full_1 - assay_ap__MIN","GNN_expression_full_1 - assay_ap__MAX","GNN_expression_full_999 - assay_ap","GNN_expression_full_999 - assay_ap__MIN","GNN_expression_full_999 - assay_ap__MAX","GNN_expression_full_42 - assay_ap","GNN_expression_full_42 - assay_ap__MIN","GNN_expression_full_42 - assay_ap__MAX","GNN_cnv_soft_rnd_1 - assay_ap","GNN_cnv_soft_rnd_1 - assay_ap__MIN","GNN_cnv_soft_rnd_1 - assay_ap__MAX","GNN_cnv_soft_rnd_999 - assay_ap","GNN_cnv_soft_rnd_999 - assay_ap__MIN","GNN_cnv_soft_rnd_999 - assay_ap__MAX","GNN_cnv_soft_rnd_42 - assay_ap","GNN_cnv_soft_rnd_42 - assay_ap__MIN","GNN_cnv_soft_rnd_42 - assay_ap__MAX","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_cnv_soft_999 - assay_ap","GNN_cnv_soft_999 - assay_ap__MIN","GNN_cnv_soft_999 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_expression_999 - assay_ap","GNN_expression_999 - assay_ap__MIN","GNN_expression_999 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX","GNN_cnv_999 - assay_ap","GNN_cnv_999 - assay_ap__MIN","GNN_cnv_999 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX"
"0","0.397816289407143","0.397816289407143","0.397816289407143","0.4582398903309793","0.4582398903309793","0.4582398903309793","0.4095600038645353","0.4095600038645353","0.4095600038645353","0.42321580348508264","0.42321580348508264","0.42321580348508264","0.44625992917307333","0.44625992917307333","0.44625992917307333","0.3995643573673771","0.3995643573673771","0.3995643573673771","0.42557902600219744","0.42557902600219744","0.42557902600219744","0.42829672465170576","0.42829672465170576","0.42829672465170576","0.4287877831747146","0.4287877831747146","0.4287877831747146","0.3973526477815403","0.3973526477815403","0.3973526477815403","0.4008747205982151","0.4008747205982151","0.4008747205982151","0.4051035252293671","0.4051035252293671","0.4051035252293671","0.4107789545561807","0.4107789545561807","0.4107789545561807","0.42691131550024086","0.42691131550024086","0.42691131550024086","0.4121919624748218","0.4121919624748218","0.4121919624748218","0.4030376749275602","0.4030376749275602","0.4030376749275602","0.40905138108090205","0.40905138108090205","0.40905138108090205","0.40955178075116144","0.40955178075116144","0.40955178075116144","0.37500510058685954","0.37500510058685954","0.37500510058685954","0.3798504883888123","0.3798504883888123","0.3798504883888123","0.39091155019841695","0.39091155019841695","0.39091155019841695","0.36963170840922344","0.36963170840922344","0.36963170840922344","0.4014195076364085","0.4014195076364085","0.4014195076364085","0.3920305207256307","0.3920305207256307","0.3920305207256307","0.43949245072537413","0.43949245072537413","0.43949245072537413","0.43479641007340725","0.43479641007340725","0.43479641007340725","0.4628815965045411","0.4628815965045411","0.4628815965045411","0.42204358293461525","0.42204358293461525","0.42204358293461525","0.4309592493038622","0.4309592493038622","0.4309592493038622","0.42930963359746943","0.42930963359746943","0.42930963359746943","0.4135620386593894","0.4135620386593894","0.4135620386593894","0.40965272872513425","0.40965272872513425","0.40965272872513425","0.4042177935164043","0.4042177935164043","0.4042177935164043","0.41834731403133274","0.41834731403133274","0.41834731403133274","0.41266550862481755","0.41266550862481755","0.41266550862481755","0.4105852598870308","0.4105852598870308","0.4105852598870308"
"1","0.4349648215358257","0.4349648215358257","0.4349648215358257","0.484323368248858","0.484323368248858","0.484323368248858","0.4577640169773547","0.4577640169773547","0.4577640169773547","0.4582823780286909","0.4582823780286909","0.4582823780286909","0.4608115540535528","0.4608115540535528","0.4608115540535528","0.44455646461564385","0.44455646461564385","0.44455646461564385","0.4631592688317843","0.4631592688317843","0.4631592688317843","0.4649281892039371","0.4649281892039371","0.4649281892039371","0.4617077077842648","0.4617077077842648","0.4617077077842648","0.4174218743646531","0.4174218743646531","0.4174218743646531","0.4242418289736872","0.4242418289736872","0.4242418289736872","0.424744532952233","0.424744532952233","0.424744532952233","0.41807966636030147","0.41807966636030147","0.41807966636030147","0.4500334311286808","0.4500334311286808","0.4500334311286808","0.4277399636608708","0.4277399636608708","0.4277399636608708","0.42942914011482136","0.42942914011482136","0.42942914011482136","0.43598748755733907","0.43598748755733907","0.43598748755733907","0.441596674793289","0.441596674793289","0.441596674793289","0.3854116371694985","0.3854116371694985","0.3854116371694985","0.3668934597769274","0.3668934597769274","0.3668934597769274","0.39711963115293025","0.39711963115293025","0.39711963115293025","0.39248280341674613","0.39248280341674613","0.39248280341674613","0.39248226149760573","0.39248226149760573","0.39248226149760573","0.4182966797000294","0.4182966797000294","0.4182966797000294","0.45432977042947204","0.45432977042947204","0.45432977042947204","0.46629058954804586","0.46629058954804586","0.46629058954804586","0.49756259318704543","0.49756259318704543","0.49756259318704543","0.4265413765580782","0.4265413765580782","0.4265413765580782","0.45234976140692745","0.45234976140692745","0.45234976140692745","0.487229071833529","0.487229071833529","0.487229071833529","0.4339413200330525","0.4339413200330525","0.4339413200330525","0.42897612542038327","0.42897612542038327","0.42897612542038327","0.4401785060819277","0.4401785060819277","0.4401785060819277","0.42795932680246274","0.42795932680246274","0.42795932680246274","0.4304662197336721","0.4304662197336721","0.4304662197336721","0.4553608723887396","0.4553608723887396","0.4553608723887396"
"2","0.4794163208111216","0.4794163208111216","0.4794163208111216","0.48229552684375215","0.48229552684375215","0.48229552684375215","0.48187979685789445","0.48187979685789445","0.48187979685789445","0.4748892546831073","0.4748892546831073","0.4748892546831073","0.4985597391425917","0.4985597391425917","0.4985597391425917","0.47224371273812926","0.47224371273812926","0.47224371273812926","0.4852830200514833","0.4852830200514833","0.4852830200514833","0.45624573259118595","0.45624573259118595","0.45624573259118595","0.49064393510035753","0.49064393510035753","0.49064393510035753","0.4407674431705823","0.4407674431705823","0.4407674431705823","0.43902478630592734","0.43902478630592734","0.43902478630592734","0.44271497048839226","0.44271497048839226","0.44271497048839226","0.4250116719845504","0.4250116719845504","0.4250116719845504","0.4813709276560316","0.4813709276560316","0.4813709276560316","0.43903270909009157","0.43903270909009157","0.43903270909009157","0.40426220823983366","0.40426220823983366","0.40426220823983366","0.46770703390525914","0.46770703390525914","0.46770703390525914","0.43986248281057","0.43986248281057","0.43986248281057","0.4175707247320117","0.4175707247320117","0.4175707247320117","0.3807898377206742","0.3807898377206742","0.3807898377206742","0.4500615589428264","0.4500615589428264","0.4500615589428264","0.3825983458467707","0.3825983458467707","0.3825983458467707","0.3917480059480754","0.3917480059480754","0.3917480059480754","0.4393551667544611","0.4393551667544611","0.4393551667544611","0.45071729624058493","0.45071729624058493","0.45071729624058493","0.47638424699875637","0.47638424699875637","0.47638424699875637","0.44955521525148995","0.44955521525148995","0.44955521525148995","0.4853328523778036","0.4853328523778036","0.4853328523778036","0.49346505530045787","0.49346505530045787","0.49346505530045787","0.5064532548366276","0.5064532548366276","0.5064532548366276","0.4545081486271365","0.4545081486271365","0.4545081486271365","0.44126345589755217","0.44126345589755217","0.44126345589755217","0.45559156836399833","0.45559156836399833","0.45559156836399833","0.4734336369999827","0.4734336369999827","0.4734336369999827","0.4516279611807468","0.4516279611807468","0.4516279611807468","0.4592085134523812","0.4592085134523812","0.4592085134523812"
"3","0.462530685633157","0.462530685633157","0.462530685633157","0.5211730826714114","0.5211730826714114","0.5211730826714114","0.5437164316291394","0.5437164316291394","0.5437164316291394","0.448096981560869","0.448096981560869","0.448096981560869","0.5034445129171545","0.5034445129171545","0.5034445129171545","0.5189261073624641","0.5189261073624641","0.5189261073624641","0.46006798580051356","0.46006798580051356","0.46006798580051356","0.42798664471205644","0.42798664471205644","0.42798664471205644","0.48002693331231777","0.48002693331231777","0.48002693331231777","0.45044646352370593","0.45044646352370593","0.45044646352370593","0.4425492957806317","0.4425492957806317","0.4425492957806317","0.46385362036532357","0.46385362036532357","0.46385362036532357","0.43902831788223873","0.43902831788223873","0.43902831788223873","0.4962340665824435","0.4962340665824435","0.4962340665824435","0.46826334715065104","0.46826334715065104","0.46826334715065104","0.44506541361381957","0.44506541361381957","0.44506541361381957","0.4871592259242862","0.4871592259242862","0.4871592259242862","0.4616997495867256","0.4616997495867256","0.4616997495867256","0.3841740781424393","0.3841740781424393","0.3841740781424393","0.4167723679330814","0.4167723679330814","0.4167723679330814","0.4482485546885707","0.4482485546885707","0.4482485546885707","0.3892903289382234","0.3892903289382234","0.3892903289382234","0.4404567175588908","0.4404567175588908","0.4404567175588908","0.45761642317774265","0.45761642317774265","0.45761642317774265","0.4369237988334223","0.4369237988334223","0.4369237988334223","0.4812028917485773","0.4812028917485773","0.4812028917485773","0.44914040638181113","0.44914040638181113","0.44914040638181113","0.4850883204627782","0.4850883204627782","0.4850883204627782","0.4958232554804525","0.4958232554804525","0.4958232554804525","0.5681987852957876","0.5681987852957876","0.5681987852957876","0.42796694524806844","0.42796694524806844","0.42796694524806844","0.4617123161952234","0.4617123161952234","0.4617123161952234","0.46022688709756765","0.46022688709756765","0.46022688709756765","0.48976760465098684","0.48976760465098684","0.48976760465098684","0.4744007012162762","0.4744007012162762","0.4744007012162762","0.49037557372562207","0.49037557372562207","0.49037557372562207"
"4","0.5088822076617046","0.5088822076617046","0.5088822076617046","0.5315707524597676","0.5315707524597676","0.5315707524597676","0.5555850795769609","0.5555850795769609","0.5555850795769609","0.5223401211213768","0.5223401211213768","0.5223401211213768","0.5369352587428071","0.5369352587428071","0.5369352587428071","0.5267466611086252","0.5267466611086252","0.5267466611086252","0.46708966254690965","0.46708966254690965","0.46708966254690965","0.4487065285347673","0.4487065285347673","0.4487065285347673","0.47489613402642805","0.47489613402642805","0.47489613402642805","0.46148033744314954","0.46148033744314954","0.46148033744314954","0.4646344854330984","0.4646344854330984","0.4646344854330984","0.47159994385200826","0.47159994385200826","0.47159994385200826","0.4731792672583254","0.4731792672583254","0.4731792672583254","0.4669024644610165","0.4669024644610165","0.4669024644610165","0.4676790382745975","0.4676790382745975","0.4676790382745975","0.46726129055247","0.46726129055247","0.46726129055247","0.5063967985027858","0.5063967985027858","0.5063967985027858","0.47872903942251754","0.47872903942251754","0.47872903942251754","0.4254886072489036","0.4254886072489036","0.4254886072489036","0.40563731214101134","0.40563731214101134","0.40563731214101134","0.46112274517136226","0.46112274517136226","0.46112274517136226","0.4013314649400566","0.4013314649400566","0.4013314649400566","0.4020466369617971","0.4020466369617971","0.4020466369617971","0.4575635596021373","0.4575635596021373","0.4575635596021373","0.44950432290939235","0.44950432290939235","0.44950432290939235","0.48111499945943687","0.48111499945943687","0.48111499945943687","0.4753334071642749","0.4753334071642749","0.4753334071642749","0.5319790596977862","0.5319790596977862","0.5319790596977862","0.5369906035309535","0.5369906035309535","0.5369906035309535","0.5723877848228299","0.5723877848228299","0.5723877848228299","0.4482038993470678","0.4482038993470678","0.4482038993470678","0.48207066535183624","0.48207066535183624","0.48207066535183624","0.4876974446379296","0.4876974446379296","0.4876974446379296","0.49721634431383077","0.49721634431383077","0.49721634431383077","0.4930437378597093","0.4930437378597093","0.4930437378597093","0.5002193647703086","0.5002193647703086","0.5002193647703086"
"5","0.551319212364098","0.551319212364098","0.551319212364098","0.5402665222875519","0.5402665222875519","0.5402665222875519","0.5520015342422631","0.5520015342422631","0.5520015342422631","0.5188361748846336","0.5188361748846336","0.5188361748846336","0.5610335910055925","0.5610335910055925","0.5610335910055925","0.5409595970316518","0.5409595970316518","0.5409595970316518","0.4670383918868876","0.4670383918868876","0.4670383918868876","0.4498687992783731","0.4498687992783731","0.4498687992783731","0.45864314506159687","0.45864314506159687","0.45864314506159687","0.4811905477370998","0.4811905477370998","0.4811905477370998","0.48143132729880167","0.48143132729880167","0.48143132729880167","0.4871171108688964","0.4871171108688964","0.4871171108688964","0.5088089311297164","0.5088089311297164","0.5088089311297164","0.5112003565398172","0.5112003565398172","0.5112003565398172","0.5005667833193246","0.5005667833193246","0.5005667833193246","0.4967924410323899","0.4967924410323899","0.4967924410323899","0.5082604921555905","0.5082604921555905","0.5082604921555905","0.5048912682780982","0.5048912682780982","0.5048912682780982","0.4236360714074456","0.4236360714074456","0.4236360714074456","0.4288943267078046","0.4288943267078046","0.4288943267078046","0.4586558552466226","0.4586558552466226","0.4586558552466226","0.3937341453966421","0.3937341453966421","0.3937341453966421","0.41341340818261063","0.41341340818261063","0.41341340818261063","0.46299046117962117","0.46299046117962117","0.46299046117962117","0.44852034285555903","0.44852034285555903","0.44852034285555903","0.44341971511856676","0.44341971511856676","0.44341971511856676","0.46157975757058034","0.46157975757058034","0.46157975757058034","0.5563808047217548","0.5563808047217548","0.5563808047217548","0.5682253579245318","0.5682253579245318","0.5682253579245318","0.6052629683263814","0.6052629683263814","0.6052629683263814","0.47853965735288445","0.47853965735288445","0.47853965735288445","0.4971932197766201","0.4971932197766201","0.4971932197766201","0.4920103098566562","0.4920103098566562","0.4920103098566562","0.5396082232355429","0.5396082232355429","0.5396082232355429","0.510019504596877","0.510019504596877","0.510019504596877","0.5336295618600115","0.5336295618600115","0.5336295618600115"
"6","0.5286067100993911","0.5286067100993911","0.5286067100993911","0.5656673677892972","0.5656673677892972","0.5656673677892972","0.5382180704401021","0.5382180704401021","0.5382180704401021","0.4972712291299317","0.4972712291299317","0.4972712291299317","0.5722219937528205","0.5722219937528205","0.5722219937528205","0.5535164777332993","0.5535164777332993","0.5535164777332993","0.46951391080976046","0.46951391080976046","0.46951391080976046","0.49437076432292304","0.49437076432292304","0.49437076432292304","0.4760194679518023","0.4760194679518023","0.4760194679518023","0.49465111399639106","0.49465111399639106","0.49465111399639106","0.4833572964649909","0.4833572964649909","0.4833572964649909","0.5066698421786643","0.5066698421786643","0.5066698421786643","0.5262326757327737","0.5262326757327737","0.5262326757327737","0.5323430581640398","0.5323430581640398","0.5323430581640398","0.502868435397279","0.502868435397279","0.502868435397279","0.4954438738569863","0.4954438738569863","0.4954438738569863","0.5340805266731976","0.5340805266731976","0.5340805266731976","0.5226645990881167","0.5226645990881167","0.5226645990881167","0.4320688326965357","0.4320688326965357","0.4320688326965357","0.4309149404788727","0.4309149404788727","0.4309149404788727","0.49636456571606086","0.49636456571606086","0.49636456571606086","0.4084726649378361","0.4084726649378361","0.4084726649378361","0.46907260237617254","0.46907260237617254","0.46907260237617254","0.4564502210051084","0.4564502210051084","0.4564502210051084","0.45593405533860587","0.45593405533860587","0.45593405533860587","0.4687300240257267","0.4687300240257267","0.4687300240257267","0.4556251864775083","0.4556251864775083","0.4556251864775083","0.5587787303588422","0.5587787303588422","0.5587787303588422","0.5956556142113111","0.5956556142113111","0.5956556142113111","0.5994512885511314","0.5994512885511314","0.5994512885511314","0.5024916381250384","0.5024916381250384","0.5024916381250384","0.494513736365555","0.494513736365555","0.494513736365555","0.5299428741364719","0.5299428741364719","0.5299428741364719","0.5424398976850333","0.5424398976850333","0.5424398976850333","0.5345745943402027","0.5345745943402027","0.5345745943402027","0.5612417005973359","0.5612417005973359","0.5612417005973359"
"7","0.5796744579200042","0.5796744579200042","0.5796744579200042","0.59774654942165","0.59774654942165","0.59774654942165","0.5591042560878597","0.5591042560878597","0.5591042560878597","0.561906158940819","0.561906158940819","0.561906158940819","0.5874845015168684","0.5874845015168684","0.5874845015168684","0.5445950510942347","0.5445950510942347","0.5445950510942347","0.4594604069502779","0.4594604069502779","0.4594604069502779","0.46957514491888525","0.46957514491888525","0.46957514491888525","0.4839076021282968","0.4839076021282968","0.4839076021282968","0.5018198629018038","0.5018198629018038","0.5018198629018038","0.49821124844918824","0.49821124844918824","0.49821124844918824","0.524940913774538","0.524940913774538","0.524940913774538","0.53839374489182","0.53839374489182","0.53839374489182","0.5331954088389067","0.5331954088389067","0.5331954088389067","0.5447646528398752","0.5447646528398752","0.5447646528398752","0.5241924823664924","0.5241924823664924","0.5241924823664924","0.5328469954688324","0.5328469954688324","0.5328469954688324","0.5376544643935041","0.5376544643935041","0.5376544643935041","0.44519243555018184","0.44519243555018184","0.44519243555018184","0.4617465624806948","0.4617465624806948","0.4617465624806948","0.48880433938989726","0.48880433938989726","0.48880433938989726","0.3909688094237006","0.3909688094237006","0.3909688094237006","0.4769204810400604","0.4769204810400604","0.4769204810400604","0.4738025872729116","0.4738025872729116","0.4738025872729116","0.4476892640917887","0.4476892640917887","0.4476892640917887","0.4632110719809636","0.4632110719809636","0.4632110719809636","0.5055502030051144","0.5055502030051144","0.5055502030051144","0.6103767262484308","0.6103767262484308","0.6103767262484308","0.601310815784245","0.601310815784245","0.601310815784245","0.623748433050087","0.623748433050087","0.623748433050087","0.4905627775481644","0.4905627775481644","0.4905627775481644","0.5274431304783155","0.5274431304783155","0.5274431304783155","0.5288418662982727","0.5288418662982727","0.5288418662982727","0.586318002392901","0.586318002392901","0.586318002392901","0.5499146726580161","0.5499146726580161","0.5499146726580161","0.5919320445661843","0.5919320445661843","0.5919320445661843"
"8","0.5399302446802133","0.5399302446802133","0.5399302446802133","0.6171591887937711","0.6171591887937711","0.6171591887937711","0.6113165658188655","0.6113165658188655","0.6113165658188655","0.5593444850772347","0.5593444850772347","0.5593444850772347","0.5865674015389448","0.5865674015389448","0.5865674015389448","0.5673866883834687","0.5673866883834687","0.5673866883834687","0.4901723109823157","0.4901723109823157","0.4901723109823157","0.49120607541811356","0.49120607541811356","0.49120607541811356","0.46177551706710396","0.46177551706710396","0.46177551706710396","0.50218645730417","0.50218645730417","0.50218645730417","0.5106350455185757","0.5106350455185757","0.5106350455185757","0.5204931375225769","0.5204931375225769","0.5204931375225769","0.5270852285035286","0.5270852285035286","0.5270852285035286","0.5414818845707442","0.5414818845707442","0.5414818845707442","0.5407477402878498","0.5407477402878498","0.5407477402878498","0.5609409925990523","0.5609409925990523","0.5609409925990523","0.5507417132945267","0.5507417132945267","0.5507417132945267","0.541275806741788","0.541275806741788","0.541275806741788","0.4466101762085378","0.4466101762085378","0.4466101762085378","0.43794602971670543","0.43794602971670543","0.43794602971670543","0.49923240459564683","0.49923240459564683","0.49923240459564683","0.4093251976938001","0.4093251976938001","0.4093251976938001","0.4460561618876382","0.4460561618876382","0.4460561618876382","0.4798350644139509","0.4798350644139509","0.4798350644139509","0.4688324399270582","0.4688324399270582","0.4688324399270582","0.48992238744617805","0.48992238744617805","0.48992238744617805","0.4901821777300861","0.4901821777300861","0.4901821777300861","0.6096967409240479","0.6096967409240479","0.6096967409240479","0.6335020962141968","0.6335020962141968","0.6335020962141968","0.6569933900698363","0.6569933900698363","0.6569933900698363","0.5170625124086762","0.5170625124086762","0.5170625124086762","0.5492557879309526","0.5492557879309526","0.5492557879309526","0.5352877524810055","0.5352877524810055","0.5352877524810055","0.5838614792996267","0.5838614792996267","0.5838614792996267","0.5703057698900709","0.5703057698900709","0.5703057698900709","0.5858387455129156","0.5858387455129156","0.5858387455129156"
"9","0.5829285022853075","0.5829285022853075","0.5829285022853075","0.6049461246833038","0.6049461246833038","0.6049461246833038","0.6097742232321346","0.6097742232321346","0.6097742232321346","0.5901391125085358","0.5901391125085358","0.5901391125085358","0.6116647575885842","0.6116647575885842","0.6116647575885842","0.5887045050000349","0.5887045050000349","0.5887045050000349","0.49198169392207997","0.49198169392207997","0.49198169392207997","0.4885675395197557","0.4885675395197557","0.4885675395197557","0.48178187479764023","0.48178187479764023","0.48178187479764023","0.5114045322860061","0.5114045322860061","0.5114045322860061","0.5051580192389441","0.5051580192389441","0.5051580192389441","0.5255691921993196","0.5255691921993196","0.5255691921993196","0.5411982369273186","0.5411982369273186","0.5411982369273186","0.546576518229475","0.546576518229475","0.546576518229475","0.5595589318604045","0.5595589318604045","0.5595589318604045","0.5449811276827663","0.5449811276827663","0.5449811276827663","0.5524293480222571","0.5524293480222571","0.5524293480222571","0.5632044737481421","0.5632044737481421","0.5632044737481421","0.4798244599149262","0.4798244599149262","0.4798244599149262","0.45557942911348814","0.45557942911348814","0.45557942911348814","0.5095258277136817","0.5095258277136817","0.5095258277136817","0.4182111786980914","0.4182111786980914","0.4182111786980914","0.4333784783000397","0.4333784783000397","0.4333784783000397","0.48640676032015273","0.48640676032015273","0.48640676032015273","0.4909935898631527","0.4909935898631527","0.4909935898631527","0.48041244077403716","0.48041244077403716","0.48041244077403716","0.5004649252315843","0.5004649252315843","0.5004649252315843","0.6303766878736234","0.6303766878736234","0.6303766878736234","0.6328842665405938","0.6328842665405938","0.6328842665405938","0.6617970503493414","0.6617970503493414","0.6617970503493414","0.5180781911342557","0.5180781911342557","0.5180781911342557","0.5368362508903359","0.5368362508903359","0.5368362508903359","0.5602375939110776","0.5602375939110776","0.5602375939110776","0.5933643769886149","0.5933643769886149","0.5933643769886149","0.5832546388146611","0.5832546388146611","0.5832546388146611","0.6107479045657264","0.6107479045657264","0.6107479045657264"
