"Step","GNN_expression_cnv_soft_1 - gene_ap","GNN_expression_cnv_soft_1 - gene_ap__MIN","GNN_expression_cnv_soft_1 - gene_ap__MAX","GNN_expression_cnv_soft_999 - gene_ap","GNN_expression_cnv_soft_999 - gene_ap__MIN","GNN_expression_cnv_soft_999 - gene_ap__MAX","GNN_expression_cnv_soft_42 - gene_ap","GNN_expression_cnv_soft_42 - gene_ap__MIN","GNN_expression_cnv_soft_42 - gene_ap__MAX","GNN_cnv_soft_expression_1 - gene_ap","GNN_cnv_soft_expression_1 - gene_ap__MIN","GNN_cnv_soft_expression_1 - gene_ap__MAX","GNN_cnv_soft_expression_999 - gene_ap","GNN_cnv_soft_expression_999 - gene_ap__MIN","GNN_cnv_soft_expression_999 - gene_ap__MAX","GNN_cnv_soft_expression_42 - gene_ap","GNN_cnv_soft_expression_42 - gene_ap__MIN","GNN_cnv_soft_expression_42 - gene_ap__MAX","GNN_expression_rnd_1 - gene_ap","GNN_expression_rnd_1 - gene_ap__MIN","GNN_expression_rnd_1 - gene_ap__MAX","GNN_expression_rnd_999 - gene_ap","GNN_expression_rnd_999 - gene_ap__MIN","GNN_expression_rnd_999 - gene_ap__MAX","GNN_expression_rnd_42 - gene_ap","GNN_expression_rnd_42 - gene_ap__MIN","GNN_expression_rnd_42 - gene_ap__MAX","GNN_cnv_rnd_1 - gene_ap","GNN_cnv_rnd_1 - gene_ap__MIN","GNN_cnv_rnd_1 - gene_ap__MAX","GNN_cnv_rnd_999 - gene_ap","GNN_cnv_rnd_999 - gene_ap__MIN","GNN_cnv_rnd_999 - gene_ap__MAX","GNN_cnv_rnd_42 - gene_ap","GNN_cnv_rnd_42 - gene_ap__MIN","GNN_cnv_rnd_42 - gene_ap__MAX","GNN_expression_cnv_1 - gene_ap","GNN_expression_cnv_1 - gene_ap__MIN","GNN_expression_cnv_1 - gene_ap__MAX","GNN_expression_cnv_999 - gene_ap","GNN_expression_cnv_999 - gene_ap__MIN","GNN_expression_cnv_999 - gene_ap__MAX","GNN_expression_cnv_42 - gene_ap","GNN_expression_cnv_42 - gene_ap__MIN","GNN_expression_cnv_42 - gene_ap__MAX","GNN_cnv_expression_1 - gene_ap","GNN_cnv_expression_1 - gene_ap__MIN","GNN_cnv_expression_1 - gene_ap__MAX","GNN_cnv_expression_999 - gene_ap","GNN_cnv_expression_999 - gene_ap__MIN","GNN_cnv_expression_999 - gene_ap__MAX","GNN_cnv_expression_42 - gene_ap","GNN_cnv_expression_42 - gene_ap__MIN","GNN_cnv_expression_42 - gene_ap__MAX","GNN_cnv_full_1 - gene_ap","GNN_cnv_full_1 - gene_ap__MIN","GNN_cnv_full_1 - gene_ap__MAX","GNN_cnv_full_999 - gene_ap","GNN_cnv_full_999 - gene_ap__MIN","GNN_cnv_full_999 - gene_ap__MAX","GNN_cnv_full_42 - gene_ap","GNN_cnv_full_42 - gene_ap__MIN","GNN_cnv_full_42 - gene_ap__MAX","GNN_expression_full_1 - gene_ap","GNN_expression_full_1 - gene_ap__MIN","GNN_expression_full_1 - gene_ap__MAX","GNN_expression_full_999 - gene_ap","GNN_expression_full_999 - gene_ap__MIN","GNN_expression_full_999 - gene_ap__MAX","GNN_expression_full_42 - gene_ap","GNN_expression_full_42 - gene_ap__MIN","GNN_expression_full_42 - gene_ap__MAX","GNN_cnv_soft_rnd_1 - gene_ap","GNN_cnv_soft_rnd_1 - gene_ap__MIN","GNN_cnv_soft_rnd_1 - gene_ap__MAX","GNN_cnv_soft_rnd_999 - gene_ap","GNN_cnv_soft_rnd_999 - gene_ap__MIN","GNN_cnv_soft_rnd_999 - gene_ap__MAX","GNN_cnv_soft_rnd_42 - gene_ap","GNN_cnv_soft_rnd_42 - gene_ap__MIN","GNN_cnv_soft_rnd_42 - gene_ap__MAX","GNN_cnv_soft_1 - gene_ap","GNN_cnv_soft_1 - gene_ap__MIN","GNN_cnv_soft_1 - gene_ap__MAX","GNN_cnv_soft_999 - gene_ap","GNN_cnv_soft_999 - gene_ap__MIN","GNN_cnv_soft_999 - gene_ap__MAX","GNN_cnv_soft_42 - gene_ap","GNN_cnv_soft_42 - gene_ap__MIN","GNN_cnv_soft_42 - gene_ap__MAX","GNN_expression_1 - gene_ap","GNN_expression_1 - gene_ap__MIN","GNN_expression_1 - gene_ap__MAX","GNN_expression_999 - gene_ap","GNN_expression_999 - gene_ap__MIN","GNN_expression_999 - gene_ap__MAX","GNN_expression_42 - gene_ap","GNN_expression_42 - gene_ap__MIN","GNN_expression_42 - gene_ap__MAX","GNN_cnv_1 - gene_ap","GNN_cnv_1 - gene_ap__MIN","GNN_cnv_1 - gene_ap__MAX","GNN_cnv_999 - gene_ap","GNN_cnv_999 - gene_ap__MIN","GNN_cnv_999 - gene_ap__MAX","GNN_cnv_42 - gene_ap","GNN_cnv_42 - gene_ap__MIN","GNN_cnv_42 - gene_ap__MAX"
"0","0.4344632051399755","0.4344632051399755","0.4344632051399755","0.4394983518627719","0.4394983518627719","0.4394983518627719","0.4405302416224272","0.4405302416224272","0.4405302416224272","0.4363777936578453","0.4363777936578453","0.4363777936578453","0.43250936888132036","0.43250936888132036","0.43250936888132036","0.43757746956937477","0.43757746956937477","0.43757746956937477","0.39851089921546834","0.39851089921546834","0.39851089921546834","0.39566228889642696","0.39566228889642696","0.39566228889642696","0.39805236956156076","0.39805236956156076","0.39805236956156076","0.39504289720455055","0.39504289720455055","0.39504289720455055","0.3938162870339806","0.3938162870339806","0.3938162870339806","0.39521517874695306","0.39521517874695306","0.39521517874695306","0.41627222020660387","0.41627222020660387","0.41627222020660387","0.4079945358201792","0.4079945358201792","0.4079945358201792","0.4120471224866552","0.4120471224866552","0.4120471224866552","0.40739448872810985","0.40739448872810985","0.40739448872810985","0.4084796226511943","0.4084796226511943","0.4084796226511943","0.4088929951045938","0.4088929951045938","0.4088929951045938","0.4486411678596032","0.4486411678596032","0.4486411678596032","0.453185370748111","0.453185370748111","0.453185370748111","0.43306399524512795","0.43306399524512795","0.43306399524512795","0.4637741131648288","0.4637741131648288","0.4637741131648288","0.44510064270557803","0.44510064270557803","0.44510064270557803","0.4412228698099772","0.4412228698099772","0.4412228698099772","0.3979112678282639","0.3979112678282639","0.3979112678282639","0.40057025895250664","0.40057025895250664","0.40057025895250664","0.4056780444501703","0.4056780444501703","0.4056780444501703","0.44841441830479134","0.44841441830479134","0.44841441830479134","0.4528724561291455","0.4528724561291455","0.4528724561291455","0.445646079713262","0.445646079713262","0.445646079713262","0.4011340812234353","0.4011340812234353","0.4011340812234353","0.40133377023129213","0.40133377023129213","0.40133377023129213","0.40027239916861396","0.40027239916861396","0.40027239916861396","0.4386591967471052","0.4386591967471052","0.4386591967471052","0.43797951705334887","0.43797951705334887","0.43797951705334887","0.43076206980713333","0.43076206980713333","0.43076206980713333"
"1","0.4479736379397993","0.4479736379397993","0.4479736379397993","0.45032859787950646","0.45032859787950646","0.45032859787950646","0.45992319889404015","0.45992319889404015","0.45992319889404015","0.4564238800775112","0.4564238800775112","0.4564238800775112","0.4366127225663222","0.4366127225663222","0.4366127225663222","0.45618181488772586","0.45618181488772586","0.45618181488772586","0.405149927307479","0.405149927307479","0.405149927307479","0.4120229332318548","0.4120229332318548","0.4120229332318548","0.3998092052014598","0.3998092052014598","0.3998092052014598","0.39540319272393676","0.39540319272393676","0.39540319272393676","0.39652555298934283","0.39652555298934283","0.39652555298934283","0.3967509546760651","0.3967509546760651","0.3967509546760651","0.43873480439500795","0.43873480439500795","0.43873480439500795","0.4403103732918302","0.4403103732918302","0.4403103732918302","0.43949440134328444","0.43949440134328444","0.43949440134328444","0.43795884699402704","0.43795884699402704","0.43795884699402704","0.42911783228196027","0.42911783228196027","0.42911783228196027","0.4361852746795924","0.4361852746795924","0.4361852746795924","0.471076865151318","0.471076865151318","0.471076865151318","0.4377244637081195","0.4377244637081195","0.4377244637081195","0.4487243651346713","0.4487243651346713","0.4487243651346713","0.49228151772553946","0.49228151772553946","0.49228151772553946","0.44664032756924577","0.44664032756924577","0.44664032756924577","0.4429282333839809","0.4429282333839809","0.4429282333839809","0.4112476879416164","0.4112476879416164","0.4112476879416164","0.4065891859625162","0.4065891859625162","0.4065891859625162","0.41748027759694484","0.41748027759694484","0.41748027759694484","0.4441379214502863","0.4441379214502863","0.4441379214502863","0.44969692280189044","0.44969692280189044","0.44969692280189044","0.4485457015099909","0.4485457015099909","0.4485457015099909","0.4164340061026091","0.4164340061026091","0.4164340061026091","0.4284750149800175","0.4284750149800175","0.4284750149800175","0.4127196380985501","0.4127196380985501","0.4127196380985501","0.4439190749080678","0.4439190749080678","0.4439190749080678","0.4258869064567542","0.4258869064567542","0.4258869064567542","0.4406659816006917","0.4406659816006917","0.4406659816006917"
"2","0.4630868319645221","0.4630868319645221","0.4630868319645221","0.45371589805844553","0.45371589805844553","0.45371589805844553","0.4674951105955151","0.4674951105955151","0.4674951105955151","0.45746180864887354","0.45746180864887354","0.45746180864887354","0.44531944945475116","0.44531944945475116","0.44531944945475116","0.45977853415503067","0.45977853415503067","0.45977853415503067","0.4222609820078804","0.4222609820078804","0.4222609820078804","0.4290145954501547","0.4290145954501547","0.4290145954501547","0.41417731562042964","0.41417731562042964","0.41417731562042964","0.39998558286729025","0.39998558286729025","0.39998558286729025","0.3966208979515213","0.3966208979515213","0.3966208979515213","0.4000766464032256","0.4000766464032256","0.4000766464032256","0.4560987298499634","0.4560987298499634","0.4560987298499634","0.4483834653269752","0.4483834653269752","0.4483834653269752","0.4569882574558291","0.4569882574558291","0.4569882574558291","0.44365443145047834","0.44365443145047834","0.44365443145047834","0.4445256839214367","0.4445256839214367","0.4445256839214367","0.4352137478725897","0.4352137478725897","0.4352137478725897","0.49839754714298645","0.49839754714298645","0.49839754714298645","0.4768658862410243","0.4768658862410243","0.4768658862410243","0.4565823322456373","0.4565823322456373","0.4565823322456373","0.45796896366004175","0.45796896366004175","0.45796896366004175","0.4475011768642154","0.4475011768642154","0.4475011768642154","0.44420481323013","0.44420481323013","0.44420481323013","0.43144130080363285","0.43144130080363285","0.43144130080363285","0.40679308595000896","0.40679308595000896","0.40679308595000896","0.44817405403656546","0.44817405403656546","0.44817405403656546","0.4532602878968158","0.4532602878968158","0.4532602878968158","0.4478421517946214","0.4478421517946214","0.4478421517946214","0.4620875249330096","0.4620875249330096","0.4620875249330096","0.43905917480978235","0.43905917480978235","0.43905917480978235","0.453962138988772","0.453962138988772","0.453962138988772","0.4353244624479783","0.4353244624479783","0.4353244624479783","0.44044798646898203","0.44044798646898203","0.44044798646898203","0.44160798676777685","0.44160798676777685","0.44160798676777685","0.4395217150116542","0.4395217150116542","0.4395217150116542"
"3","0.46881638584016483","0.46881638584016483","0.46881638584016483","0.4663437597497126","0.4663437597497126","0.4663437597497126","0.4716603700408984","0.4716603700408984","0.4716603700408984","0.4928120223165137","0.4928120223165137","0.4928120223165137","0.444439280159115","0.444439280159115","0.444439280159115","0.48652738405389656","0.48652738405389656","0.48652738405389656","0.4445661544591625","0.4445661544591625","0.4445661544591625","0.4448681600061999","0.4448681600061999","0.4448681600061999","0.4244957472431039","0.4244957472431039","0.4244957472431039","0.40233373945701706","0.40233373945701706","0.40233373945701706","0.39802284861526566","0.39802284861526566","0.39802284861526566","0.4042103361349897","0.4042103361349897","0.4042103361349897","0.45425131947760644","0.45425131947760644","0.45425131947760644","0.45882623209186474","0.45882623209186474","0.45882623209186474","0.4628810611447731","0.4628810611447731","0.4628810611447731","0.4561847236212165","0.4561847236212165","0.4561847236212165","0.46385067813462527","0.46385067813462527","0.46385067813462527","0.44238229432812054","0.44238229432812054","0.44238229432812054","0.47185178971745667","0.47185178971745667","0.47185178971745667","0.5011503646146108","0.5011503646146108","0.5011503646146108","0.4483665480045929","0.4483665480045929","0.4483665480045929","0.4731346242046993","0.4731346242046993","0.4731346242046993","0.45614894484542307","0.45614894484542307","0.45614894484542307","0.4544901454695878","0.4544901454695878","0.4544901454695878","0.45015205581643064","0.45015205581643064","0.45015205581643064","0.4220229438728752","0.4220229438728752","0.4220229438728752","0.4588026133788409","0.4588026133788409","0.4588026133788409","0.4521798106754852","0.4521798106754852","0.4521798106754852","0.44295018810845654","0.44295018810845654","0.44295018810845654","0.4517659180173429","0.4517659180173429","0.4517659180173429","0.45250166001676606","0.45250166001676606","0.45250166001676606","0.44953042359519885","0.44953042359519885","0.44953042359519885","0.4375700855764074","0.4375700855764074","0.4375700855764074","0.4408320476301139","0.4408320476301139","0.4408320476301139","0.4406035589255417","0.4406035589255417","0.4406035589255417","0.43742564074621865","0.43742564074621865","0.43742564074621865"
"4","0.4664480390424578","0.4664480390424578","0.4664480390424578","0.4618882895381338","0.4618882895381338","0.4618882895381338","0.4865069378566679","0.4865069378566679","0.4865069378566679","0.472457759240258","0.472457759240258","0.472457759240258","0.4707196414978817","0.4707196414978817","0.4707196414978817","0.48904771790910556","0.48904771790910556","0.48904771790910556","0.45920237794812463","0.45920237794812463","0.45920237794812463","0.4821737818386831","0.4821737818386831","0.4821737818386831","0.44788286529436666","0.44788286529436666","0.44788286529436666","0.40056110727786776","0.40056110727786776","0.40056110727786776","0.4013820604590805","0.4013820604590805","0.4013820604590805","0.4025141103561258","0.4025141103561258","0.4025141103561258","0.45991714643370657","0.45991714643370657","0.45991714643370657","0.46008506696316454","0.46008506696316454","0.46008506696316454","0.4756737939408781","0.4756737939408781","0.4756737939408781","0.4597543857723218","0.4597543857723218","0.4597543857723218","0.4475567814770683","0.4475567814770683","0.4475567814770683","0.4632699489658224","0.4632699489658224","0.4632699489658224","0.4907071086526893","0.4907071086526893","0.4907071086526893","0.4859350093461161","0.4859350093461161","0.4859350093461161","0.44932479096271305","0.44932479096271305","0.44932479096271305","0.49275248382737774","0.49275248382737774","0.49275248382737774","0.4472188895704273","0.4472188895704273","0.4472188895704273","0.4493861219305181","0.4493861219305181","0.4493861219305181","0.477669247971145","0.477669247971145","0.477669247971145","0.4517982749989919","0.4517982749989919","0.4517982749989919","0.4835811142914576","0.4835811142914576","0.4835811142914576","0.4461006669691522","0.4461006669691522","0.4461006669691522","0.4503798530563213","0.4503798530563213","0.4503798530563213","0.4442832774129931","0.4442832774129931","0.4442832774129931","0.46488454645002614","0.46488454645002614","0.46488454645002614","0.4857478999231331","0.4857478999231331","0.4857478999231331","0.4565168706837388","0.4565168706837388","0.4565168706837388","0.4561378201913827","0.4561378201913827","0.4561378201913827","0.44252592051758066","0.44252592051758066","0.44252592051758066","0.43890586485753763","0.43890586485753763","0.43890586485753763"
"5","0.49015163694882746","0.49015163694882746","0.49015163694882746","0.4986516786960323","0.4986516786960323","0.4986516786960323","0.48532599681847965","0.48532599681847965","0.48532599681847965","0.4746003902827129","0.4746003902827129","0.4746003902827129","0.4709258460535935","0.4709258460535935","0.4709258460535935","0.46822095609611175","0.46822095609611175","0.46822095609611175","0.4876169499260954","0.4876169499260954","0.4876169499260954","0.4717374284156371","0.4717374284156371","0.4717374284156371","0.4563221804210073","0.4563221804210073","0.4563221804210073","0.40649550229828413","0.40649550229828413","0.40649550229828413","0.40943993022675285","0.40943993022675285","0.40943993022675285","0.40618409459124893","0.40618409459124893","0.40618409459124893","0.4639581213724867","0.4639581213724867","0.4639581213724867","0.46445041588223007","0.46445041588223007","0.46445041588223007","0.47263572990497527","0.47263572990497527","0.47263572990497527","0.47104660010860244","0.47104660010860244","0.47104660010860244","0.45265959736236977","0.45265959736236977","0.45265959736236977","0.47036298014577105","0.47036298014577105","0.47036298014577105","0.5206530605382478","0.5206530605382478","0.5206530605382478","0.5076002592294908","0.5076002592294908","0.5076002592294908","0.44133153124817465","0.44133153124817465","0.44133153124817465","0.5008156394456078","0.5008156394456078","0.5008156394456078","0.45062551936602324","0.45062551936602324","0.45062551936602324","0.45829526972357354","0.45829526972357354","0.45829526972357354","0.4512511628438605","0.4512511628438605","0.4512511628438605","0.4429905791487491","0.4429905791487491","0.4429905791487491","0.4781152019582462","0.4781152019582462","0.4781152019582462","0.45172627830888445","0.45172627830888445","0.45172627830888445","0.46046765890117736","0.46046765890117736","0.46046765890117736","0.46095741431682896","0.46095741431682896","0.46095741431682896","0.46317959140390375","0.46317959140390375","0.46317959140390375","0.4692468305847938","0.4692468305847938","0.4692468305847938","0.45698529716547687","0.45698529716547687","0.45698529716547687","0.43822585485166854","0.43822585485166854","0.43822585485166854","0.4370062347210943","0.4370062347210943","0.4370062347210943","0.4435152718008134","0.4435152718008134","0.4435152718008134"
"6","0.4846267602187176","0.4846267602187176","0.4846267602187176","0.48208943098014106","0.48208943098014106","0.48208943098014106","0.4890142582421852","0.4890142582421852","0.4890142582421852","0.47776654659093215","0.47776654659093215","0.47776654659093215","0.4630250563748895","0.4630250563748895","0.4630250563748895","0.4962191063518357","0.4962191063518357","0.4962191063518357","0.49426004682732094","0.49426004682732094","0.49426004682732094","0.4957479982795793","0.4957479982795793","0.4957479982795793","0.4746953236309875","0.4746953236309875","0.4746953236309875","0.4114234066969319","0.4114234066969319","0.4114234066969319","0.40756662726329956","0.40756662726329956","0.40756662726329956","0.41627187537505317","0.41627187537505317","0.41627187537505317","0.5016024527947072","0.5016024527947072","0.5016024527947072","0.4858758749733001","0.4858758749733001","0.4858758749733001","0.4907645068803302","0.4907645068803302","0.4907645068803302","0.4575452509090113","0.4575452509090113","0.4575452509090113","0.4685226555056989","0.4685226555056989","0.4685226555056989","0.4713593303079022","0.4713593303079022","0.4713593303079022","0.4647493947227183","0.4647493947227183","0.4647493947227183","0.47880891748311427","0.47880891748311427","0.47880891748311427","0.4606239962990079","0.4606239962990079","0.4606239962990079","0.4633437199427035","0.4633437199427035","0.4633437199427035","0.45641182947344644","0.45641182947344644","0.45641182947344644","0.4494997840939903","0.4494997840939903","0.4494997840939903","0.4711684079920148","0.4711684079920148","0.4711684079920148","0.48161383318690554","0.48161383318690554","0.48161383318690554","0.5020856073033715","0.5020856073033715","0.5020856073033715","0.4497906747849497","0.4497906747849497","0.4497906747849497","0.45349458815336496","0.45349458815336496","0.45349458815336496","0.4693957397079769","0.4693957397079769","0.4693957397079769","0.48595065393148396","0.48595065393148396","0.48595065393148396","0.4796898195523283","0.4796898195523283","0.4796898195523283","0.47126146475209746","0.47126146475209746","0.47126146475209746","0.4496806074326114","0.4496806074326114","0.4496806074326114","0.4388690194984874","0.4388690194984874","0.4388690194984874","0.4521033252006717","0.4521033252006717","0.4521033252006717"
"7","0.47521379443805106","0.47521379443805106","0.47521379443805106","0.5128736735980777","0.5128736735980777","0.5128736735980777","0.4839286134993859","0.4839286134993859","0.4839286134993859","0.508200984609866","0.508200984609866","0.508200984609866","0.46862220957031275","0.46862220957031275","0.46862220957031275","0.511718845382861","0.511718845382861","0.511718845382861","0.49820271711086","0.49820271711086","0.49820271711086","0.4921014225985315","0.4921014225985315","0.4921014225985315","0.4610345498588224","0.4610345498588224","0.4610345498588224","0.4153583654575504","0.4153583654575504","0.4153583654575504","0.4141106962929796","0.4141106962929796","0.4141106962929796","0.42125084137009045","0.42125084137009045","0.42125084137009045","0.4762532626584644","0.4762532626584644","0.4762532626584644","0.47065030824449605","0.47065030824449605","0.47065030824449605","0.48102576610028086","0.48102576610028086","0.48102576610028086","0.4822463470684305","0.4822463470684305","0.4822463470684305","0.47347717799308114","0.47347717799308114","0.47347717799308114","0.4740407977970611","0.4740407977970611","0.4740407977970611","0.4826880160457742","0.4826880160457742","0.4826880160457742","0.4861433398143483","0.4861433398143483","0.4861433398143483","0.4477046788494224","0.4477046788494224","0.4477046788494224","0.5002319073013088","0.5002319073013088","0.5002319073013088","0.4573154612141818","0.4573154612141818","0.4573154612141818","0.4498422048459706","0.4498422048459706","0.4498422048459706","0.4738188014539831","0.4738188014539831","0.4738188014539831","0.4931215013678552","0.4931215013678552","0.4931215013678552","0.5303550049241497","0.5303550049241497","0.5303550049241497","0.47792157847711336","0.47792157847711336","0.47792157847711336","0.4591063655375085","0.4591063655375085","0.4591063655375085","0.46870976392443936","0.46870976392443936","0.46870976392443936","0.4899722428265118","0.4899722428265118","0.4899722428265118","0.47217904407954614","0.47217904407954614","0.47217904407954614","0.4660041399140001","0.4660041399140001","0.4660041399140001","0.45951890219538516","0.45951890219538516","0.45951890219538516","0.4440050411705693","0.4440050411705693","0.4440050411705693","0.4481313722554081","0.4481313722554081","0.4481313722554081"
"8","0.48524301489277005","0.48524301489277005","0.48524301489277005","0.5269717296782515","0.5269717296782515","0.5269717296782515","0.515457082150929","0.515457082150929","0.515457082150929","0.5114413518302879","0.5114413518302879","0.5114413518302879","0.5011170167487228","0.5011170167487228","0.5011170167487228","0.4980408478316993","0.4980408478316993","0.4980408478316993","0.5105907415134713","0.5105907415134713","0.5105907415134713","0.49832126338216876","0.49832126338216876","0.49832126338216876","0.48406942589064816","0.48406942589064816","0.48406942589064816","0.41264239008151105","0.41264239008151105","0.41264239008151105","0.4159422179556698","0.4159422179556698","0.4159422179556698","0.4279399895397899","0.4279399895397899","0.4279399895397899","0.48020563899305724","0.48020563899305724","0.48020563899305724","0.48359773097371633","0.48359773097371633","0.48359773097371633","0.47271154197283594","0.47271154197283594","0.47271154197283594","0.4883761954002524","0.4883761954002524","0.4883761954002524","0.48587103257833275","0.48587103257833275","0.48587103257833275","0.4768335366608141","0.4768335366608141","0.4768335366608141","0.5219852527121721","0.5219852527121721","0.5219852527121721","0.48204778506466833","0.48204778506466833","0.48204778506466833","0.4559335645913433","0.4559335645913433","0.4559335645913433","0.4811848775454361","0.4811848775454361","0.4811848775454361","0.4525201466364171","0.4525201466364171","0.4525201466364171","0.4550436730177563","0.4550436730177563","0.4550436730177563","0.4952743616123102","0.4952743616123102","0.4952743616123102","0.48291395684203114","0.48291395684203114","0.48291395684203114","0.501752070355436","0.501752070355436","0.501752070355436","0.46280507005666754","0.46280507005666754","0.46280507005666754","0.4772615345356517","0.4772615345356517","0.4772615345356517","0.4722642579366338","0.4722642579366338","0.4722642579366338","0.4802527442517727","0.4802527442517727","0.4802527442517727","0.4705359277130704","0.4705359277130704","0.4705359277130704","0.46276254462997857","0.46276254462997857","0.46276254462997857","0.455624674081246","0.455624674081246","0.455624674081246","0.4539382157014271","0.4539382157014271","0.4539382157014271","0.45011944218762384","0.45011944218762384","0.45011944218762384"
"9","0.492560888439939","0.492560888439939","0.492560888439939","0.5255148370761253","0.5255148370761253","0.5255148370761253","0.527404338927994","0.527404338927994","0.527404338927994","0.5094330850716767","0.5094330850716767","0.5094330850716767","0.48432638549207496","0.48432638549207496","0.48432638549207496","0.5221379004737129","0.5221379004737129","0.5221379004737129","0.5165644955082861","0.5165644955082861","0.5165644955082861","0.49365477911425937","0.49365477911425937","0.49365477911425937","0.49190309932078685","0.49190309932078685","0.49190309932078685","0.42768986776434176","0.42768986776434176","0.42768986776434176","0.4185734287900674","0.4185734287900674","0.4185734287900674","0.43132707686550625","0.43132707686550625","0.43132707686550625","0.4779739479451087","0.4779739479451087","0.4779739479451087","0.5028097948266392","0.5028097948266392","0.5028097948266392","0.4995310628833081","0.4995310628833081","0.4995310628833081","0.4834992501592078","0.4834992501592078","0.4834992501592078","0.4758671802874455","0.4758671802874455","0.4758671802874455","0.48647597137760124","0.48647597137760124","0.48647597137760124","0.5297530305041648","0.5297530305041648","0.5297530305041648","0.49606117228058205","0.49606117228058205","0.49606117228058205","0.4429030590877429","0.4429030590877429","0.4429030590877429","0.48474832283046637","0.48474832283046637","0.48474832283046637","0.46961630315868086","0.46961630315868086","0.46961630315868086","0.45677043280187174","0.45677043280187174","0.45677043280187174","0.52336438559798","0.52336438559798","0.52336438559798","0.5076157058221882","0.5076157058221882","0.5076157058221882","0.5213104702808243","0.5213104702808243","0.5213104702808243","0.463785289826117","0.463785289826117","0.463785289826117","0.5119644234108347","0.5119644234108347","0.5119644234108347","0.4679330804949023","0.4679330804949023","0.4679330804949023","0.5103017687567003","0.5103017687567003","0.5103017687567003","0.4869040723455447","0.4869040723455447","0.4869040723455447","0.48348713948160943","0.48348713948160943","0.48348713948160943","0.4510395173147179","0.4510395173147179","0.4510395173147179","0.4649678961456412","0.4649678961456412","0.4649678961456412","0.45133696750318053","0.45133696750318053","0.45133696750318053"
