"Step","GNN_expression_cnv_soft_1 - assay_ap","GNN_expression_cnv_soft_1 - assay_ap__MIN","GNN_expression_cnv_soft_1 - assay_ap__MAX","GNN_expression_cnv_soft_999 - assay_ap","GNN_expression_cnv_soft_999 - assay_ap__MIN","GNN_expression_cnv_soft_999 - assay_ap__MAX","GNN_expression_cnv_soft_42 - assay_ap","GNN_expression_cnv_soft_42 - assay_ap__MIN","GNN_expression_cnv_soft_42 - assay_ap__MAX","GNN_cnv_soft_expression_1 - assay_ap","GNN_cnv_soft_expression_1 - assay_ap__MIN","GNN_cnv_soft_expression_1 - assay_ap__MAX","GNN_cnv_soft_expression_999 - assay_ap","GNN_cnv_soft_expression_999 - assay_ap__MIN","GNN_cnv_soft_expression_999 - assay_ap__MAX","GNN_cnv_soft_expression_42 - assay_ap","GNN_cnv_soft_expression_42 - assay_ap__MIN","GNN_cnv_soft_expression_42 - assay_ap__MAX","GNN_expression_rnd_1 - assay_ap","GNN_expression_rnd_1 - assay_ap__MIN","GNN_expression_rnd_1 - assay_ap__MAX","GNN_expression_rnd_999 - assay_ap","GNN_expression_rnd_999 - assay_ap__MIN","GNN_expression_rnd_999 - assay_ap__MAX","GNN_expression_rnd_42 - assay_ap","GNN_expression_rnd_42 - assay_ap__MIN","GNN_expression_rnd_42 - assay_ap__MAX","GNN_cnv_rnd_1 - assay_ap","GNN_cnv_rnd_1 - assay_ap__MIN","GNN_cnv_rnd_1 - assay_ap__MAX","GNN_cnv_rnd_999 - assay_ap","GNN_cnv_rnd_999 - assay_ap__MIN","GNN_cnv_rnd_999 - assay_ap__MAX","GNN_cnv_rnd_42 - assay_ap","GNN_cnv_rnd_42 - assay_ap__MIN","GNN_cnv_rnd_42 - assay_ap__MAX","GNN_expression_cnv_1 - assay_ap","GNN_expression_cnv_1 - assay_ap__MIN","GNN_expression_cnv_1 - assay_ap__MAX","GNN_expression_cnv_999 - assay_ap","GNN_expression_cnv_999 - assay_ap__MIN","GNN_expression_cnv_999 - assay_ap__MAX","GNN_expression_cnv_42 - assay_ap","GNN_expression_cnv_42 - assay_ap__MIN","GNN_expression_cnv_42 - assay_ap__MAX","GNN_cnv_expression_1 - assay_ap","GNN_cnv_expression_1 - assay_ap__MIN","GNN_cnv_expression_1 - assay_ap__MAX","GNN_cnv_expression_999 - assay_ap","GNN_cnv_expression_999 - assay_ap__MIN","GNN_cnv_expression_999 - assay_ap__MAX","GNN_cnv_expression_42 - assay_ap","GNN_cnv_expression_42 - assay_ap__MIN","GNN_cnv_expression_42 - assay_ap__MAX","GNN_cnv_full_1 - assay_ap","GNN_cnv_full_1 - assay_ap__MIN","GNN_cnv_full_1 - assay_ap__MAX","GNN_cnv_full_999 - assay_ap","GNN_cnv_full_999 - assay_ap__MIN","GNN_cnv_full_999 - assay_ap__MAX","GNN_cnv_full_42 - assay_ap","GNN_cnv_full_42 - assay_ap__MIN","GNN_cnv_full_42 - assay_ap__MAX","GNN_expression_full_1 - assay_ap","GNN_expression_full_1 - assay_ap__MIN","GNN_expression_full_1 - assay_ap__MAX","GNN_expression_full_999 - assay_ap","GNN_expression_full_999 - assay_ap__MIN","GNN_expression_full_999 - assay_ap__MAX","GNN_expression_full_42 - assay_ap","GNN_expression_full_42 - assay_ap__MIN","GNN_expression_full_42 - assay_ap__MAX","GNN_cnv_soft_rnd_1 - assay_ap","GNN_cnv_soft_rnd_1 - assay_ap__MIN","GNN_cnv_soft_rnd_1 - assay_ap__MAX","GNN_cnv_soft_rnd_999 - assay_ap","GNN_cnv_soft_rnd_999 - assay_ap__MIN","GNN_cnv_soft_rnd_999 - assay_ap__MAX","GNN_cnv_soft_rnd_42 - assay_ap","GNN_cnv_soft_rnd_42 - assay_ap__MIN","GNN_cnv_soft_rnd_42 - assay_ap__MAX","GNN_cnv_soft_99 - assay_ap","GNN_cnv_soft_99 - assay_ap__MIN","GNN_cnv_soft_99 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_expression_99 - assay_ap","GNN_expression_99 - assay_ap__MIN","GNN_expression_99 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_cnv_99 - assay_ap","GNN_cnv_99 - assay_ap__MIN","GNN_cnv_99 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX"
"0","0.42151567619103925","0.42151567619103925","0.42151567619103925","0.41745805862531526","0.41745805862531526","0.41745805862531526","0.42734418008373803","0.42734418008373803","0.42734418008373803","0.42842950417153974","0.42842950417153974","0.42842950417153974","0.40770545409540565","0.40770545409540565","0.40770545409540565","0.4407557301898186","0.4407557301898186","0.4407557301898186","0.41882739767775745","0.41882739767775745","0.41882739767775745","0.42946792517003446","0.42946792517003446","0.42946792517003446","0.4306295708923027","0.4306295708923027","0.4306295708923027","0.408647550023329","0.408647550023329","0.408647550023329","0.4022021986372963","0.4022021986372963","0.4022021986372963","0.4047511821772732","0.4047511821772732","0.4047511821772732","0.4196938948051741","0.4196938948051741","0.4196938948051741","0.4112816269461753","0.4112816269461753","0.4112816269461753","0.41245076891744475","0.41245076891744475","0.41245076891744475","0.42585677753549595","0.42585677753549595","0.42585677753549595","0.3988098588002342","0.3988098588002342","0.3988098588002342","0.41568679268981157","0.41568679268981157","0.41568679268981157","0.37635645089791303","0.37635645089791303","0.37635645089791303","0.42451991929370486","0.42451991929370486","0.42451991929370486","0.38655873488402215","0.38655873488402215","0.38655873488402215","0.35701163565928457","0.35701163565928457","0.35701163565928457","0.3731830377339121","0.3731830377339121","0.3731830377339121","0.3749620393730435","0.3749620393730435","0.3749620393730435","0.4312175049447771","0.4312175049447771","0.4312175049447771","0.43994327416437057","0.43994327416437057","0.43994327416437057","0.4331905333837415","0.4331905333837415","0.4331905333837415","0.3991893508479424","0.3991893508479424","0.3991893508479424","0.42751409940857366","0.42751409940857366","0.42751409940857366","0.4193690180060111","0.4193690180060111","0.4193690180060111","0.4100411992865782","0.4100411992865782","0.4100411992865782","0.4114579746003691","0.4114579746003691","0.4114579746003691","0.4245734396468642","0.4245734396468642","0.4245734396468642","0.4124276354205678","0.4124276354205678","0.4124276354205678","0.4106950059850479","0.4106950059850479","0.4106950059850479","0.4000709101723332","0.4000709101723332","0.4000709101723332"
"1","0.4124790377200363","0.4124790377200363","0.4124790377200363","0.45184151102151315","0.45184151102151315","0.45184151102151315","0.4526560444050302","0.4526560444050302","0.4526560444050302","0.4676313054741483","0.4676313054741483","0.4676313054741483","0.4580166030397059","0.4580166030397059","0.4580166030397059","0.457685627847207","0.457685627847207","0.457685627847207","0.4751224285632417","0.4751224285632417","0.4751224285632417","0.46887313894885835","0.46887313894885835","0.46887313894885835","0.48203527393081114","0.48203527393081114","0.48203527393081114","0.4259025695249508","0.4259025695249508","0.4259025695249508","0.41336712773450873","0.41336712773450873","0.41336712773450873","0.42255805826481513","0.42255805826481513","0.42255805826481513","0.42608485232327437","0.42608485232327437","0.42608485232327437","0.43246163408574584","0.43246163408574584","0.43246163408574584","0.43072144271211665","0.43072144271211665","0.43072144271211665","0.4256056565635653","0.4256056565635653","0.4256056565635653","0.4284747656734488","0.4284747656734488","0.4284747656734488","0.4166376804191651","0.4166376804191651","0.4166376804191651","0.35599997144261","0.35599997144261","0.35599997144261","0.4253202908816565","0.4253202908816565","0.4253202908816565","0.39968856966563493","0.39968856966563493","0.39968856966563493","0.38264124471914496","0.38264124471914496","0.38264124471914496","0.391037695987521","0.391037695987521","0.391037695987521","0.4021497554223818","0.4021497554223818","0.4021497554223818","0.47676884010478426","0.47676884010478426","0.47676884010478426","0.4657290020226925","0.4657290020226925","0.4657290020226925","0.46145308205525226","0.46145308205525226","0.46145308205525226","0.4549059723706103","0.4549059723706103","0.4549059723706103","0.4666256124604114","0.4666256124604114","0.4666256124604114","0.43315812742832976","0.43315812742832976","0.43315812742832976","0.4234349678358108","0.4234349678358108","0.4234349678358108","0.42672133697140513","0.42672133697140513","0.42672133697140513","0.45681619125057343","0.45681619125057343","0.45681619125057343","0.4686663643277976","0.4686663643277976","0.4686663643277976","0.4431830054682322","0.4431830054682322","0.4431830054682322","0.43981970550054816","0.43981970550054816","0.43981970550054816"
"2","0.4555115420278765","0.4555115420278765","0.4555115420278765","0.4735955033454498","0.4735955033454498","0.4735955033454498","0.5210935852406196","0.5210935852406196","0.5210935852406196","0.48434241623192403","0.48434241623192403","0.48434241623192403","0.5101637226328212","0.5101637226328212","0.5101637226328212","0.4926771616970603","0.4926771616970603","0.4926771616970603","0.46625067748781784","0.46625067748781784","0.46625067748781784","0.4818816880338781","0.4818816880338781","0.4818816880338781","0.48793452566722795","0.48793452566722795","0.48793452566722795","0.4542902406099332","0.4542902406099332","0.4542902406099332","0.4277590429422996","0.4277590429422996","0.4277590429422996","0.451548632381714","0.451548632381714","0.451548632381714","0.43732047814344793","0.43732047814344793","0.43732047814344793","0.4602317198025063","0.4602317198025063","0.4602317198025063","0.4629046217808501","0.4629046217808501","0.4629046217808501","0.4492332700118228","0.4492332700118228","0.4492332700118228","0.46402679251004925","0.46402679251004925","0.46402679251004925","0.4424936690648242","0.4424936690648242","0.4424936690648242","0.4112345851551981","0.4112345851551981","0.4112345851551981","0.4421031469872566","0.4421031469872566","0.4421031469872566","0.37937823442812607","0.37937823442812607","0.37937823442812607","0.3847850407011105","0.3847850407011105","0.3847850407011105","0.40987723492603356","0.40987723492603356","0.40987723492603356","0.3611647312266397","0.3611647312266397","0.3611647312266397","0.45429169435028294","0.45429169435028294","0.45429169435028294","0.42526273267960985","0.42526273267960985","0.42526273267960985","0.48870529282053277","0.48870529282053277","0.48870529282053277","0.4799417184008052","0.4799417184008052","0.4799417184008052","0.4887645156136348","0.4887645156136348","0.4887645156136348","0.4698289807542635","0.4698289807542635","0.4698289807542635","0.44115156571400305","0.44115156571400305","0.44115156571400305","0.4210124652115185","0.4210124652115185","0.4210124652115185","0.45661719782340865","0.45661719782340865","0.45661719782340865","0.49868565593638475","0.49868565593638475","0.49868565593638475","0.45775678353173915","0.45775678353173915","0.45775678353173915","0.4595384667756812","0.4595384667756812","0.4595384667756812"
"3","0.49017228891056613","0.49017228891056613","0.49017228891056613","0.5106411437912663","0.5106411437912663","0.5106411437912663","0.535546600077733","0.535546600077733","0.535546600077733","0.5221836350665028","0.5221836350665028","0.5221836350665028","0.517166282061554","0.517166282061554","0.517166282061554","0.5183514780331437","0.5183514780331437","0.5183514780331437","0.46323095761955296","0.46323095761955296","0.46323095761955296","0.5014812690891939","0.5014812690891939","0.5014812690891939","0.4649479892830095","0.4649479892830095","0.4649479892830095","0.45953932615901383","0.45953932615901383","0.45953932615901383","0.45240383456623134","0.45240383456623134","0.45240383456623134","0.461754795885491","0.461754795885491","0.461754795885491","0.46412683872203486","0.46412683872203486","0.46412683872203486","0.48887182691103637","0.48887182691103637","0.48887182691103637","0.4747821922258984","0.4747821922258984","0.4747821922258984","0.46815186571133266","0.46815186571133266","0.46815186571133266","0.48138657779039534","0.48138657779039534","0.48138657779039534","0.4525403830981004","0.4525403830981004","0.4525403830981004","0.40092225462601727","0.40092225462601727","0.40092225462601727","0.42668443563834246","0.42668443563834246","0.42668443563834246","0.3849079584320045","0.3849079584320045","0.3849079584320045","0.365597976598295","0.365597976598295","0.365597976598295","0.4258856595862871","0.4258856595862871","0.4258856595862871","0.37803885956402394","0.37803885956402394","0.37803885956402394","0.45311045965530267","0.45311045965530267","0.45311045965530267","0.43880846703013693","0.43880846703013693","0.43880846703013693","0.46761979985910307","0.46761979985910307","0.46761979985910307","0.5066448063201854","0.5066448063201854","0.5066448063201854","0.5284022351481572","0.5284022351481572","0.5284022351481572","0.4960987802608204","0.4960987802608204","0.4960987802608204","0.4606702341641059","0.4606702341641059","0.4606702341641059","0.4596258499944811","0.4596258499944811","0.4596258499944811","0.47764143095724637","0.47764143095724637","0.47764143095724637","0.4949006597778087","0.4949006597778087","0.4949006597778087","0.479289837039737","0.479289837039737","0.479289837039737","0.49556692780539985","0.49556692780539985","0.49556692780539985"
"4","0.48007989264813045","0.48007989264813045","0.48007989264813045","0.5134365631713108","0.5134365631713108","0.5134365631713108","0.5541594721309079","0.5541594721309079","0.5541594721309079","0.5106739739615793","0.5106739739615793","0.5106739739615793","0.5365211880700692","0.5365211880700692","0.5365211880700692","0.5247744250507754","0.5247744250507754","0.5247744250507754","0.47090376852539617","0.47090376852539617","0.47090376852539617","0.47666426984227495","0.47666426984227495","0.47666426984227495","0.4493527341098211","0.4493527341098211","0.4493527341098211","0.48310020662782777","0.48310020662782777","0.48310020662782777","0.46540608219981466","0.46540608219981466","0.46540608219981466","0.47948441527567404","0.47948441527567404","0.47948441527567404","0.4636562128063327","0.4636562128063327","0.4636562128063327","0.5058961392932079","0.5058961392932079","0.5058961392932079","0.5000200918743548","0.5000200918743548","0.5000200918743548","0.47561784598843093","0.47561784598843093","0.47561784598843093","0.48264012539526374","0.48264012539526374","0.48264012539526374","0.45510266831597046","0.45510266831597046","0.45510266831597046","0.40049029809956893","0.40049029809956893","0.40049029809956893","0.4370482623455173","0.4370482623455173","0.4370482623455173","0.40645320072587104","0.40645320072587104","0.40645320072587104","0.3722746465023815","0.3722746465023815","0.3722746465023815","0.4339668441008075","0.4339668441008075","0.4339668441008075","0.3989330669981109","0.3989330669981109","0.3989330669981109","0.4736805077738886","0.4736805077738886","0.4736805077738886","0.4472878625128372","0.4472878625128372","0.4472878625128372","0.4548283948802768","0.4548283948802768","0.4548283948802768","0.5430355754313032","0.5430355754313032","0.5430355754313032","0.5622117193477589","0.5622117193477589","0.5622117193477589","0.5295909297373722","0.5295909297373722","0.5295909297373722","0.4735982224308486","0.4735982224308486","0.4735982224308486","0.46063913294378533","0.46063913294378533","0.46063913294378533","0.485237407428382","0.485237407428382","0.485237407428382","0.5231198714091468","0.5231198714091468","0.5231198714091468","0.5029444847121293","0.5029444847121293","0.5029444847121293","0.50357112308675","0.50357112308675","0.50357112308675"
"5","0.5069985774137795","0.5069985774137795","0.5069985774137795","0.5406565916689071","0.5406565916689071","0.5406565916689071","0.5349532689254337","0.5349532689254337","0.5349532689254337","0.533035754756533","0.533035754756533","0.533035754756533","0.5349903924136516","0.5349903924136516","0.5349903924136516","0.5715935989849276","0.5715935989849276","0.5715935989849276","0.457685188206681","0.457685188206681","0.457685188206681","0.44401261867743347","0.44401261867743347","0.44401261867743347","0.4595411272539717","0.4595411272539717","0.4595411272539717","0.48613079219358807","0.48613079219358807","0.48613079219358807","0.4765698497342753","0.4765698497342753","0.4765698497342753","0.5005569874472713","0.5005569874472713","0.5005569874472713","0.4751947257063815","0.4751947257063815","0.4751947257063815","0.5308056566883734","0.5308056566883734","0.5308056566883734","0.5337022435324308","0.5337022435324308","0.5337022435324308","0.5046104173123789","0.5046104173123789","0.5046104173123789","0.5212301430115925","0.5212301430115925","0.5212301430115925","0.4908622951727321","0.4908622951727321","0.4908622951727321","0.397499042785233","0.397499042785233","0.397499042785233","0.4569076973964545","0.4569076973964545","0.4569076973964545","0.42791508076053525","0.42791508076053525","0.42791508076053525","0.3913487789947613","0.3913487789947613","0.3913487789947613","0.42794214274915016","0.42794214274915016","0.42794214274915016","0.4114621580380805","0.4114621580380805","0.4114621580380805","0.45903356436877163","0.45903356436877163","0.45903356436877163","0.45585183770097837","0.45585183770097837","0.45585183770097837","0.4656655008340502","0.4656655008340502","0.4656655008340502","0.5461001164276942","0.5461001164276942","0.5461001164276942","0.568021988911134","0.568021988911134","0.568021988911134","0.5338847050942184","0.5338847050942184","0.5338847050942184","0.49981498264032354","0.49981498264032354","0.49981498264032354","0.4699991188508538","0.4699991188508538","0.4699991188508538","0.5120985369893856","0.5120985369893856","0.5120985369893856","0.5435755247155324","0.5435755247155324","0.5435755247155324","0.509189350513205","0.509189350513205","0.509189350513205","0.52851927085383","0.52851927085383","0.52851927085383"
"6","0.5600178569863712","0.5600178569863712","0.5600178569863712","0.5509820960315256","0.5509820960315256","0.5509820960315256","0.5550771534416681","0.5550771534416681","0.5550771534416681","0.5342434522847828","0.5342434522847828","0.5342434522847828","0.5616791310936138","0.5616791310936138","0.5616791310936138","0.5727878666562549","0.5727878666562549","0.5727878666562549","0.4517345860703981","0.4517345860703981","0.4517345860703981","0.45045516847699824","0.45045516847699824","0.45045516847699824","0.4682092810227592","0.4682092810227592","0.4682092810227592","0.5047808810028382","0.5047808810028382","0.5047808810028382","0.4899347935065619","0.4899347935065619","0.4899347935065619","0.4952726092293764","0.4952726092293764","0.4952726092293764","0.5118964156689139","0.5118964156689139","0.5118964156689139","0.5144497292706732","0.5144497292706732","0.5144497292706732","0.5246955415634279","0.5246955415634279","0.5246955415634279","0.5135645125943905","0.5135645125943905","0.5135645125943905","0.526755667057086","0.526755667057086","0.526755667057086","0.48875800324046415","0.48875800324046415","0.48875800324046415","0.40278675916997325","0.40278675916997325","0.40278675916997325","0.4540584771160769","0.4540584771160769","0.4540584771160769","0.4436360410926771","0.4436360410926771","0.4436360410926771","0.3675693423954935","0.3675693423954935","0.3675693423954935","0.4467862809430718","0.4467862809430718","0.4467862809430718","0.39182139645326614","0.39182139645326614","0.39182139645326614","0.48984529176785424","0.48984529176785424","0.48984529176785424","0.47489700214706176","0.47489700214706176","0.47489700214706176","0.4635364188930035","0.4635364188930035","0.4635364188930035","0.5925827825549904","0.5925827825549904","0.5925827825549904","0.6216511078695666","0.6216511078695666","0.6216511078695666","0.5601696137598744","0.5601696137598744","0.5601696137598744","0.49264129635063436","0.49264129635063436","0.49264129635063436","0.48025648441558716","0.48025648441558716","0.48025648441558716","0.5038247888729871","0.5038247888729871","0.5038247888729871","0.5654271835363059","0.5654271835363059","0.5654271835363059","0.5440598020408448","0.5440598020408448","0.5440598020408448","0.5462479806170872","0.5462479806170872","0.5462479806170872"
"7","0.5577594741148025","0.5577594741148025","0.5577594741148025","0.5812810650545597","0.5812810650545597","0.5812810650545597","0.5368934487873206","0.5368934487873206","0.5368934487873206","0.5673619109666448","0.5673619109666448","0.5673619109666448","0.575096657106791","0.575096657106791","0.575096657106791","0.5581181231495568","0.5581181231495568","0.5581181231495568","0.4543357455727758","0.4543357455727758","0.4543357455727758","0.45896217934904543","0.45896217934904543","0.45896217934904543","0.47502153817481946","0.47502153817481946","0.47502153817481946","0.5263891039814934","0.5263891039814934","0.5263891039814934","0.4832914187851829","0.4832914187851829","0.4832914187851829","0.4869194464447667","0.4869194464447667","0.4869194464447667","0.5386509166774947","0.5386509166774947","0.5386509166774947","0.5351202246980291","0.5351202246980291","0.5351202246980291","0.5265567047480001","0.5265567047480001","0.5265567047480001","0.5204214589209966","0.5204214589209966","0.5204214589209966","0.5397499045189927","0.5397499045189927","0.5397499045189927","0.5130175444161708","0.5130175444161708","0.5130175444161708","0.41921899829226084","0.41921899829226084","0.41921899829226084","0.46688216860753146","0.46688216860753146","0.46688216860753146","0.45063203386474704","0.45063203386474704","0.45063203386474704","0.392781552062481","0.392781552062481","0.392781552062481","0.44273093239006317","0.44273093239006317","0.44273093239006317","0.40814215287598776","0.40814215287598776","0.40814215287598776","0.4807097020445247","0.4807097020445247","0.4807097020445247","0.46576936217755455","0.46576936217755455","0.46576936217755455","0.4732142744480799","0.4732142744480799","0.4732142744480799","0.6020061116618111","0.6020061116618111","0.6020061116618111","0.623998190797971","0.623998190797971","0.623998190797971","0.5982235441693574","0.5982235441693574","0.5982235441693574","0.5170394728787707","0.5170394728787707","0.5170394728787707","0.5215256390056794","0.5215256390056794","0.5215256390056794","0.49338004343484565","0.49338004343484565","0.49338004343484565","0.5761957524033438","0.5761957524033438","0.5761957524033438","0.5460988193859851","0.5460988193859851","0.5460988193859851","0.5626873767704386","0.5626873767704386","0.5626873767704386"
"8","0.6039223937998313","0.6039223937998313","0.6039223937998313","0.5972158640623133","0.5972158640623133","0.5972158640623133","0.5816132108761021","0.5816132108761021","0.5816132108761021","0.5760227646758124","0.5760227646758124","0.5760227646758124","0.5842068552990256","0.5842068552990256","0.5842068552990256","0.5633001998226477","0.5633001998226477","0.5633001998226477","0.45024677727462303","0.45024677727462303","0.45024677727462303","0.4548091910924585","0.4548091910924585","0.4548091910924585","0.4801003365342102","0.4801003365342102","0.4801003365342102","0.5083960837498508","0.5083960837498508","0.5083960837498508","0.5147953951603652","0.5147953951603652","0.5147953951603652","0.5153001578037901","0.5153001578037901","0.5153001578037901","0.5414320621914891","0.5414320621914891","0.5414320621914891","0.576284946094206","0.576284946094206","0.576284946094206","0.537515937033573","0.537515937033573","0.537515937033573","0.543610458137913","0.543610458137913","0.543610458137913","0.5616505828615611","0.5616505828615611","0.5616505828615611","0.538860460948352","0.538860460948352","0.538860460948352","0.4140154190185372","0.4140154190185372","0.4140154190185372","0.4648970468766899","0.4648970468766899","0.4648970468766899","0.4268806280148642","0.4268806280148642","0.4268806280148642","0.393948416509259","0.393948416509259","0.393948416509259","0.4538626634353343","0.4538626634353343","0.4538626634353343","0.40684367458825016","0.40684367458825016","0.40684367458825016","0.4866256644980472","0.4866256644980472","0.4866256644980472","0.48286668819710926","0.48286668819710926","0.48286668819710926","0.4586116621291759","0.4586116621291759","0.4586116621291759","0.607496083949851","0.607496083949851","0.607496083949851","0.641742581318781","0.641742581318781","0.641742581318781","0.6156028922134443","0.6156028922134443","0.6156028922134443","0.5160821033485984","0.5160821033485984","0.5160821033485984","0.5031184559376805","0.5031184559376805","0.5031184559376805","0.5325372751185687","0.5325372751185687","0.5325372751185687","0.5823180006350708","0.5823180006350708","0.5823180006350708","0.5590218437238872","0.5590218437238872","0.5590218437238872","0.5894517501147326","0.5894517501147326","0.5894517501147326"
"9","0.5655155145905713","0.5655155145905713","0.5655155145905713","0.5901851872761295","0.5901851872761295","0.5901851872761295","0.6091215186231126","0.6091215186231126","0.6091215186231126","0.6105336081742577","0.6105336081742577","0.6105336081742577","0.5917291341432495","0.5917291341432495","0.5917291341432495","0.5752323745192848","0.5752323745192848","0.5752323745192848","0.4838880137613679","0.4838880137613679","0.4838880137613679","0.4637354514418134","0.4637354514418134","0.4637354514418134","0.49121307854241403","0.49121307854241403","0.49121307854241403","0.5180728382330994","0.5180728382330994","0.5180728382330994","0.5108799909283788","0.5108799909283788","0.5108799909283788","0.4954920951501828","0.4954920951501828","0.4954920951501828","0.5338137725330613","0.5338137725330613","0.5338137725330613","0.5582063230267927","0.5582063230267927","0.5582063230267927","0.5630820299663053","0.5630820299663053","0.5630820299663053","0.5516872671525906","0.5516872671525906","0.5516872671525906","0.5821919745489497","0.5821919745489497","0.5821919745489497","0.5309607052150342","0.5309607052150342","0.5309607052150342","0.43020542950540797","0.43020542950540797","0.43020542950540797","0.49682377267605704","0.49682377267605704","0.49682377267605704","0.46351223190396224","0.46351223190396224","0.46351223190396224","0.4141274179961719","0.4141274179961719","0.4141274179961719","0.4353261236454046","0.4353261236454046","0.4353261236454046","0.4300196879386442","0.4300196879386442","0.4300196879386442","0.5002491740957364","0.5002491740957364","0.5002491740957364","0.49641388845136986","0.49641388845136986","0.49641388845136986","0.4653128570685508","0.4653128570685508","0.4653128570685508","0.6332559201914845","0.6332559201914845","0.6332559201914845","0.6577237893163665","0.6577237893163665","0.6577237893163665","0.6212990633293526","0.6212990633293526","0.6212990633293526","0.540114223675872","0.540114223675872","0.540114223675872","0.5195991430767417","0.5195991430767417","0.5195991430767417","0.5486679713428981","0.5486679713428981","0.5486679713428981","0.6162749537681443","0.6162749537681443","0.6162749537681443","0.5824721473825104","0.5824721473825104","0.5824721473825104","0.6004352561392882","0.6004352561392882","0.6004352561392882"
