"Step","GNN_expression_cnv_soft_1 - assay_ap","GNN_expression_cnv_soft_1 - assay_ap__MIN","GNN_expression_cnv_soft_1 - assay_ap__MAX","GNN_expression_cnv_soft_999 - assay_ap","GNN_expression_cnv_soft_999 - assay_ap__MIN","GNN_expression_cnv_soft_999 - assay_ap__MAX","GNN_expression_cnv_soft_42 - assay_ap","GNN_expression_cnv_soft_42 - assay_ap__MIN","GNN_expression_cnv_soft_42 - assay_ap__MAX","GNN_cnv_soft_expression_1 - assay_ap","GNN_cnv_soft_expression_1 - assay_ap__MIN","GNN_cnv_soft_expression_1 - assay_ap__MAX","GNN_cnv_soft_expression_999 - assay_ap","GNN_cnv_soft_expression_999 - assay_ap__MIN","GNN_cnv_soft_expression_999 - assay_ap__MAX","GNN_cnv_soft_expression_42 - assay_ap","GNN_cnv_soft_expression_42 - assay_ap__MIN","GNN_cnv_soft_expression_42 - assay_ap__MAX","GNN_expression_rnd_1 - assay_ap","GNN_expression_rnd_1 - assay_ap__MIN","GNN_expression_rnd_1 - assay_ap__MAX","GNN_expression_rnd_999 - assay_ap","GNN_expression_rnd_999 - assay_ap__MIN","GNN_expression_rnd_999 - assay_ap__MAX","GNN_expression_rnd_42 - assay_ap","GNN_expression_rnd_42 - assay_ap__MIN","GNN_expression_rnd_42 - assay_ap__MAX","GNN_cnv_rnd_1 - assay_ap","GNN_cnv_rnd_1 - assay_ap__MIN","GNN_cnv_rnd_1 - assay_ap__MAX","GNN_cnv_rnd_999 - assay_ap","GNN_cnv_rnd_999 - assay_ap__MIN","GNN_cnv_rnd_999 - assay_ap__MAX","GNN_cnv_rnd_42 - assay_ap","GNN_cnv_rnd_42 - assay_ap__MIN","GNN_cnv_rnd_42 - assay_ap__MAX","GNN_expression_cnv_1 - assay_ap","GNN_expression_cnv_1 - assay_ap__MIN","GNN_expression_cnv_1 - assay_ap__MAX","GNN_expression_cnv_999 - assay_ap","GNN_expression_cnv_999 - assay_ap__MIN","GNN_expression_cnv_999 - assay_ap__MAX","GNN_expression_cnv_42 - assay_ap","GNN_expression_cnv_42 - assay_ap__MIN","GNN_expression_cnv_42 - assay_ap__MAX","GNN_cnv_expression_1 - assay_ap","GNN_cnv_expression_1 - assay_ap__MIN","GNN_cnv_expression_1 - assay_ap__MAX","GNN_cnv_expression_999 - assay_ap","GNN_cnv_expression_999 - assay_ap__MIN","GNN_cnv_expression_999 - assay_ap__MAX","GNN_cnv_expression_42 - assay_ap","GNN_cnv_expression_42 - assay_ap__MIN","GNN_cnv_expression_42 - assay_ap__MAX","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_cnv_soft_999 - assay_ap","GNN_cnv_soft_999 - assay_ap__MIN","GNN_cnv_soft_999 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_cnv_full_1 - assay_ap","GNN_cnv_full_1 - assay_ap__MIN","GNN_cnv_full_1 - assay_ap__MAX","GNN_cnv_full_999 - assay_ap","GNN_cnv_full_999 - assay_ap__MIN","GNN_cnv_full_999 - assay_ap__MAX","GNN_cnv_full_42 - assay_ap","GNN_cnv_full_42 - assay_ap__MIN","GNN_cnv_full_42 - assay_ap__MAX","GNN_expression_full_1 - assay_ap","GNN_expression_full_1 - assay_ap__MIN","GNN_expression_full_1 - assay_ap__MAX","GNN_expression_full_999 - assay_ap","GNN_expression_full_999 - assay_ap__MIN","GNN_expression_full_999 - assay_ap__MAX","GNN_expression_full_42 - assay_ap","GNN_expression_full_42 - assay_ap__MIN","GNN_expression_full_42 - assay_ap__MAX","GNN_cnv_soft_rnd_1 - assay_ap","GNN_cnv_soft_rnd_1 - assay_ap__MIN","GNN_cnv_soft_rnd_1 - assay_ap__MAX","GNN_cnv_soft_rnd_999 - assay_ap","GNN_cnv_soft_rnd_999 - assay_ap__MIN","GNN_cnv_soft_rnd_999 - assay_ap__MAX","GNN_cnv_soft_rnd_42 - assay_ap","GNN_cnv_soft_rnd_42 - assay_ap__MIN","GNN_cnv_soft_rnd_42 - assay_ap__MAX","GNN_expression_99 - assay_ap","GNN_expression_99 - assay_ap__MIN","GNN_expression_99 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_cnv_99 - assay_ap","GNN_cnv_99 - assay_ap__MIN","GNN_cnv_99 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX"
"0","0.4122346818156999","0.4122346818156999","0.4122346818156999","0.4183673483123653","0.4183673483123653","0.4183673483123653","0.4339136137511347","0.4339136137511347","0.4339136137511347","0.40501042533639886","0.40501042533639886","0.40501042533639886","0.4288949810982568","0.4288949810982568","0.4288949810982568","0.42499287734753605","0.42499287734753605","0.42499287734753605","0.43730810816065846","0.43730810816065846","0.43730810816065846","0.43160088056753815","0.43160088056753815","0.43160088056753815","0.42929706705797777","0.42929706705797777","0.42929706705797777","0.40515087268265","0.40515087268265","0.40515087268265","0.4059091271336934","0.4059091271336934","0.4059091271336934","0.40283346108596074","0.40283346108596074","0.40283346108596074","0.4171660602571965","0.4171660602571965","0.4171660602571965","0.4009930405713169","0.4009930405713169","0.4009930405713169","0.4034200549651462","0.4034200549651462","0.4034200549651462","0.42785724629348465","0.42785724629348465","0.42785724629348465","0.38913253563903916","0.38913253563903916","0.38913253563903916","0.41809810092245847","0.41809810092245847","0.41809810092245847","0.410385422738949","0.410385422738949","0.410385422738949","0.4314757619689926","0.4314757619689926","0.4314757619689926","0.4221918879879573","0.4221918879879573","0.4221918879879573","0.371684559453516","0.371684559453516","0.371684559453516","0.35502446715707164","0.35502446715707164","0.35502446715707164","0.400455402792441","0.400455402792441","0.400455402792441","0.35470297091082037","0.35470297091082037","0.35470297091082037","0.3597377896328343","0.3597377896328343","0.3597377896328343","0.38358503019983803","0.38358503019983803","0.38358503019983803","0.42293778596354537","0.42293778596354537","0.42293778596354537","0.44082852732845673","0.44082852732845673","0.44082852732845673","0.4327745342883313","0.4327745342883313","0.4327745342883313","0.4270413756173593","0.4270413756173593","0.4270413756173593","0.40265455169595","0.40265455169595","0.40265455169595","0.413770184051427","0.413770184051427","0.413770184051427","0.4114158379280976","0.4114158379280976","0.4114158379280976","0.4112602581244177","0.4112602581244177","0.4112602581244177","0.43513872299314665","0.43513872299314665","0.43513872299314665"
"1","0.4420855498743083","0.4420855498743083","0.4420855498743083","0.46980027486676074","0.46980027486676074","0.46980027486676074","0.46662705891409983","0.46662705891409983","0.46662705891409983","0.4576837989191643","0.4576837989191643","0.4576837989191643","0.46264504800924183","0.46264504800924183","0.46264504800924183","0.4477985460812919","0.4477985460812919","0.4477985460812919","0.4741375951565423","0.4741375951565423","0.4741375951565423","0.4752417744458134","0.4752417744458134","0.4752417744458134","0.4699430502000297","0.4699430502000297","0.4699430502000297","0.41100033649676815","0.41100033649676815","0.41100033649676815","0.4161855685977372","0.4161855685977372","0.4161855685977372","0.42324704121103585","0.42324704121103585","0.42324704121103585","0.44132682058894784","0.44132682058894784","0.44132682058894784","0.4106013376891833","0.4106013376891833","0.4106013376891833","0.4543955450943471","0.4543955450943471","0.4543955450943471","0.4485711809402378","0.4485711809402378","0.4485711809402378","0.4073898325387587","0.4073898325387587","0.4073898325387587","0.472086534655744","0.472086534655744","0.472086534655744","0.4556347492903125","0.4556347492903125","0.4556347492903125","0.4645241135654017","0.4645241135654017","0.4645241135654017","0.4697641107818488","0.4697641107818488","0.4697641107818488","0.40784591133485915","0.40784591133485915","0.40784591133485915","0.3851568060781217","0.3851568060781217","0.3851568060781217","0.3843246297243896","0.3843246297243896","0.3843246297243896","0.38493213309223656","0.38493213309223656","0.38493213309223656","0.3672117682152221","0.3672117682152221","0.3672117682152221","0.38003520674102803","0.38003520674102803","0.38003520674102803","0.45737986716911977","0.45737986716911977","0.45737986716911977","0.48761531174825196","0.48761531174825196","0.48761531174825196","0.4552001926639534","0.4552001926639534","0.4552001926639534","0.45484583204594914","0.45484583204594914","0.45484583204594914","0.4602834945736665","0.4602834945736665","0.4602834945736665","0.46700304497040357","0.46700304497040357","0.46700304497040357","0.4081855691815499","0.4081855691815499","0.4081855691815499","0.43421677133033765","0.43421677133033765","0.43421677133033765","0.46977320787063215","0.46977320787063215","0.46977320787063215"
"2","0.4668104160593949","0.4668104160593949","0.4668104160593949","0.5139824711106686","0.5139824711106686","0.5139824711106686","0.527725995446112","0.527725995446112","0.527725995446112","0.48815217233625435","0.48815217233625435","0.48815217233625435","0.5187748649760738","0.5187748649760738","0.5187748649760738","0.5026357808007749","0.5026357808007749","0.5026357808007749","0.4372579001187415","0.4372579001187415","0.4372579001187415","0.4807776120584388","0.4807776120584388","0.4807776120584388","0.4757621137844002","0.4757621137844002","0.4757621137844002","0.42561374034737853","0.42561374034737853","0.42561374034737853","0.4265182329644999","0.4265182329644999","0.4265182329644999","0.4459896769619545","0.4459896769619545","0.4459896769619545","0.4461132853673387","0.4461132853673387","0.4461132853673387","0.44512271017414307","0.44512271017414307","0.44512271017414307","0.4526120133369827","0.4526120133369827","0.4526120133369827","0.4302203928592259","0.4302203928592259","0.4302203928592259","0.43180297708285303","0.43180297708285303","0.43180297708285303","0.46809105870240325","0.46809105870240325","0.46809105870240325","0.4960344984486706","0.4960344984486706","0.4960344984486706","0.479242857768331","0.479242857768331","0.479242857768331","0.5053626345863153","0.5053626345863153","0.5053626345863153","0.4060320829105448","0.4060320829105448","0.4060320829105448","0.39074543549127383","0.39074543549127383","0.39074543549127383","0.37586425947519386","0.37586425947519386","0.37586425947519386","0.37575009492729183","0.37575009492729183","0.37575009492729183","0.3768940968247533","0.3768940968247533","0.3768940968247533","0.3575506555074978","0.3575506555074978","0.3575506555074978","0.4634253614324657","0.4634253614324657","0.4634253614324657","0.4815725760581928","0.4815725760581928","0.4815725760581928","0.48402970277189844","0.48402970277189844","0.48402970277189844","0.47355571825040704","0.47355571825040704","0.47355571825040704","0.44241890076171086","0.44241890076171086","0.44241890076171086","0.4356322926898607","0.4356322926898607","0.4356322926898607","0.47091947356924346","0.47091947356924346","0.47091947356924346","0.4532163843673725","0.4532163843673725","0.4532163843673725","0.5063412793315966","0.5063412793315966","0.5063412793315966"
"3","0.5257327121754016","0.5257327121754016","0.5257327121754016","0.5481398918211776","0.5481398918211776","0.5481398918211776","0.4653163386245226","0.4653163386245226","0.4653163386245226","0.5258202894220795","0.5258202894220795","0.5258202894220795","0.5551594811785128","0.5551594811785128","0.5551594811785128","0.4891657837266267","0.4891657837266267","0.4891657837266267","0.44560732409771736","0.44560732409771736","0.44560732409771736","0.45124221917196744","0.45124221917196744","0.45124221917196744","0.4176725468484148","0.4176725468484148","0.4176725468484148","0.4467883402916719","0.4467883402916719","0.4467883402916719","0.45742301058823087","0.45742301058823087","0.45742301058823087","0.4522642144376325","0.4522642144376325","0.4522642144376325","0.4763210155755957","0.4763210155755957","0.4763210155755957","0.475260268966314","0.475260268966314","0.475260268966314","0.4535634711043402","0.4535634711043402","0.4535634711043402","0.47610762478562213","0.47610762478562213","0.47610762478562213","0.4829974934281154","0.4829974934281154","0.4829974934281154","0.4550982030969464","0.4550982030969464","0.4550982030969464","0.5418770906930354","0.5418770906930354","0.5418770906930354","0.5640313647672677","0.5640313647672677","0.5640313647672677","0.5419266051356876","0.5419266051356876","0.5419266051356876","0.4331205154777696","0.4331205154777696","0.4331205154777696","0.4082317858965444","0.4082317858965444","0.4082317858965444","0.3982573217094694","0.3982573217094694","0.3982573217094694","0.39517119355838903","0.39517119355838903","0.39517119355838903","0.38523371933051304","0.38523371933051304","0.38523371933051304","0.3801013568611113","0.3801013568611113","0.3801013568611113","0.4555357970094202","0.4555357970094202","0.4555357970094202","0.4756830417804223","0.4756830417804223","0.4756830417804223","0.4622547571327706","0.4622547571327706","0.4622547571327706","0.4515691162046197","0.4515691162046197","0.4515691162046197","0.4855791682762162","0.4855791682762162","0.4855791682762162","0.4476645997503419","0.4476645997503419","0.4476645997503419","0.5002419817511229","0.5002419817511229","0.5002419817511229","0.4869451603421739","0.4869451603421739","0.4869451603421739","0.5326866157765531","0.5326866157765531","0.5326866157765531"
"4","0.5141010195094832","0.5141010195094832","0.5141010195094832","0.5415851351889661","0.5415851351889661","0.5415851351889661","0.5077841857351614","0.5077841857351614","0.5077841857351614","0.4985953908092994","0.4985953908092994","0.4985953908092994","0.5748781650694151","0.5748781650694151","0.5748781650694151","0.486147191428144","0.486147191428144","0.486147191428144","0.44131709705229666","0.44131709705229666","0.44131709705229666","0.4523691934102866","0.4523691934102866","0.4523691934102866","0.43883510530012093","0.43883510530012093","0.43883510530012093","0.4529622533120065","0.4529622533120065","0.4529622533120065","0.44848544617966396","0.44848544617966396","0.44848544617966396","0.4715555500149976","0.4715555500149976","0.4715555500149976","0.4554094232907732","0.4554094232907732","0.4554094232907732","0.4830932129353641","0.4830932129353641","0.4830932129353641","0.5221031455219683","0.5221031455219683","0.5221031455219683","0.488048541094966","0.488048541094966","0.488048541094966","0.47781396512015295","0.47781396512015295","0.47781396512015295","0.4868739467173809","0.4868739467173809","0.4868739467173809","0.5593917699032792","0.5593917699032792","0.5593917699032792","0.568062759407172","0.568062759407172","0.568062759407172","0.5819254858529779","0.5819254858529779","0.5819254858529779","0.447216621797093","0.447216621797093","0.447216621797093","0.3991333832674439","0.3991333832674439","0.3991333832674439","0.39977625312541576","0.39977625312541576","0.39977625312541576","0.42108564482009775","0.42108564482009775","0.42108564482009775","0.3744043551900098","0.3744043551900098","0.3744043551900098","0.3934752245549012","0.3934752245549012","0.3934752245549012","0.46546089864477547","0.46546089864477547","0.46546089864477547","0.4561949198401917","0.4561949198401917","0.4561949198401917","0.4660193759608967","0.4660193759608967","0.4660193759608967","0.4996243393546925","0.4996243393546925","0.4996243393546925","0.5078779851268568","0.5078779851268568","0.5078779851268568","0.4723438325791507","0.4723438325791507","0.4723438325791507","0.5060333277639838","0.5060333277639838","0.5060333277639838","0.48931493126442166","0.48931493126442166","0.48931493126442166","0.5560447791936018","0.5560447791936018","0.5560447791936018"
"5","0.5331582230117529","0.5331582230117529","0.5331582230117529","0.5372758808543758","0.5372758808543758","0.5372758808543758","0.5451039939068406","0.5451039939068406","0.5451039939068406","0.5273663845190771","0.5273663845190771","0.5273663845190771","0.5653303537617778","0.5653303537617778","0.5653303537617778","0.5718507992744436","0.5718507992744436","0.5718507992744436","0.4521935500415437","0.4521935500415437","0.4521935500415437","0.4424301435769255","0.4424301435769255","0.4424301435769255","0.455896797155227","0.455896797155227","0.455896797155227","0.4737918647915746","0.4737918647915746","0.4737918647915746","0.47518850897314246","0.47518850897314246","0.47518850897314246","0.46913218414322816","0.46913218414322816","0.46913218414322816","0.470310874802995","0.470310874802995","0.470310874802995","0.5024146330740198","0.5024146330740198","0.5024146330740198","0.542357955088401","0.542357955088401","0.542357955088401","0.5049768724547313","0.5049768724547313","0.5049768724547313","0.4784677911263668","0.4784677911263668","0.4784677911263668","0.5137638495748914","0.5137638495748914","0.5137638495748914","0.5687197883335204","0.5687197883335204","0.5687197883335204","0.5619690742946234","0.5619690742946234","0.5619690742946234","0.5904336390981707","0.5904336390981707","0.5904336390981707","0.4470576574396678","0.4470576574396678","0.4470576574396678","0.44130092136350024","0.44130092136350024","0.44130092136350024","0.446391489756119","0.446391489756119","0.446391489756119","0.4003952273117428","0.4003952273117428","0.4003952273117428","0.39893025162567264","0.39893025162567264","0.39893025162567264","0.41388479365007724","0.41388479365007724","0.41388479365007724","0.46649702493243483","0.46649702493243483","0.46649702493243483","0.47600695294809525","0.47600695294809525","0.47600695294809525","0.5053743623171588","0.5053743623171588","0.5053743623171588","0.5127241458786859","0.5127241458786859","0.5127241458786859","0.4931781108422284","0.4931781108422284","0.4931781108422284","0.49030337083969255","0.49030337083969255","0.49030337083969255","0.5401847297794606","0.5401847297794606","0.5401847297794606","0.5014991796005883","0.5014991796005883","0.5014991796005883","0.5698948887255475","0.5698948887255475","0.5698948887255475"
"6","0.5379255891703115","0.5379255891703115","0.5379255891703115","0.5871094874403338","0.5871094874403338","0.5871094874403338","0.5643152440171588","0.5643152440171588","0.5643152440171588","0.5203883670525898","0.5203883670525898","0.5203883670525898","0.5746958233402453","0.5746958233402453","0.5746958233402453","0.579197358645004","0.579197358645004","0.579197358645004","0.4555423265587381","0.4555423265587381","0.4555423265587381","0.4546147376570404","0.4546147376570404","0.4546147376570404","0.46197582546206667","0.46197582546206667","0.46197582546206667","0.48655295765891654","0.48655295765891654","0.48655295765891654","0.48462760669387156","0.48462760669387156","0.48462760669387156","0.49362219250971034","0.49362219250971034","0.49362219250971034","0.4992657993356711","0.4992657993356711","0.4992657993356711","0.513819522877363","0.513819522877363","0.513819522877363","0.51695310044899","0.51695310044899","0.51695310044899","0.5316729774290452","0.5316729774290452","0.5316729774290452","0.5210419955318172","0.5210419955318172","0.5210419955318172","0.5115987320651282","0.5115987320651282","0.5115987320651282","0.5744344388063022","0.5744344388063022","0.5744344388063022","0.6125837194494572","0.6125837194494572","0.6125837194494572","0.603357250008662","0.603357250008662","0.603357250008662","0.4407564667753771","0.4407564667753771","0.4407564667753771","0.41230162807746507","0.41230162807746507","0.41230162807746507","0.41092473051588224","0.41092473051588224","0.41092473051588224","0.41086468753643113","0.41086468753643113","0.41086468753643113","0.4078402369878366","0.4078402369878366","0.4078402369878366","0.4153885605376231","0.4153885605376231","0.4153885605376231","0.47388564342539874","0.47388564342539874","0.47388564342539874","0.48075862533684344","0.48075862533684344","0.48075862533684344","0.4728476737754078","0.4728476737754078","0.4728476737754078","0.5146091687542415","0.5146091687542415","0.5146091687542415","0.5179420343782681","0.5179420343782681","0.5179420343782681","0.4890118117146356","0.4890118117146356","0.4890118117146356","0.5607875056152994","0.5607875056152994","0.5607875056152994","0.552994558804998","0.552994558804998","0.552994558804998","0.6015777044188206","0.6015777044188206","0.6015777044188206"
"7","0.5825459212695516","0.5825459212695516","0.5825459212695516","0.5741628961035687","0.5741628961035687","0.5741628961035687","0.5807144103376642","0.5807144103376642","0.5807144103376642","0.5835198186551895","0.5835198186551895","0.5835198186551895","0.5254753070489405","0.5254753070489405","0.5254753070489405","0.5810796639488152","0.5810796639488152","0.5810796639488152","0.4743371104593829","0.4743371104593829","0.4743371104593829","0.47581122198466","0.47581122198466","0.47581122198466","0.4725267172191485","0.4725267172191485","0.4725267172191485","0.49850653169821857","0.49850653169821857","0.49850653169821857","0.5049116404433411","0.5049116404433411","0.5049116404433411","0.5050996955001231","0.5050996955001231","0.5050996955001231","0.5233405204460758","0.5233405204460758","0.5233405204460758","0.5173099737882284","0.5173099737882284","0.5173099737882284","0.5536288524142546","0.5536288524142546","0.5536288524142546","0.5190963325148645","0.5190963325148645","0.5190963325148645","0.5092058336718852","0.5092058336718852","0.5092058336718852","0.5282702744661008","0.5282702744661008","0.5282702744661008","0.6350204197467668","0.6350204197467668","0.6350204197467668","0.628774910437637","0.628774910437637","0.628774910437637","0.6364894436276702","0.6364894436276702","0.6364894436276702","0.4538176063407201","0.4538176063407201","0.4538176063407201","0.4416698350836308","0.4416698350836308","0.4416698350836308","0.419274162002102","0.419274162002102","0.419274162002102","0.41871614376359606","0.41871614376359606","0.41871614376359606","0.4443443069211751","0.4443443069211751","0.4443443069211751","0.41631132674776883","0.41631132674776883","0.41631132674776883","0.47610695950600906","0.47610695950600906","0.47610695950600906","0.4683644329833723","0.4683644329833723","0.4683644329833723","0.4871167013154747","0.4871167013154747","0.4871167013154747","0.520390294260789","0.520390294260789","0.520390294260789","0.5197440266079159","0.5197440266079159","0.5197440266079159","0.5057595535801279","0.5057595535801279","0.5057595535801279","0.5600004327226243","0.5600004327226243","0.5600004327226243","0.5691963672985789","0.5691963672985789","0.5691963672985789","0.608164940303618","0.608164940303618","0.608164940303618"
"8","0.579839158611834","0.579839158611834","0.579839158611834","0.6026688443323369","0.6026688443323369","0.6026688443323369","0.5875667488818436","0.5875667488818436","0.5875667488818436","0.5721169199681785","0.5721169199681785","0.5721169199681785","0.5746317610338865","0.5746317610338865","0.5746317610338865","0.6123418299447239","0.6123418299447239","0.6123418299447239","0.4685435177170041","0.4685435177170041","0.4685435177170041","0.4855864457417621","0.4855864457417621","0.4855864457417621","0.48356779889866475","0.48356779889866475","0.48356779889866475","0.5122209519247908","0.5122209519247908","0.5122209519247908","0.49608195444922043","0.49608195444922043","0.49608195444922043","0.5287331173522287","0.5287331173522287","0.5287331173522287","0.5237582594284516","0.5237582594284516","0.5237582594284516","0.5435411012756308","0.5435411012756308","0.5435411012756308","0.5458681007049346","0.5458681007049346","0.5458681007049346","0.5504866998548557","0.5504866998548557","0.5504866998548557","0.5610975526455145","0.5610975526455145","0.5610975526455145","0.539141009527974","0.539141009527974","0.539141009527974","0.6156735379959581","0.6156735379959581","0.6156735379959581","0.6395023691668007","0.6395023691668007","0.6395023691668007","0.6352937452933144","0.6352937452933144","0.6352937452933144","0.4773492375652857","0.4773492375652857","0.4773492375652857","0.4353099186815961","0.4353099186815961","0.4353099186815961","0.41579936831032444","0.41579936831032444","0.41579936831032444","0.4300907530299579","0.4300907530299579","0.4300907530299579","0.39364791020486406","0.39364791020486406","0.39364791020486406","0.40459654493986097","0.40459654493986097","0.40459654493986097","0.471645117633828","0.471645117633828","0.471645117633828","0.5023247154301081","0.5023247154301081","0.5023247154301081","0.5027069622611886","0.5027069622611886","0.5027069622611886","0.5419032981583174","0.5419032981583174","0.5419032981583174","0.5434525217551607","0.5434525217551607","0.5434525217551607","0.5091210461673499","0.5091210461673499","0.5091210461673499","0.5941368945655151","0.5941368945655151","0.5941368945655151","0.5835367792476583","0.5835367792476583","0.5835367792476583","0.6089919852806412","0.6089919852806412","0.6089919852806412"
"9","0.5787707458757704","0.5787707458757704","0.5787707458757704","0.5915870460847616","0.5915870460847616","0.5915870460847616","0.5720030310500309","0.5720030310500309","0.5720030310500309","0.5854261655369174","0.5854261655369174","0.5854261655369174","0.5851397247391062","0.5851397247391062","0.5851397247391062","0.5883189013973924","0.5883189013973924","0.5883189013973924","0.4716266150314853","0.4716266150314853","0.4716266150314853","0.49196920984711917","0.49196920984711917","0.49196920984711917","0.48190458506049344","0.48190458506049344","0.48190458506049344","0.503182309991976","0.503182309991976","0.503182309991976","0.5100001976868362","0.5100001976868362","0.5100001976868362","0.5203178443133959","0.5203178443133959","0.5203178443133959","0.5361758805325268","0.5361758805325268","0.5361758805325268","0.5509252117017875","0.5509252117017875","0.5509252117017875","0.5893391024093751","0.5893391024093751","0.5893391024093751","0.5640674915735935","0.5640674915735935","0.5640674915735935","0.5614817711607515","0.5614817711607515","0.5614817711607515","0.5742876520912834","0.5742876520912834","0.5742876520912834","0.623891138901791","0.623891138901791","0.623891138901791","0.6209343473898631","0.6209343473898631","0.6209343473898631","0.6461375369422842","0.6461375369422842","0.6461375369422842","0.4539882397803336","0.4539882397803336","0.4539882397803336","0.4574140983282962","0.4574140983282962","0.4574140983282962","0.44970831940026634","0.44970831940026634","0.44970831940026634","0.41728888616153437","0.41728888616153437","0.41728888616153437","0.4027513323282195","0.4027513323282195","0.4027513323282195","0.4146263531138885","0.4146263531138885","0.4146263531138885","0.4804035649600838","0.4804035649600838","0.4804035649600838","0.4857280570787585","0.4857280570787585","0.4857280570787585","0.4934733026561785","0.4934733026561785","0.4934733026561785","0.5520054545654133","0.5520054545654133","0.5520054545654133","0.5513267748523389","0.5513267748523389","0.5513267748523389","0.5481639621217592","0.5481639621217592","0.5481639621217592","0.5964840068255529","0.5964840068255529","0.5964840068255529","0.5763783156221431","0.5763783156221431","0.5763783156221431","0.6251778633020705","0.6251778633020705","0.6251778633020705"
