"Step","GNN_expression_cnv_soft_1 - gene_ap","GNN_expression_cnv_soft_1 - gene_ap__MIN","GNN_expression_cnv_soft_1 - gene_ap__MAX","GNN_expression_cnv_soft_999 - gene_ap","GNN_expression_cnv_soft_999 - gene_ap__MIN","GNN_expression_cnv_soft_999 - gene_ap__MAX","GNN_expression_cnv_soft_42 - gene_ap","GNN_expression_cnv_soft_42 - gene_ap__MIN","GNN_expression_cnv_soft_42 - gene_ap__MAX","GNN_cnv_soft_expression_1 - gene_ap","GNN_cnv_soft_expression_1 - gene_ap__MIN","GNN_cnv_soft_expression_1 - gene_ap__MAX","GNN_cnv_soft_expression_999 - gene_ap","GNN_cnv_soft_expression_999 - gene_ap__MIN","GNN_cnv_soft_expression_999 - gene_ap__MAX","GNN_cnv_soft_expression_42 - gene_ap","GNN_cnv_soft_expression_42 - gene_ap__MIN","GNN_cnv_soft_expression_42 - gene_ap__MAX","GNN_expression_rnd_1 - gene_ap","GNN_expression_rnd_1 - gene_ap__MIN","GNN_expression_rnd_1 - gene_ap__MAX","GNN_expression_rnd_999 - gene_ap","GNN_expression_rnd_999 - gene_ap__MIN","GNN_expression_rnd_999 - gene_ap__MAX","GNN_expression_rnd_42 - gene_ap","GNN_expression_rnd_42 - gene_ap__MIN","GNN_expression_rnd_42 - gene_ap__MAX","GNN_cnv_rnd_1 - gene_ap","GNN_cnv_rnd_1 - gene_ap__MIN","GNN_cnv_rnd_1 - gene_ap__MAX","GNN_cnv_rnd_999 - gene_ap","GNN_cnv_rnd_999 - gene_ap__MIN","GNN_cnv_rnd_999 - gene_ap__MAX","GNN_cnv_rnd_42 - gene_ap","GNN_cnv_rnd_42 - gene_ap__MIN","GNN_cnv_rnd_42 - gene_ap__MAX","GNN_expression_cnv_1 - gene_ap","GNN_expression_cnv_1 - gene_ap__MIN","GNN_expression_cnv_1 - gene_ap__MAX","GNN_expression_cnv_999 - gene_ap","GNN_expression_cnv_999 - gene_ap__MIN","GNN_expression_cnv_999 - gene_ap__MAX","GNN_expression_cnv_42 - gene_ap","GNN_expression_cnv_42 - gene_ap__MIN","GNN_expression_cnv_42 - gene_ap__MAX","GNN_cnv_expression_1 - gene_ap","GNN_cnv_expression_1 - gene_ap__MIN","GNN_cnv_expression_1 - gene_ap__MAX","GNN_cnv_expression_999 - gene_ap","GNN_cnv_expression_999 - gene_ap__MIN","GNN_cnv_expression_999 - gene_ap__MAX","GNN_cnv_expression_42 - gene_ap","GNN_cnv_expression_42 - gene_ap__MIN","GNN_cnv_expression_42 - gene_ap__MAX","GNN_cnv_soft_1 - gene_ap","GNN_cnv_soft_1 - gene_ap__MIN","GNN_cnv_soft_1 - gene_ap__MAX","GNN_cnv_soft_999 - gene_ap","GNN_cnv_soft_999 - gene_ap__MIN","GNN_cnv_soft_999 - gene_ap__MAX","GNN_cnv_soft_42 - gene_ap","GNN_cnv_soft_42 - gene_ap__MIN","GNN_cnv_soft_42 - gene_ap__MAX","GNN_cnv_full_1 - gene_ap","GNN_cnv_full_1 - gene_ap__MIN","GNN_cnv_full_1 - gene_ap__MAX","GNN_cnv_full_999 - gene_ap","GNN_cnv_full_999 - gene_ap__MIN","GNN_cnv_full_999 - gene_ap__MAX","GNN_cnv_full_42 - gene_ap","GNN_cnv_full_42 - gene_ap__MIN","GNN_cnv_full_42 - gene_ap__MAX","GNN_expression_full_1 - gene_ap","GNN_expression_full_1 - gene_ap__MIN","GNN_expression_full_1 - gene_ap__MAX","GNN_expression_full_999 - gene_ap","GNN_expression_full_999 - gene_ap__MIN","GNN_expression_full_999 - gene_ap__MAX","GNN_expression_full_42 - gene_ap","GNN_expression_full_42 - gene_ap__MIN","GNN_expression_full_42 - gene_ap__MAX","GNN_cnv_soft_rnd_1 - gene_ap","GNN_cnv_soft_rnd_1 - gene_ap__MIN","GNN_cnv_soft_rnd_1 - gene_ap__MAX","GNN_cnv_soft_rnd_999 - gene_ap","GNN_cnv_soft_rnd_999 - gene_ap__MIN","GNN_cnv_soft_rnd_999 - gene_ap__MAX","GNN_cnv_soft_rnd_42 - gene_ap","GNN_cnv_soft_rnd_42 - gene_ap__MIN","GNN_cnv_soft_rnd_42 - gene_ap__MAX","GNN_expression_99 - gene_ap","GNN_expression_99 - gene_ap__MIN","GNN_expression_99 - gene_ap__MAX","GNN_expression_42 - gene_ap","GNN_expression_42 - gene_ap__MIN","GNN_expression_42 - gene_ap__MAX","GNN_expression_1 - gene_ap","GNN_expression_1 - gene_ap__MIN","GNN_expression_1 - gene_ap__MAX","GNN_cnv_99 - gene_ap","GNN_cnv_99 - gene_ap__MIN","GNN_cnv_99 - gene_ap__MAX","GNN_cnv_42 - gene_ap","GNN_cnv_42 - gene_ap__MIN","GNN_cnv_42 - gene_ap__MAX","GNN_cnv_1 - gene_ap","GNN_cnv_1 - gene_ap__MIN","GNN_cnv_1 - gene_ap__MAX"
"0","0.4394581934201309","0.4394581934201309","0.4394581934201309","0.4430020277243051","0.4430020277243051","0.4430020277243051","0.4423443814781848","0.4423443814781848","0.4423443814781848","0.44449329116964537","0.44449329116964537","0.44449329116964537","0.4399269176381082","0.4399269176381082","0.4399269176381082","0.43897301822069923","0.43897301822069923","0.43897301822069923","0.4007632086909028","0.4007632086909028","0.4007632086909028","0.40179217898136593","0.40179217898136593","0.40179217898136593","0.39792387407050084","0.39792387407050084","0.39792387407050084","0.3964404434585172","0.3964404434585172","0.3964404434585172","0.39402597056139155","0.39402597056139155","0.39402597056139155","0.39391423920983926","0.39391423920983926","0.39391423920983926","0.4086996096085729","0.4086996096085729","0.4086996096085729","0.41811323262040273","0.41811323262040273","0.41811323262040273","0.4134475537415064","0.4134475537415064","0.4134475537415064","0.40797586173506056","0.40797586173506056","0.40797586173506056","0.4121468981793609","0.4121468981793609","0.4121468981793609","0.41796223605730065","0.41796223605730065","0.41796223605730065","0.4366326418704968","0.4366326418704968","0.4366326418704968","0.4401877679661006","0.4401877679661006","0.4401877679661006","0.4576903147294715","0.4576903147294715","0.4576903147294715","0.4538978285940899","0.4538978285940899","0.4538978285940899","0.46195615135994134","0.46195615135994134","0.46195615135994134","0.44427393055310255","0.44427393055310255","0.44427393055310255","0.4476530674475568","0.4476530674475568","0.4476530674475568","0.4421211770565834","0.4421211770565834","0.4421211770565834","0.44090335815303605","0.44090335815303605","0.44090335815303605","0.4003428850865271","0.4003428850865271","0.4003428850865271","0.4004474400151236","0.4004474400151236","0.4004474400151236","0.4000779655856097","0.4000779655856097","0.4000779655856097","0.41032187100987744","0.41032187100987744","0.41032187100987744","0.4033142418160245","0.4033142418160245","0.4033142418160245","0.40367494327260844","0.40367494327260844","0.40367494327260844","0.44140054353792846","0.44140054353792846","0.44140054353792846","0.43535943177094727","0.43535943177094727","0.43535943177094727","0.4350294035804363","0.4350294035804363","0.4350294035804363"
"1","0.45409120839025724","0.45409120839025724","0.45409120839025724","0.44867416053370673","0.44867416053370673","0.44867416053370673","0.45000930319693166","0.45000930319693166","0.45000930319693166","0.43334061136168","0.43334061136168","0.43334061136168","0.43901289932082227","0.43901289932082227","0.43901289932082227","0.46162296991822477","0.46162296991822477","0.46162296991822477","0.41198099484959916","0.41198099484959916","0.41198099484959916","0.412409285920708","0.412409285920708","0.412409285920708","0.4050998658246886","0.4050998658246886","0.4050998658246886","0.3972247177890913","0.3972247177890913","0.3972247177890913","0.3961318191048157","0.3961318191048157","0.3961318191048157","0.39666068395700455","0.39666068395700455","0.39666068395700455","0.4290537571019475","0.4290537571019475","0.4290537571019475","0.45145912498108715","0.45145912498108715","0.45145912498108715","0.44611327782104526","0.44611327782104526","0.44611327782104526","0.43025146115074087","0.43025146115074087","0.43025146115074087","0.4341694102106956","0.4341694102106956","0.4341694102106956","0.4372777796744298","0.4372777796744298","0.4372777796744298","0.44873623210535496","0.44873623210535496","0.44873623210535496","0.4438490779691944","0.4438490779691944","0.4438490779691944","0.44477043052321946","0.44477043052321946","0.44477043052321946","0.4881980588904103","0.4881980588904103","0.4881980588904103","0.46581914822919135","0.46581914822919135","0.46581914822919135","0.42835974569566365","0.42835974569566365","0.42835974569566365","0.4694115910894308","0.4694115910894308","0.4694115910894308","0.46949716695714655","0.46949716695714655","0.46949716695714655","0.4543684251216279","0.4543684251216279","0.4543684251216279","0.41319239043858025","0.41319239043858025","0.41319239043858025","0.430536830700642","0.430536830700642","0.430536830700642","0.412073742089644","0.412073742089644","0.412073742089644","0.44491225906552584","0.44491225906552584","0.44491225906552584","0.4341109818770923","0.4341109818770923","0.4341109818770923","0.42183821355808593","0.42183821355808593","0.42183821355808593","0.43505454195265963","0.43505454195265963","0.43505454195265963","0.44583150968221313","0.44583150968221313","0.44583150968221313","0.44424816223563196","0.44424816223563196","0.44424816223563196"
"2","0.4459332739331322","0.4459332739331322","0.4459332739331322","0.44569747821386313","0.44569747821386313","0.44569747821386313","0.44595544625441197","0.44595544625441197","0.44595544625441197","0.4492291420493228","0.4492291420493228","0.4492291420493228","0.467833562997461","0.467833562997461","0.467833562997461","0.4601239827815781","0.4601239827815781","0.4601239827815781","0.42531915898492184","0.42531915898492184","0.42531915898492184","0.42364813572937604","0.42364813572937604","0.42364813572937604","0.4206505116806862","0.4206505116806862","0.4206505116806862","0.3962825708172011","0.3962825708172011","0.3962825708172011","0.395665016180257","0.395665016180257","0.395665016180257","0.4000679784757981","0.4000679784757981","0.4000679784757981","0.4440959567874657","0.4440959567874657","0.4440959567874657","0.44445999729827035","0.44445999729827035","0.44445999729827035","0.45452100870666073","0.45452100870666073","0.45452100870666073","0.4422239746834187","0.4422239746834187","0.4422239746834187","0.4474233348716688","0.4474233348716688","0.4474233348716688","0.4510926909741835","0.4510926909741835","0.4510926909741835","0.4425660789246275","0.4425660789246275","0.4425660789246275","0.45109137409596384","0.45109137409596384","0.45109137409596384","0.4662293918692845","0.4662293918692845","0.4662293918692845","0.46013194034593163","0.46013194034593163","0.46013194034593163","0.46873108324505985","0.46873108324505985","0.46873108324505985","0.4643037265507995","0.4643037265507995","0.4643037265507995","0.47304878375585113","0.47304878375585113","0.47304878375585113","0.4485014137303823","0.4485014137303823","0.4485014137303823","0.4398221735311959","0.4398221735311959","0.4398221735311959","0.4319832098115085","0.4319832098115085","0.4319832098115085","0.4399398907422996","0.4399398907422996","0.4399398907422996","0.420542759126292","0.420542759126292","0.420542759126292","0.454152161574999","0.454152161574999","0.454152161574999","0.4504142405400286","0.4504142405400286","0.4504142405400286","0.44917149760965597","0.44917149760965597","0.44917149760965597","0.4395785922670978","0.4395785922670978","0.4395785922670978","0.44695900731361554","0.44695900731361554","0.44695900731361554","0.44702498583817984","0.44702498583817984","0.44702498583817984"
"3","0.45706433995208867","0.45706433995208867","0.45706433995208867","0.4590157843746019","0.4590157843746019","0.4590157843746019","0.44518688259042827","0.44518688259042827","0.44518688259042827","0.46612538920402746","0.46612538920402746","0.46612538920402746","0.45391507471580766","0.45391507471580766","0.45391507471580766","0.45259916115847076","0.45259916115847076","0.45259916115847076","0.4655075759757777","0.4655075759757777","0.4655075759757777","0.44432813019995016","0.44432813019995016","0.44432813019995016","0.4472785247181602","0.4472785247181602","0.4472785247181602","0.3988667100827299","0.3988667100827299","0.3988667100827299","0.4063256088757612","0.4063256088757612","0.4063256088757612","0.40163679208591974","0.40163679208591974","0.40163679208591974","0.4542971275581537","0.4542971275581537","0.4542971275581537","0.439141781350346","0.439141781350346","0.439141781350346","0.4592683112112045","0.4592683112112045","0.4592683112112045","0.4410388809193782","0.4410388809193782","0.4410388809193782","0.4483887471261924","0.4483887471261924","0.4483887471261924","0.457162387183276","0.457162387183276","0.457162387183276","0.4576676329507678","0.4576676329507678","0.4576676329507678","0.4494408425425447","0.4494408425425447","0.4494408425425447","0.46782368419098463","0.46782368419098463","0.46782368419098463","0.4895743226164392","0.4895743226164392","0.4895743226164392","0.475489429439773","0.475489429439773","0.475489429439773","0.443551405439713","0.443551405439713","0.443551405439713","0.4790943140986862","0.4790943140986862","0.4790943140986862","0.48572724507420423","0.48572724507420423","0.48572724507420423","0.4700863981788962","0.4700863981788962","0.4700863981788962","0.45145057637072983","0.45145057637072983","0.45145057637072983","0.4433391116438251","0.4433391116438251","0.4433391116438251","0.4521699881810585","0.4521699881810585","0.4521699881810585","0.44386958557463924","0.44386958557463924","0.44386958557463924","0.45384949231461796","0.45384949231461796","0.45384949231461796","0.45088354514287143","0.45088354514287143","0.45088354514287143","0.44697035731370083","0.44697035731370083","0.44697035731370083","0.45678691462050086","0.45678691462050086","0.45678691462050086","0.4440423114902458","0.4440423114902458","0.4440423114902458"
"4","0.4632064370554699","0.4632064370554699","0.4632064370554699","0.4679926385515639","0.4679926385515639","0.4679926385515639","0.4686398987944817","0.4686398987944817","0.4686398987944817","0.4619543899006297","0.4619543899006297","0.4619543899006297","0.46724310701701827","0.46724310701701827","0.46724310701701827","0.4754573276929055","0.4754573276929055","0.4754573276929055","0.4589949701684295","0.4589949701684295","0.4589949701684295","0.46072505629101546","0.46072505629101546","0.46072505629101546","0.45701293048054736","0.45701293048054736","0.45701293048054736","0.400435552163908","0.400435552163908","0.400435552163908","0.3967454782984179","0.3967454782984179","0.3967454782984179","0.4035820008797557","0.4035820008797557","0.4035820008797557","0.4417839671870243","0.4417839671870243","0.4417839671870243","0.45803240208167967","0.45803240208167967","0.45803240208167967","0.4829323682493457","0.4829323682493457","0.4829323682493457","0.47202289149450566","0.47202289149450566","0.47202289149450566","0.4529406589513366","0.4529406589513366","0.4529406589513366","0.4726216262951623","0.4726216262951623","0.4726216262951623","0.4651139667878769","0.4651139667878769","0.4651139667878769","0.448548912793233","0.448548912793233","0.448548912793233","0.47813524101991256","0.47813524101991256","0.47813524101991256","0.4779701346112743","0.4779701346112743","0.4779701346112743","0.5157786064791566","0.5157786064791566","0.5157786064791566","0.480848747749961","0.480848747749961","0.480848747749961","0.5038045173455907","0.5038045173455907","0.5038045173455907","0.47928006603256035","0.47928006603256035","0.47928006603256035","0.4438891403513669","0.4438891403513669","0.4438891403513669","0.46695159473180553","0.46695159473180553","0.46695159473180553","0.46697605001524856","0.46697605001524856","0.46697605001524856","0.4602474560618893","0.4602474560618893","0.4602474560618893","0.4623690286149076","0.4623690286149076","0.4623690286149076","0.4596795703633265","0.4596795703633265","0.4596795703633265","0.44075879085420794","0.44075879085420794","0.44075879085420794","0.43977031495867824","0.43977031495867824","0.43977031495867824","0.4504850149487597","0.4504850149487597","0.4504850149487597","0.4438266515870558","0.4438266515870558","0.4438266515870558"
"5","0.48187232228301174","0.48187232228301174","0.48187232228301174","0.49265166990493897","0.49265166990493897","0.49265166990493897","0.4666087473430874","0.4666087473430874","0.4666087473430874","0.4636240901601883","0.4636240901601883","0.4636240901601883","0.4872060171217276","0.4872060171217276","0.4872060171217276","0.4808114692838227","0.4808114692838227","0.4808114692838227","0.4650906162142437","0.4650906162142437","0.4650906162142437","0.48495721469503544","0.48495721469503544","0.48495721469503544","0.45836216517601464","0.45836216517601464","0.45836216517601464","0.4051405218791564","0.4051405218791564","0.4051405218791564","0.40522362483049773","0.40522362483049773","0.40522362483049773","0.4021810914593763","0.4021810914593763","0.4021810914593763","0.46370769829587305","0.46370769829587305","0.46370769829587305","0.4729766034966697","0.4729766034966697","0.4729766034966697","0.46976901960559464","0.46976901960559464","0.46976901960559464","0.47627038289441753","0.47627038289441753","0.47627038289441753","0.4571792539866406","0.4571792539866406","0.4571792539866406","0.46235805710133043","0.46235805710133043","0.46235805710133043","0.4543889881885795","0.4543889881885795","0.4543889881885795","0.4495135558793265","0.4495135558793265","0.4495135558793265","0.4644284644434315","0.4644284644434315","0.4644284644434315","0.48083668901240023","0.48083668901240023","0.48083668901240023","0.5409419373153989","0.5409419373153989","0.5409419373153989","0.4764087209338073","0.4764087209338073","0.4764087209338073","0.470389853789631","0.470389853789631","0.470389853789631","0.4767829035513351","0.4767829035513351","0.4767829035513351","0.4639143193138684","0.4639143193138684","0.4639143193138684","0.48580961512945203","0.48580961512945203","0.48580961512945203","0.4638109582903269","0.4638109582903269","0.4638109582903269","0.49691142881776545","0.49691142881776545","0.49691142881776545","0.45512238186647824","0.45512238186647824","0.45512238186647824","0.45042277112508217","0.45042277112508217","0.45042277112508217","0.46764104427998693","0.46764104427998693","0.46764104427998693","0.4470815212473589","0.4470815212473589","0.4470815212473589","0.4518141258757365","0.4518141258757365","0.4518141258757365","0.45004496331488275","0.45004496331488275","0.45004496331488275"
"6","0.4883423979210847","0.4883423979210847","0.4883423979210847","0.4828887328480416","0.4828887328480416","0.4828887328480416","0.4690908518243803","0.4690908518243803","0.4690908518243803","0.47690025091351057","0.47690025091351057","0.47690025091351057","0.49918900939700067","0.49918900939700067","0.49918900939700067","0.5005607982796779","0.5005607982796779","0.5005607982796779","0.4848255363604973","0.4848255363604973","0.4848255363604973","0.479510974153053","0.479510974153053","0.479510974153053","0.48060301660129673","0.48060301660129673","0.48060301660129673","0.4118397259268954","0.4118397259268954","0.4118397259268954","0.4040532515721771","0.4040532515721771","0.4040532515721771","0.4170627849342602","0.4170627849342602","0.4170627849342602","0.46969280864638685","0.46969280864638685","0.46969280864638685","0.4703547489039805","0.4703547489039805","0.4703547489039805","0.45957257527577305","0.45957257527577305","0.45957257527577305","0.4655692225401037","0.4655692225401037","0.4655692225401037","0.46077550492002123","0.46077550492002123","0.46077550492002123","0.4608844527420391","0.4608844527420391","0.4608844527420391","0.4625780784643786","0.4625780784643786","0.4625780784643786","0.46215048127139746","0.46215048127139746","0.46215048127139746","0.4825593894968448","0.4825593894968448","0.4825593894968448","0.49286657005816814","0.49286657005816814","0.49286657005816814","0.4985286284154761","0.4985286284154761","0.4985286284154761","0.48578999778182264","0.48578999778182264","0.48578999778182264","0.48711506850303693","0.48711506850303693","0.48711506850303693","0.48643747743606097","0.48643747743606097","0.48643747743606097","0.45100421389666584","0.45100421389666584","0.45100421389666584","0.4759529742167269","0.4759529742167269","0.4759529742167269","0.4786835226173993","0.4786835226173993","0.4786835226173993","0.4729607030122794","0.4729607030122794","0.4729607030122794","0.48434214350892524","0.48434214350892524","0.48434214350892524","0.4799059765321801","0.4799059765321801","0.4799059765321801","0.4511892985284536","0.4511892985284536","0.4511892985284536","0.4522846270088722","0.4522846270088722","0.4522846270088722","0.45509882315679034","0.45509882315679034","0.45509882315679034","0.4490653138101233","0.4490653138101233","0.4490653138101233"
"7","0.4914243851582857","0.4914243851582857","0.4914243851582857","0.48005616864886114","0.48005616864886114","0.48005616864886114","0.46168502328522715","0.46168502328522715","0.46168502328522715","0.5029570540938962","0.5029570540938962","0.5029570540938962","0.4831401142291931","0.4831401142291931","0.4831401142291931","0.4781112352983312","0.4781112352983312","0.4781112352983312","0.48289883838915415","0.48289883838915415","0.48289883838915415","0.48773923519356144","0.48773923519356144","0.48773923519356144","0.46411575176196784","0.46411575176196784","0.46411575176196784","0.41269945588170176","0.41269945588170176","0.41269945588170176","0.41050899086494447","0.41050899086494447","0.41050899086494447","0.4076688494247799","0.4076688494247799","0.4076688494247799","0.4576440136762963","0.4576440136762963","0.4576440136762963","0.4590957763912318","0.4590957763912318","0.4590957763912318","0.4709323194447429","0.4709323194447429","0.4709323194447429","0.4784797222462206","0.4784797222462206","0.4784797222462206","0.4517524805055467","0.4517524805055467","0.4517524805055467","0.48134178075001394","0.48134178075001394","0.48134178075001394","0.46412551253907336","0.46412551253907336","0.46412551253907336","0.44739752280145695","0.44739752280145695","0.44739752280145695","0.4918008645825402","0.4918008645825402","0.4918008645825402","0.49777202449675434","0.49777202449675434","0.49777202449675434","0.5191517350480603","0.5191517350480603","0.5191517350480603","0.4961801171600248","0.4961801171600248","0.4961801171600248","0.5013992722448396","0.5013992722448396","0.5013992722448396","0.4753497716210622","0.4753497716210622","0.4753497716210622","0.4800113510861617","0.4800113510861617","0.4800113510861617","0.4883585207083713","0.4883585207083713","0.4883585207083713","0.47855910692619813","0.47855910692619813","0.47855910692619813","0.490831827747367","0.490831827747367","0.490831827747367","0.4702235910681398","0.4702235910681398","0.4702235910681398","0.47220065294529145","0.47220065294529145","0.47220065294529145","0.4718420359146625","0.4718420359146625","0.4718420359146625","0.45975524820107866","0.45975524820107866","0.45975524820107866","0.4443296109337046","0.4443296109337046","0.4443296109337046","0.451873679234133","0.451873679234133","0.451873679234133"
"8","0.48760801569317513","0.48760801569317513","0.48760801569317513","0.4976087517037869","0.4976087517037869","0.4976087517037869","0.4777986122064171","0.4777986122064171","0.4777986122064171","0.49446594732203814","0.49446594732203814","0.49446594732203814","0.4938534245415442","0.4938534245415442","0.4938534245415442","0.49756856089001683","0.49756856089001683","0.49756856089001683","0.5182323884411245","0.5182323884411245","0.5182323884411245","0.4804659677801952","0.4804659677801952","0.4804659677801952","0.4867653633817749","0.4867653633817749","0.4867653633817749","0.41489398355230406","0.41489398355230406","0.41489398355230406","0.41074026445910267","0.41074026445910267","0.41074026445910267","0.4204273557640346","0.4204273557640346","0.4204273557640346","0.46138510270225314","0.46138510270225314","0.46138510270225314","0.49415234213277626","0.49415234213277626","0.49415234213277626","0.48280613540630807","0.48280613540630807","0.48280613540630807","0.4686970526810759","0.4686970526810759","0.4686970526810759","0.48368724748794234","0.48368724748794234","0.48368724748794234","0.46897008111785377","0.46897008111785377","0.46897008111785377","0.45965378638841314","0.45965378638841314","0.45965378638841314","0.46117358693388366","0.46117358693388366","0.46117358693388366","0.49961932679074134","0.49961932679074134","0.49961932679074134","0.5131192554470724","0.5131192554470724","0.5131192554470724","0.5203828325428559","0.5203828325428559","0.5203828325428559","0.4922858829539097","0.4922858829539097","0.4922858829539097","0.4907346729152587","0.4907346729152587","0.4907346729152587","0.48892972594098144","0.48892972594098144","0.48892972594098144","0.4617997412316585","0.4617997412316585","0.4617997412316585","0.480203305118215","0.480203305118215","0.480203305118215","0.5018907372600447","0.5018907372600447","0.5018907372600447","0.5204698152276384","0.5204698152276384","0.5204698152276384","0.4922302346989296","0.4922302346989296","0.4922302346989296","0.47388137867598856","0.47388137867598856","0.47388137867598856","0.4625744071596997","0.4625744071596997","0.4625744071596997","0.45906877971417875","0.45906877971417875","0.45906877971417875","0.46556238519537757","0.46556238519537757","0.46556238519537757","0.45779996497226755","0.45779996497226755","0.45779996497226755"
"9","0.489086715604234","0.489086715604234","0.489086715604234","0.5038042242067462","0.5038042242067462","0.5038042242067462","0.49767326214011465","0.49767326214011465","0.49767326214011465","0.49462917979883236","0.49462917979883236","0.49462917979883236","0.49721415471757624","0.49721415471757624","0.49721415471757624","0.520328618514135","0.520328618514135","0.520328618514135","0.49527229495641356","0.49527229495641356","0.49527229495641356","0.4947276942418422","0.4947276942418422","0.4947276942418422","0.4999804459437453","0.4999804459437453","0.4999804459437453","0.4181078528470397","0.4181078528470397","0.4181078528470397","0.41069754820505566","0.41069754820505566","0.41069754820505566","0.43172464065807253","0.43172464065807253","0.43172464065807253","0.47412604141841436","0.47412604141841436","0.47412604141841436","0.4660557632086492","0.4660557632086492","0.4660557632086492","0.4988876054567656","0.4988876054567656","0.4988876054567656","0.48998143102073527","0.48998143102073527","0.48998143102073527","0.4829942913618947","0.4829942913618947","0.4829942913618947","0.4948877139647555","0.4948877139647555","0.4948877139647555","0.4830182678161553","0.4830182678161553","0.4830182678161553","0.4944496922434554","0.4944496922434554","0.4944496922434554","0.47143567732102454","0.47143567732102454","0.47143567732102454","0.5321843914423663","0.5321843914423663","0.5321843914423663","0.4974438385462486","0.4974438385462486","0.4974438385462486","0.5009312829484571","0.5009312829484571","0.5009312829484571","0.47189882082181395","0.47189882082181395","0.47189882082181395","0.5512946158534077","0.5512946158534077","0.5512946158534077","0.4684332375832762","0.4684332375832762","0.4684332375832762","0.50210573302466","0.50210573302466","0.50210573302466","0.4877017003699959","0.4877017003699959","0.4877017003699959","0.4868800674423391","0.4868800674423391","0.4868800674423391","0.4878290653220582","0.4878290653220582","0.4878290653220582","0.5114754576672746","0.5114754576672746","0.5114754576672746","0.4745751473577789","0.4745751473577789","0.4745751473577789","0.454816899016671","0.454816899016671","0.454816899016671","0.45304041870814216","0.45304041870814216","0.45304041870814216","0.4516831388217113","0.4516831388217113","0.4516831388217113"
