"Step","GNN_expression_cnv_soft_1 - assay_ap","GNN_expression_cnv_soft_1 - assay_ap__MIN","GNN_expression_cnv_soft_1 - assay_ap__MAX","GNN_expression_cnv_soft_999 - assay_ap","GNN_expression_cnv_soft_999 - assay_ap__MIN","GNN_expression_cnv_soft_999 - assay_ap__MAX","GNN_expression_cnv_soft_42 - assay_ap","GNN_expression_cnv_soft_42 - assay_ap__MIN","GNN_expression_cnv_soft_42 - assay_ap__MAX","GNN_cnv_soft_expression_1 - assay_ap","GNN_cnv_soft_expression_1 - assay_ap__MIN","GNN_cnv_soft_expression_1 - assay_ap__MAX","GNN_cnv_soft_expression_999 - assay_ap","GNN_cnv_soft_expression_999 - assay_ap__MIN","GNN_cnv_soft_expression_999 - assay_ap__MAX","GNN_cnv_soft_expression_42 - assay_ap","GNN_cnv_soft_expression_42 - assay_ap__MIN","GNN_cnv_soft_expression_42 - assay_ap__MAX","GNN_expression_rnd_1 - assay_ap","GNN_expression_rnd_1 - assay_ap__MIN","GNN_expression_rnd_1 - assay_ap__MAX","GNN_expression_rnd_999 - assay_ap","GNN_expression_rnd_999 - assay_ap__MIN","GNN_expression_rnd_999 - assay_ap__MAX","GNN_expression_rnd_42 - assay_ap","GNN_expression_rnd_42 - assay_ap__MIN","GNN_expression_rnd_42 - assay_ap__MAX","GNN_cnv_rnd_1 - assay_ap","GNN_cnv_rnd_1 - assay_ap__MIN","GNN_cnv_rnd_1 - assay_ap__MAX","GNN_cnv_rnd_999 - assay_ap","GNN_cnv_rnd_999 - assay_ap__MIN","GNN_cnv_rnd_999 - assay_ap__MAX","GNN_cnv_rnd_42 - assay_ap","GNN_cnv_rnd_42 - assay_ap__MIN","GNN_cnv_rnd_42 - assay_ap__MAX","GNN_expression_cnv_1 - assay_ap","GNN_expression_cnv_1 - assay_ap__MIN","GNN_expression_cnv_1 - assay_ap__MAX","GNN_expression_cnv_999 - assay_ap","GNN_expression_cnv_999 - assay_ap__MIN","GNN_expression_cnv_999 - assay_ap__MAX","GNN_expression_cnv_42 - assay_ap","GNN_expression_cnv_42 - assay_ap__MIN","GNN_expression_cnv_42 - assay_ap__MAX","GNN_cnv_expression_1 - assay_ap","GNN_cnv_expression_1 - assay_ap__MIN","GNN_cnv_expression_1 - assay_ap__MAX","GNN_cnv_expression_999 - assay_ap","GNN_cnv_expression_999 - assay_ap__MIN","GNN_cnv_expression_999 - assay_ap__MAX","GNN_cnv_expression_42 - assay_ap","GNN_cnv_expression_42 - assay_ap__MIN","GNN_cnv_expression_42 - assay_ap__MAX","GNN_cnv_full_1 - assay_ap","GNN_cnv_full_1 - assay_ap__MIN","GNN_cnv_full_1 - assay_ap__MAX","GNN_cnv_full_999 - assay_ap","GNN_cnv_full_999 - assay_ap__MIN","GNN_cnv_full_999 - assay_ap__MAX","GNN_cnv_full_42 - assay_ap","GNN_cnv_full_42 - assay_ap__MIN","GNN_cnv_full_42 - assay_ap__MAX","GNN_expression_full_1 - assay_ap","GNN_expression_full_1 - assay_ap__MIN","GNN_expression_full_1 - assay_ap__MAX","GNN_expression_full_999 - assay_ap","GNN_expression_full_999 - assay_ap__MIN","GNN_expression_full_999 - assay_ap__MAX","GNN_expression_full_42 - assay_ap","GNN_expression_full_42 - assay_ap__MIN","GNN_expression_full_42 - assay_ap__MAX","GNN_cnv_soft_rnd_1 - assay_ap","GNN_cnv_soft_rnd_1 - assay_ap__MIN","GNN_cnv_soft_rnd_1 - assay_ap__MAX","GNN_cnv_soft_rnd_999 - assay_ap","GNN_cnv_soft_rnd_999 - assay_ap__MIN","GNN_cnv_soft_rnd_999 - assay_ap__MAX","GNN_cnv_soft_rnd_42 - assay_ap","GNN_cnv_soft_rnd_42 - assay_ap__MIN","GNN_cnv_soft_rnd_42 - assay_ap__MAX","GNN_cnv_soft_99 - assay_ap","GNN_cnv_soft_99 - assay_ap__MIN","GNN_cnv_soft_99 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_expression_99 - assay_ap","GNN_expression_99 - assay_ap__MIN","GNN_expression_99 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_cnv_99 - assay_ap","GNN_cnv_99 - assay_ap__MIN","GNN_cnv_99 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX"
"0","0.39651112536772776","0.39651112536772776","0.39651112536772776","0.43340729542173284","0.43340729542173284","0.43340729542173284","0.428259072070636","0.428259072070636","0.428259072070636","0.4031200080425624","0.4031200080425624","0.4031200080425624","0.4168796006290428","0.4168796006290428","0.4168796006290428","0.40315806501364115","0.40315806501364115","0.40315806501364115","0.41705134281061557","0.41705134281061557","0.41705134281061557","0.4332430688718854","0.4332430688718854","0.4332430688718854","0.4469123492885424","0.4469123492885424","0.4469123492885424","0.4114733707685917","0.4114733707685917","0.4114733707685917","0.4135750998369912","0.4135750998369912","0.4135750998369912","0.4053386812914782","0.4053386812914782","0.4053386812914782","0.42202898019796525","0.42202898019796525","0.42202898019796525","0.4212764194971979","0.4212764194971979","0.4212764194971979","0.42220995968200536","0.42220995968200536","0.42220995968200536","0.42618419168025806","0.42618419168025806","0.42618419168025806","0.43016341771272604","0.43016341771272604","0.43016341771272604","0.43299052582787106","0.43299052582787106","0.43299052582787106","0.36284742083284466","0.36284742083284466","0.36284742083284466","0.3875284903344513","0.3875284903344513","0.3875284903344513","0.37615978819076507","0.37615978819076507","0.37615978819076507","0.38719470701663095","0.38719470701663095","0.38719470701663095","0.39155806441356783","0.39155806441356783","0.39155806441356783","0.37104629973298614","0.37104629973298614","0.37104629973298614","0.4171866596098233","0.4171866596098233","0.4171866596098233","0.44182109172034706","0.44182109172034706","0.44182109172034706","0.4272603526420627","0.4272603526420627","0.4272603526420627","0.44024614198835066","0.44024614198835066","0.44024614198835066","0.44319099662661915","0.44319099662661915","0.44319099662661915","0.42583194501132293","0.42583194501132293","0.42583194501132293","0.4049994504308569","0.4049994504308569","0.4049994504308569","0.41232005198989213","0.41232005198989213","0.41232005198989213","0.41827431252756864","0.41827431252756864","0.41827431252756864","0.4309071213438523","0.4309071213438523","0.4309071213438523","0.4273622642464447","0.4273622642464447","0.4273622642464447","0.43326537749555405","0.43326537749555405","0.43326537749555405"
"1","0.4355340172769352","0.4355340172769352","0.4355340172769352","0.4573990111167766","0.4573990111167766","0.4573990111167766","0.4650424054960555","0.4650424054960555","0.4650424054960555","0.47793347133364433","0.47793347133364433","0.47793347133364433","0.44471811701604425","0.44471811701604425","0.44471811701604425","0.4637594986930284","0.4637594986930284","0.4637594986930284","0.4586551333482339","0.4586551333482339","0.4586551333482339","0.4661360162321794","0.4661360162321794","0.4661360162321794","0.4763471183428841","0.4763471183428841","0.4763471183428841","0.4283784856782894","0.4283784856782894","0.4283784856782894","0.4260545994172297","0.4260545994172297","0.4260545994172297","0.41807758772934706","0.41807758772934706","0.41807758772934706","0.4611838760616188","0.4611838760616188","0.4611838760616188","0.40325252383510735","0.40325252383510735","0.40325252383510735","0.4273503499485075","0.4273503499485075","0.4273503499485075","0.4457621574309142","0.4457621574309142","0.4457621574309142","0.4217602618385614","0.4217602618385614","0.4217602618385614","0.4443890520639614","0.4443890520639614","0.4443890520639614","0.3875771927049733","0.3875771927049733","0.3875771927049733","0.4127960539560005","0.4127960539560005","0.4127960539560005","0.40795488953974884","0.40795488953974884","0.40795488953974884","0.40663634833142454","0.40663634833142454","0.40663634833142454","0.39135203371512955","0.39135203371512955","0.39135203371512955","0.39385864172837054","0.39385864172837054","0.39385864172837054","0.4499501600386178","0.4499501600386178","0.4499501600386178","0.46821482032015455","0.46821482032015455","0.46821482032015455","0.47179194558925514","0.47179194558925514","0.47179194558925514","0.47249576468708604","0.47249576468708604","0.47249576468708604","0.4500471328589867","0.4500471328589867","0.4500471328589867","0.47338712524424253","0.47338712524424253","0.47338712524424253","0.4232486057270298","0.4232486057270298","0.4232486057270298","0.4095954035947204","0.4095954035947204","0.4095954035947204","0.44250941284402845","0.44250941284402845","0.44250941284402845","0.4554066403450367","0.4554066403450367","0.4554066403450367","0.45507180078746196","0.45507180078746196","0.45507180078746196","0.4496616953756577","0.4496616953756577","0.4496616953756577"
"2","0.4702368350111029","0.4702368350111029","0.4702368350111029","0.47859254823948266","0.47859254823948266","0.47859254823948266","0.506282122305671","0.506282122305671","0.506282122305671","0.47601296339977706","0.47601296339977706","0.47601296339977706","0.5034271114187124","0.5034271114187124","0.5034271114187124","0.4977936310311909","0.4977936310311909","0.4977936310311909","0.4926250908077924","0.4926250908077924","0.4926250908077924","0.49501963338374017","0.49501963338374017","0.49501963338374017","0.47742473667562185","0.47742473667562185","0.47742473667562185","0.45945615033330084","0.45945615033330084","0.45945615033330084","0.4470119695535219","0.4470119695535219","0.4470119695535219","0.42916809391968086","0.42916809391968086","0.42916809391968086","0.45557812002096115","0.45557812002096115","0.45557812002096115","0.4481794298643108","0.4481794298643108","0.4481794298643108","0.4408506081524782","0.4408506081524782","0.4408506081524782","0.454829107333703","0.454829107333703","0.454829107333703","0.47787990776934","0.47787990776934","0.47787990776934","0.449586235009531","0.449586235009531","0.449586235009531","0.4226036685501393","0.4226036685501393","0.4226036685501393","0.41083247705537307","0.41083247705537307","0.41083247705537307","0.3968722885855202","0.3968722885855202","0.3968722885855202","0.40142518998159565","0.40142518998159565","0.40142518998159565","0.4156519647194528","0.4156519647194528","0.4156519647194528","0.3959754931288363","0.3959754931288363","0.3959754931288363","0.4750351264310891","0.4750351264310891","0.4750351264310891","0.44066959374157316","0.44066959374157316","0.44066959374157316","0.4796233624442201","0.4796233624442201","0.4796233624442201","0.49552863152286253","0.49552863152286253","0.49552863152286253","0.4943213204400915","0.4943213204400915","0.4943213204400915","0.5140333025394596","0.5140333025394596","0.5140333025394596","0.4476853197456175","0.4476853197456175","0.4476853197456175","0.4467982424757008","0.4467982424757008","0.4467982424757008","0.4451355363550748","0.4451355363550748","0.4451355363550748","0.49070419528192594","0.49070419528192594","0.49070419528192594","0.48446488461414133","0.48446488461414133","0.48446488461414133","0.46364796329806773","0.46364796329806773","0.46364796329806773"
"3","0.4962768953336612","0.4962768953336612","0.4962768953336612","0.5369952701860949","0.5369952701860949","0.5369952701860949","0.5280167579493552","0.5280167579493552","0.5280167579493552","0.5305643118673341","0.5305643118673341","0.5305643118673341","0.5094785586438075","0.5094785586438075","0.5094785586438075","0.5208823350695719","0.5208823350695719","0.5208823350695719","0.4673157331955894","0.4673157331955894","0.4673157331955894","0.4391749819209998","0.4391749819209998","0.4391749819209998","0.4503108323946046","0.4503108323946046","0.4503108323946046","0.47182568715964196","0.47182568715964196","0.47182568715964196","0.451234234122086","0.451234234122086","0.451234234122086","0.45143686168318836","0.45143686168318836","0.45143686168318836","0.4783282217979371","0.4783282217979371","0.4783282217979371","0.4614199393966724","0.4614199393966724","0.4614199393966724","0.497047289634","0.497047289634","0.497047289634","0.45824517955419786","0.45824517955419786","0.45824517955419786","0.4891066674403359","0.4891066674403359","0.4891066674403359","0.4746053142651858","0.4746053142651858","0.4746053142651858","0.42295222414386247","0.42295222414386247","0.42295222414386247","0.415813443918711","0.415813443918711","0.415813443918711","0.43197110719292364","0.43197110719292364","0.43197110719292364","0.4092176415906188","0.4092176415906188","0.4092176415906188","0.381161049640418","0.381161049640418","0.381161049640418","0.4110676777463784","0.4110676777463784","0.4110676777463784","0.46736051431186787","0.46736051431186787","0.46736051431186787","0.4172582824963899","0.4172582824963899","0.4172582824963899","0.43915422682869104","0.43915422682869104","0.43915422682869104","0.5236863187675652","0.5236863187675652","0.5236863187675652","0.5375580297753704","0.5375580297753704","0.5375580297753704","0.5554357241993549","0.5554357241993549","0.5554357241993549","0.448459884600774","0.448459884600774","0.448459884600774","0.45636017275556195","0.45636017275556195","0.45636017275556195","0.4806974657398159","0.4806974657398159","0.4806974657398159","0.5047152582755532","0.5047152582755532","0.5047152582755532","0.499226558685553","0.499226558685553","0.499226558685553","0.49445394229221656","0.49445394229221656","0.49445394229221656"
"4","0.5120712890285597","0.5120712890285597","0.5120712890285597","0.5292403331000051","0.5292403331000051","0.5292403331000051","0.543579648212825","0.543579648212825","0.543579648212825","0.5304543056276304","0.5304543056276304","0.5304543056276304","0.5344230393188191","0.5344230393188191","0.5344230393188191","0.5623950734606193","0.5623950734606193","0.5623950734606193","0.4599249998454699","0.4599249998454699","0.4599249998454699","0.46032183458527476","0.46032183458527476","0.46032183458527476","0.4675727751360756","0.4675727751360756","0.4675727751360756","0.47288244004400914","0.47288244004400914","0.47288244004400914","0.491280858341496","0.491280858341496","0.491280858341496","0.46751634143273224","0.46751634143273224","0.46751634143273224","0.5027958768976956","0.5027958768976956","0.5027958768976956","0.4786545354531646","0.4786545354531646","0.4786545354531646","0.49304574132263584","0.49304574132263584","0.49304574132263584","0.4938567540074109","0.4938567540074109","0.4938567540074109","0.5046676387600888","0.5046676387600888","0.5046676387600888","0.4528449947645637","0.4528449947645637","0.4528449947645637","0.4458668959270484","0.4458668959270484","0.4458668959270484","0.43950146875064444","0.43950146875064444","0.43950146875064444","0.4490720823109946","0.4490720823109946","0.4490720823109946","0.4410237827441412","0.4410237827441412","0.4410237827441412","0.3775842700833742","0.3775842700833742","0.3775842700833742","0.40252197996754974","0.40252197996754974","0.40252197996754974","0.44263238620778844","0.44263238620778844","0.44263238620778844","0.4588952899291298","0.4588952899291298","0.4588952899291298","0.4535836725045744","0.4535836725045744","0.4535836725045744","0.5656864263346512","0.5656864263346512","0.5656864263346512","0.5923231995830659","0.5923231995830659","0.5923231995830659","0.5836757356423928","0.5836757356423928","0.5836757356423928","0.46887285152894975","0.46887285152894975","0.46887285152894975","0.466642626326414","0.466642626326414","0.466642626326414","0.4966514976407625","0.4966514976407625","0.4966514976407625","0.5219336320768158","0.5219336320768158","0.5219336320768158","0.5385269229216358","0.5385269229216358","0.5385269229216358","0.520555164895094","0.520555164895094","0.520555164895094"
"5","0.567876286695701","0.567876286695701","0.567876286695701","0.5336146016225922","0.5336146016225922","0.5336146016225922","0.5736285906835824","0.5736285906835824","0.5736285906835824","0.5871434011086419","0.5871434011086419","0.5871434011086419","0.5572247925774163","0.5572247925774163","0.5572247925774163","0.5763610468116614","0.5763610468116614","0.5763610468116614","0.4506768112194721","0.4506768112194721","0.4506768112194721","0.4438807044143627","0.4438807044143627","0.4438807044143627","0.44125968351147915","0.44125968351147915","0.44125968351147915","0.503314057890619","0.503314057890619","0.503314057890619","0.49074150710476533","0.49074150710476533","0.49074150710476533","0.4712027378519352","0.4712027378519352","0.4712027378519352","0.5145934926320807","0.5145934926320807","0.5145934926320807","0.5052863985390668","0.5052863985390668","0.5052863985390668","0.5366214014034348","0.5366214014034348","0.5366214014034348","0.5024120947262805","0.5024120947262805","0.5024120947262805","0.5100596903693865","0.5100596903693865","0.5100596903693865","0.50968619205292","0.50968619205292","0.50968619205292","0.4393588298249928","0.4393588298249928","0.4393588298249928","0.4397017473876313","0.4397017473876313","0.4397017473876313","0.4783296328774865","0.4783296328774865","0.4783296328774865","0.42099674391907643","0.42099674391907643","0.42099674391907643","0.42381506157716425","0.42381506157716425","0.42381506157716425","0.4026725794636116","0.4026725794636116","0.4026725794636116","0.44617468958367995","0.44617468958367995","0.44617468958367995","0.45039245906620373","0.45039245906620373","0.45039245906620373","0.4421719206283463","0.4421719206283463","0.4421719206283463","0.5941490680198547","0.5941490680198547","0.5941490680198547","0.6219246880870483","0.6219246880870483","0.6219246880870483","0.5932109305996359","0.5932109305996359","0.5932109305996359","0.4771212649912734","0.4771212649912734","0.4771212649912734","0.47420611179417815","0.47420611179417815","0.47420611179417815","0.480116502471118","0.480116502471118","0.480116502471118","0.5489321268179916","0.5489321268179916","0.5489321268179916","0.5385442570420699","0.5385442570420699","0.5385442570420699","0.5381683970908954","0.5381683970908954","0.5381683970908954"
"6","0.5742661849045522","0.5742661849045522","0.5742661849045522","0.5578669772010046","0.5578669772010046","0.5578669772010046","0.5635794083638688","0.5635794083638688","0.5635794083638688","0.582076497385194","0.582076497385194","0.582076497385194","0.5706479052029373","0.5706479052029373","0.5706479052029373","0.561432155342765","0.561432155342765","0.561432155342765","0.4384373124224509","0.4384373124224509","0.4384373124224509","0.45806388896733113","0.45806388896733113","0.45806388896733113","0.4499271443079058","0.4499271443079058","0.4499271443079058","0.5208712993139345","0.5208712993139345","0.5208712993139345","0.4977457173406671","0.4977457173406671","0.4977457173406671","0.49388807839523197","0.49388807839523197","0.49388807839523197","0.5417532778224352","0.5417532778224352","0.5417532778224352","0.5196195543246648","0.5196195543246648","0.5196195543246648","0.5597084228616508","0.5597084228616508","0.5597084228616508","0.5511692114804067","0.5511692114804067","0.5511692114804067","0.5355950803095006","0.5355950803095006","0.5355950803095006","0.5245410725671795","0.5245410725671795","0.5245410725671795","0.46179522859310657","0.46179522859310657","0.46179522859310657","0.42712182839897267","0.42712182839897267","0.42712182839897267","0.49488465658053915","0.49488465658053915","0.49488465658053915","0.44440597425297473","0.44440597425297473","0.44440597425297473","0.38364466560578353","0.38364466560578353","0.38364466560578353","0.4461815844726023","0.4461815844726023","0.4461815844726023","0.4554366585071008","0.4554366585071008","0.4554366585071008","0.451714215676225","0.451714215676225","0.451714215676225","0.445675091706228","0.445675091706228","0.445675091706228","0.6275378562243833","0.6275378562243833","0.6275378562243833","0.6305491165787055","0.6305491165787055","0.6305491165787055","0.6187549186908969","0.6187549186908969","0.6187549186908969","0.5070004603787204","0.5070004603787204","0.5070004603787204","0.48867382460465175","0.48867382460465175","0.48867382460465175","0.5158941272186603","0.5158941272186603","0.5158941272186603","0.5837773951201376","0.5837773951201376","0.5837773951201376","0.5692440933189903","0.5692440933189903","0.5692440933189903","0.562551965469798","0.562551965469798","0.562551965469798"
"7","0.585084209129754","0.585084209129754","0.585084209129754","0.5865534743175985","0.5865534743175985","0.5865534743175985","0.5837732522592609","0.5837732522592609","0.5837732522592609","0.6044078509904675","0.6044078509904675","0.6044078509904675","0.5449174783551157","0.5449174783551157","0.5449174783551157","0.6058333200300919","0.6058333200300919","0.6058333200300919","0.46942071217537523","0.46942071217537523","0.46942071217537523","0.4627656629570234","0.4627656629570234","0.4627656629570234","0.46833766191118253","0.46833766191118253","0.46833766191118253","0.5346472555064382","0.5346472555064382","0.5346472555064382","0.5120798852422723","0.5120798852422723","0.5120798852422723","0.4909700172921837","0.4909700172921837","0.4909700172921837","0.5285804832508044","0.5285804832508044","0.5285804832508044","0.5502738162734923","0.5502738162734923","0.5502738162734923","0.5686895635961197","0.5686895635961197","0.5686895635961197","0.5154814169262423","0.5154814169262423","0.5154814169262423","0.564284925511953","0.564284925511953","0.564284925511953","0.5264015883266882","0.5264015883266882","0.5264015883266882","0.4621556140863561","0.4621556140863561","0.4621556140863561","0.4363326851907553","0.4363326851907553","0.4363326851907553","0.4946066540654211","0.4946066540654211","0.4946066540654211","0.4354242230390568","0.4354242230390568","0.4354242230390568","0.43596091376681434","0.43596091376681434","0.43596091376681434","0.42999290368702375","0.42999290368702375","0.42999290368702375","0.4421585231454312","0.4421585231454312","0.4421585231454312","0.47500946404709593","0.47500946404709593","0.47500946404709593","0.44523397382938884","0.44523397382938884","0.44523397382938884","0.6391797694298054","0.6391797694298054","0.6391797694298054","0.6368397059350817","0.6368397059350817","0.6368397059350817","0.644195298173236","0.644195298173236","0.644195298173236","0.5203823678892155","0.5203823678892155","0.5203823678892155","0.5151575271374416","0.5151575271374416","0.5151575271374416","0.5242203127171319","0.5242203127171319","0.5242203127171319","0.6025985573943965","0.6025985573943965","0.6025985573943965","0.5847058690900567","0.5847058690900567","0.5847058690900567","0.5709082581718296","0.5709082581718296","0.5709082581718296"
"8","0.5709912363497682","0.5709912363497682","0.5709912363497682","0.5993846373417081","0.5993846373417081","0.5993846373417081","0.5904658926069665","0.5904658926069665","0.5904658926069665","0.5864465341737813","0.5864465341737813","0.5864465341737813","0.5847053513284528","0.5847053513284528","0.5847053513284528","0.5901384236092819","0.5901384236092819","0.5901384236092819","0.4816908081781907","0.4816908081781907","0.4816908081781907","0.47929220847471005","0.47929220847471005","0.47929220847471005","0.4726247421177467","0.4726247421177467","0.4726247421177467","0.5279823090952608","0.5279823090952608","0.5279823090952608","0.5366018094546222","0.5366018094546222","0.5366018094546222","0.5127631722498613","0.5127631722498613","0.5127631722498613","0.5535326290642841","0.5535326290642841","0.5535326290642841","0.5406750195659358","0.5406750195659358","0.5406750195659358","0.5832956770450698","0.5832956770450698","0.5832956770450698","0.545706034807534","0.545706034807534","0.545706034807534","0.5589881998241364","0.5589881998241364","0.5589881998241364","0.56242012093525","0.56242012093525","0.56242012093525","0.5193410578363701","0.5193410578363701","0.5193410578363701","0.48954268553465907","0.48954268553465907","0.48954268553465907","0.5239847051800783","0.5239847051800783","0.5239847051800783","0.4441573203160196","0.4441573203160196","0.4441573203160196","0.41657565775600747","0.41657565775600747","0.41657565775600747","0.4492913611393183","0.4492913611393183","0.4492913611393183","0.45227900842310564","0.45227900842310564","0.45227900842310564","0.46694147330573116","0.46694147330573116","0.46694147330573116","0.496422417373041","0.496422417373041","0.496422417373041","0.6419128323850593","0.6419128323850593","0.6419128323850593","0.6566288182037706","0.6566288182037706","0.6566288182037706","0.6510820557134626","0.6510820557134626","0.6510820557134626","0.5293616848411944","0.5293616848411944","0.5293616848411944","0.5157085500367979","0.5157085500367979","0.5157085500367979","0.5470234061379792","0.5470234061379792","0.5470234061379792","0.59710519918705","0.59710519918705","0.59710519918705","0.5984787983187783","0.5984787983187783","0.5984787983187783","0.588386125891616","0.588386125891616","0.588386125891616"
"9","0.60604713636024","0.60604713636024","0.60604713636024","0.6081763236407564","0.6081763236407564","0.6081763236407564","0.6238735556486272","0.6238735556486272","0.6238735556486272","0.6174235119181142","0.6174235119181142","0.6174235119181142","0.5946350734233855","0.5946350734233855","0.5946350734233855","0.6402593570177781","0.6402593570177781","0.6402593570177781","0.4677247137967891","0.4677247137967891","0.4677247137967891","0.47153697893661073","0.47153697893661073","0.47153697893661073","0.4916212507892292","0.4916212507892292","0.4916212507892292","0.5250512836684218","0.5250512836684218","0.5250512836684218","0.5238226759841471","0.5238226759841471","0.5238226759841471","0.5119651644267836","0.5119651644267836","0.5119651644267836","0.5821234854675086","0.5821234854675086","0.5821234854675086","0.5421451348735281","0.5421451348735281","0.5421451348735281","0.5901143432744472","0.5901143432744472","0.5901143432744472","0.5677061018786469","0.5677061018786469","0.5677061018786469","0.5747853560514525","0.5747853560514525","0.5747853560514525","0.5864103593980051","0.5864103593980051","0.5864103593980051","0.46040085911997497","0.46040085911997497","0.46040085911997497","0.46546438095707326","0.46546438095707326","0.46546438095707326","0.5318265915106528","0.5318265915106528","0.5318265915106528","0.43654266471078335","0.43654266471078335","0.43654266471078335","0.43861360646043973","0.43861360646043973","0.43861360646043973","0.4777317445590703","0.4777317445590703","0.4777317445590703","0.46155733870659854","0.46155733870659854","0.46155733870659854","0.49393670881309387","0.49393670881309387","0.49393670881309387","0.4893298022257525","0.4893298022257525","0.4893298022257525","0.6505887247765091","0.6505887247765091","0.6505887247765091","0.6529877516136782","0.6529877516136782","0.6529877516136782","0.6474269483025704","0.6474269483025704","0.6474269483025704","0.5179939985484198","0.5179939985484198","0.5179939985484198","0.5485473248894966","0.5485473248894966","0.5485473248894966","0.5590063703357813","0.5590063703357813","0.5590063703357813","0.6082511997306512","0.6082511997306512","0.6082511997306512","0.6003882806224522","0.6003882806224522","0.6003882806224522","0.6065052505131834","0.6065052505131834","0.6065052505131834"
