,times in top 5%,Mean Prob,Screended,Original Dependency,Original Dependency Score
ATP6V0D1,37,0.8683867473323066,Yes,8,-1.268136613264786
EIF4A1,37,0.9396241420024151,Yes,9,-1.1846667346314208
TOPBP1,37,0.9693937017036989,Yes,7,-1.2983579108308156
ATP6V1F,37,0.9184544038128211,Yes,8,-1.1908187314973397
RAE1,37,0.9162948749086879,Yes,4,-1.2382348629907016
SMC1A,37,0.9601841101775298,Yes,8,-1.3082565624210063
SCFD1,37,0.9410150641793603,Yes,9,-1.2701869513997408
GARS1,37,0.9503736925554707,Yes,9,-1.3171582286882746
CLTC,37,0.8945872896426433,Yes,9,-1.285502703790268
CSTF3,37,0.903777833725955,Yes,5,-1.2091133702918497
PPAN,37,0.9410387597105523,Yes,7,-1.2909751410896544
IPO11,37,0.8852971867398098,Yes,6,-1.1751951829108171
HAUS6,37,0.8714398163798693,Yes,8,-1.3276541401651245
NAPA,37,0.865156880101642,Yes,9,-1.1350488216102925
ADSL,37,0.9307102042812484,Yes,5,-0.8131514291831973
SMG5,37,0.8699534132673934,Yes,8,-1.2445961698965302
NUP88,37,0.8912880184414149,Yes,9,-1.2806439150031017
STX5,37,0.8661229274831376,Yes,8,-1.2951855033022959
AURKA,37,0.8334982565746786,Yes,5,-1.1027263428351082
WDR18,37,0.8578968786441528,Yes,9,-1.2423684831678425
ARIH1,37,0.920330758567329,Yes,9,-1.0764009913291408
PRPF4,37,0.8343843723739589,Yes,6,-1.2029350425032415
RAD9A,37,0.9038167738162718,Yes,7,-0.9993580235760228
WDR55,37,0.9293227324614654,Yes,8,-1.1884499024515502
PLK4,37,0.899593014437873,Yes,9,-1.3314865673284195
CPSF1,37,0.8677080413242719,Yes,9,-1.3099799425660372
GGPS1,37,0.8285011212165291,Yes,8,-1.21275069141658
MASTL,37,0.8859828338698226,Yes,8,-1.3428591322408894
NOB1,37,0.8188931278817289,Yes,9,-1.3021080956934612
TSR1,37,0.8978840726184416,Yes,8,-1.3228848722189746
NXT1,37,0.8250248977192887,Yes,8,-1.0780100762471365
SMC2,37,0.8430865981557346,Yes,7,-1.3276725481412819
GTF2E2,37,0.838748512101603,Yes,6,-1.2683865747233605
PSMC1,37,0.9055706608939815,Yes,9,-1.2401275924650959
SRSF11,37,0.9133043493236507,Yes,9,-1.3216406894389745
BOP1,37,0.8164021279662848,Yes,6,-1.2342382270959782
EXOSC8,37,0.8042703230638761,Yes,7,-1.164145002494111
SPDL1,37,0.8931428972665255,Yes,9,-1.3897584349332943
HSPA8,37,0.8821173200199197,Yes,6,-1.000189866681182
TBL3,37,0.8150608579854707,Yes,9,-1.3154513715115375
EIF5,37,0.8417577362275338,Yes,9,-1.3073492388192727
ATR,37,0.8899488666573087,Yes,9,-1.2808694366383102
RIOK2,37,0.8281881911931812,Yes,5,-1.1849489466088265
DCLRE1B,37,0.8360256933951165,Yes,5,-1.0053283689678871
VMP1,37,0.83256984213451,Yes,6,-1.2238927029932178
PABPC1,37,0.8652044807199959,Yes,9,-1.2269841337987943
PMPCA,37,0.8089273049756213,Yes,9,-1.209459275994564
NELFB,37,0.8124710211345743,Yes,8,-1.2203083030929944
MT1E,36,0.8117472187236504,Yes,6,-1.1200224674217523
TYMS,36,0.8416713290606385,Yes,8,-0.7997306000988312
DHX33,36,0.8157669329946793,Yes,8,-1.2670302967582625
RRS1,36,0.874818486471971,Yes,8,-1.3522526154222598
SART1,36,0.8342336573534541,Yes,7,-1.269757823861838
ARCN1,36,0.8738462130228679,Yes,9,-1.2741314162264465
TPT1,36,0.8192130979840403,Yes,7,-1.2864941366210902
NPLOC4,36,0.8482038980280912,Yes,8,-1.2449294552798356
BCL2L1,36,0.8424992740706162,Yes,6,-1.1002686115802311
SBNO1,36,0.874247084889147,Yes,5,-1.212051327752932
NKAP,36,0.8191927569331946,Yes,5,-1.1563148041781979
HYOU1,36,0.8366291941040092,Yes,5,-1.1794081259321036
SEPHS2,36,0.8770101442933083,Yes,6,-0.9587054766948382
BCLAF1,36,0.8090237602591515,Yes,5,-1.0656578044148468
MYCN,36,0.8067343760695722,Yes,9,-0.9054039979473932
CIAO2B,36,0.816418806021964,Yes,9,-1.4101442617470177
PDCD11,35,0.808986455769766,Yes,8,-1.3321419969599617
GMPS,35,0.8034501451821554,Yes,7,-1.0328570415819605
EIF3E,35,0.8748277124904451,Yes,7,-1.2235736844265506
CCT2,35,0.8125958481714838,Yes,4,-1.1324425679315873
SPATA5L1,35,0.8144049970876603,Yes,7,-1.197081901579112
MED20,35,0.8017293975466774,Yes,6,-1.2735717065110346
