,times in top 5%,Mean Prob,Screended,Original Dependency,Original Dependency Score
BCL2L1,37,0.888250708,Yes,6,-1.100268612
RRS1,37,0.941069099,Yes,8,-1.352252615
HAUS6,37,0.916285191,Yes,8,-1.32765414
NAT10,37,0.850606342,Yes,5,-1.232390335
ATP6V1F,37,0.942690077,Yes,8,-1.190818731
TSR1,37,0.90633472,Yes,8,-1.322884872
NOB1,37,0.917581394,Yes,9,-1.302108096
TPT1,37,0.901168715,Yes,7,-1.286494137
PDCD11,37,0.868594867,Yes,8,-1.332141997
SCFD1,37,0.874537807,Yes,9,-1.270186951
STX5,37,0.83670425,Yes,8,-1.295185503
EIF5,37,0.926340679,Yes,9,-1.307349239
SRSF11,37,0.917138668,Yes,9,-1.321640689
SPDL1,37,0.895307993,Yes,9,-1.389758435
PSMC1,37,0.935063285,Yes,9,-1.240127592
GTF2E1,37,0.838057847,Yes,8,-1.282502358
WDR55,37,0.950566861,Yes,8,-1.188449902
NELFB,37,0.91950344,Yes,8,-1.220308303
SMG5,37,0.876858555,Yes,8,-1.24459617
GARS1,37,0.878027782,Yes,9,-1.317158229
USP7,37,0.828019798,Yes,7,-0.95035715
NVL,37,0.852592637,Yes,6,-1.188830192
HYOU1,37,0.88084586,Yes,5,-1.179408126
PLK4,37,0.841069088,Yes,9,-1.331486567
SEPHS2,37,0.884686142,Yes,6,-0.958705477
PPIL1,37,0.839206413,Yes,7,-1.09596557
CLTC,37,0.925580023,Yes,9,-1.285502704
SMC1A,37,0.93236918,Yes,8,-1.308256562
SBNO1,37,0.895162866,Yes,5,-1.212051328
ARIH1,37,0.92043495,Yes,9,-1.076400991
RAD9A,37,0.824194279,Yes,7,-0.999358024
RPP40,37,0.834816563,Yes,6,-1.107362523
DDX55,37,0.906671995,Yes,6,-1.245519627
RAD51,37,0.882934734,Yes,9,-1.309684365
TBL3,37,0.885930671,Yes,9,-1.315451372
EIF4A1,37,0.856142562,Yes,9,-1.184666735
VMP1,37,0.849641784,Yes,6,-1.223892703
PABPC1,37,0.86231549,Yes,9,-1.226984134
NUP88,37,0.900975018,Yes,9,-1.280643915
DHX9,37,0.83984659,Yes,8,-1.178294553
TBCB,37,0.826127461,Yes,7,-1.231898705
HSPA8,37,0.897335988,Yes,6,-1.000189867
PCBP2,37,0.827274529,Yes,4,-1.176525171
ANAPC5,37,0.901202339,Yes,5,-1.273196343
WDR18,37,0.885104982,Yes,9,-1.242368483
GGPS1,37,0.847860165,Yes,8,-1.212750691
GMPS,37,0.800682591,Yes,7,-1.032857042
CIAO1,37,0.832790386,Yes,6,-1.182005474
DCLRE1B,37,0.825817061,Yes,5,-1.005328369
ROMO1,37,0.829004585,Yes,7,-1.118965108
XRCC5,37,0.852742206,Yes,4,-1.145578259
DHX33,37,0.892728454,Yes,8,-1.267030297
ATR,36,0.854296118,Yes,9,-1.280869437
POP1,36,0.800871812,Yes,4,-1.157191068
ATP6V0D1,36,0.872292812,Yes,8,-1.268136613
RNPS1,36,0.843164518,Yes,6,-1.122592119
CCT2,36,0.852072576,Yes,4,-1.132442568
NPLOC4,36,0.829223532,Yes,8,-1.244929455
NAPA,36,0.813395113,Yes,9,-1.135048822
PPAN,36,0.86159468,Yes,7,-1.290975141
PRPF4,36,0.843130042,Yes,6,-1.202935043
EIF3E,36,0.859366927,Yes,7,-1.223573684
AURKA,36,0.863934688,Yes,5,-1.102726343
PMPCA,36,0.811807369,Yes,9,-1.209459276
TOPBP1,36,0.896147821,Yes,7,-1.298357911
NXT1,36,0.845137028,Yes,8,-1.078010076
INCENP,36,0.821076991,Yes,8,-1.247820894
CLSPN,36,0.851712092,Yes,4,-1.05218342
MT1E,35,0.823847364,Yes,6,-1.120022467
BOP1,35,0.855888876,Yes,6,-1.234238227
PES1,35,0.808444444,Yes,4,-1.212377381
WDR12,35,0.83670526,Yes,4,-1.162930621
ARCN1,35,0.873865211,Yes,9,-1.274131416
ALYREF,35,0.836234927,Yes,7,-1.158638333
SMC2,35,0.849508118,Yes,7,-1.327672548
SMC3,35,0.809187446,Yes,5,-1.143658006
MYC,35,0.803685618,Yes,7,-0.55414698
