,times in top 5%,Mean Prob,Screended,Original Dependency,Original Dependency Score
SMC1A,37,0.967040857,Yes,8,-1.308256562
TPT1,37,0.94603338,Yes,7,-1.286494137
HAUS6,37,0.925043425,Yes,8,-1.32765414
RAE1,37,0.899475175,Yes,4,-1.238234863
BCL2L1,37,0.901004375,Yes,6,-1.100268612
SCFD1,37,0.920492656,Yes,9,-1.270186951
CPSF1,37,0.916550411,Yes,9,-1.309979943
TSR1,37,0.891037001,Yes,8,-1.322884872
NUP88,37,0.945702519,Yes,9,-1.280643915
WDR12,37,0.884695339,Yes,4,-1.162930621
DCLRE1B,37,0.875308654,Yes,5,-1.005328369
PSMC1,37,0.929024414,Yes,9,-1.240127592
CLTC,37,0.871663561,Yes,9,-1.285502704
ATP6V1F,37,0.94404684,Yes,8,-1.190818731
GARS1,37,0.927315957,Yes,9,-1.317158229
VMP1,37,0.884652175,Yes,6,-1.223892703
HSPA8,37,0.892334318,Yes,6,-1.000189867
SPDL1,37,0.954254119,Yes,9,-1.389758435
NAPA,37,0.924354384,Yes,9,-1.135048822
PRPF4,37,0.910315612,Yes,6,-1.202935043
EIF5,37,0.866610835,Yes,9,-1.307349239
WDR18,37,0.902683494,Yes,9,-1.242368483
SMG5,37,0.833276136,Yes,8,-1.24459617
ARIH1,37,0.922002902,Yes,9,-1.076400991
TBL3,37,0.90377001,Yes,9,-1.315451372
RRS1,37,0.870205719,Yes,8,-1.352252615
PPAN,37,0.879107814,Yes,7,-1.290975141
WDR55,37,0.946343055,Yes,8,-1.188449902
SRSF11,37,0.8644035,Yes,9,-1.321640689
DHX33,37,0.917978815,Yes,8,-1.267030297
TBCD,37,0.81319937,Yes,8,-1.237977595
DDX55,37,0.917796123,Yes,6,-1.245519627
TOPBP1,37,0.921769128,Yes,7,-1.298357911
RBM8A,37,0.891471102,Yes,7,-1.144065797
ATR,37,0.896370394,Yes,9,-1.280869437
EIF4A1,37,0.86127858,Yes,9,-1.184666735
GTF2E2,37,0.881705147,Yes,6,-1.268386575
ATP6V0D1,37,0.88537871,Yes,8,-1.268136613
GGPS1,37,0.907440869,Yes,8,-1.212750691
RAD9A,37,0.872371509,Yes,7,-0.999358024
TBCB,37,0.877151116,Yes,7,-1.231898705
MED20,37,0.824808541,Yes,6,-1.273571707
TUBA1B,37,0.83171703,Yes,8,-1.236902104
WARS1,37,0.837334772,Yes,5,-1.246863738
PLK4,37,0.864255762,Yes,9,-1.331486567
ANAPC4,37,0.852984576,Yes,6,-1.225774148
SEPHS2,37,0.88657302,Yes,6,-0.958705477
GTF2E1,37,0.866720624,Yes,8,-1.282502358
PABPC1,37,0.80151686,Yes,9,-1.226984134
SBNO1,36,0.897470319,Yes,5,-1.212051328
DHX9,36,0.839634031,Yes,8,-1.178294553
SPATA5L1,36,0.860631913,Yes,7,-1.197081902
NKAP,36,0.887751149,Yes,5,-1.156314804
ROMO1,36,0.935971372,Yes,7,-1.118965108
EIF3E,36,0.908391409,Yes,7,-1.223573684
STX5,36,0.889226132,Yes,8,-1.295185503
NELFB,36,0.857417161,Yes,8,-1.220308303
ADSL,36,0.833933971,Yes,5,-0.813151429
SMC2,35,0.808206682,Yes,7,-1.327672548
IPO11,35,0.804081857,Yes,6,-1.175195183
AK6,35,0.831002191,Yes,7,-1.111153057
MCL1,35,0.840356591,Yes,4,-0.815238207
RPP40,35,0.881441692,Yes,6,-1.107362523
FBXO5,35,0.839296667,Yes,3,-1.080572696
ARCN1,35,0.867834759,Yes,9,-1.274131416
BOP1,35,0.870982648,Yes,6,-1.234238227
PMPCA,35,0.808305041,Yes,9,-1.209459276
MT1E,35,0.857405141,Yes,6,-1.120022467
MASTL,35,0.823738449,Yes,8,-1.342859132
RPS10,35,0.846442184,Yes,6,-1.446911459
EIF2B5,35,0.809436345,Yes,6,-1.333857162
